"i","j","fij"
"PAK","AFG",9722
"TJK","AFG",20733
"UZB","AFG",1036
"CAN","ALB",982
"GRC","ALB",18811
"ITA","ALB",6061
"MKD","ALB",327
"TUR","ALB",1771
"USA","ALB",1936
"FRA","DZA",707
"DEU","DZA",1987
"IDN","DZA",941
"IRQ","DZA",2064
"ITA","DZA",1035
"JOR","DZA",1234
"KWT","DZA",820
"LBN","DZA",612
"LBY","DZA",1195
"MYS","DZA",841
"RUS","DZA",1340
"SAU","DZA",2212
"SOM","DZA",3511
"PSE","DZA",18261
"SDN","DZA",3009
"SYR","DZA",1822
"GBR","DZA",774
"USA","DZA",1504
"ESH","DZA",91693
"YEM","DZA",1464
"CHN","ASM",141
"FJI","ASM",52
"NZL","ASM",121
"PHL","ASM",295
"KOR","ASM",100
"WSM","ASM",8321
"TKL","ASM",14
"TON","ASM",657
"USA","ASM",1875
"VNM","ASM",53
"ARG","AND",62
"AUS","AND",20
"BEL","AND",128
"CHL","AND",33
"DNK","AND",58
"FRA","AND",2232
"DEU","AND",186
"ITA","AND",69
"MAR","AND",202
"NLD","AND",111
"PHL","AND",117
"PRT","AND",2833
"ESP","AND",14286
"SWE","AND",28
"CHE","AND",36
"GBR","AND",516
"USA","AND",50
"URY","AND",41
"CPV","AGO",2151
"TCD","AGO",6
"COG","AGO",210
"CIV","AGO",3
"COD","AGO",7565
"GIN","AGO",69
"MOZ","AGO",59
"NAM","AGO",203
"PRT","AGO",3833
"RWA","AGO",52
"STP","AGO",1797
"ZAF","AGO",1435
"ZMB","AGO",55
"CAN","AIA",10
"DOM","AIA",256
"GUY","AIA",137
"JAM","AIA",162
"MSR","AIA",122
"KNA","AIA",358
"GBR","AIA",87
"USA","AIA",82
"VIR","AIA",88
"AIA","ATG",12
"ABW","ATG",3
"AUS","ATG",3
"BHS","ATG",2
"BRB","ATG",122
"BLZ","ATG",5
"BMU","ATG",5
"BES","ATG",3
"VGB","ATG",35
"CAN","ATG",138
"CHN","ATG",40
"CUB","ATG",7
"CUW","ATG",6
"DMA","ATG",1448
"DOM","ATG",426
"EGY","ATG",5
"ETH","ATG",17
"FRA","ATG",15
"GUF","ATG",2
"DEU","ATG",28
"GHA","ATG",9
"GRD","ATG",72
"GLP","ATG",26
"GUY","ATG",1591
"HTI","ATG",9
"HND","ATG",2
"IND","ATG",24
"ITA","ATG",26
"JAM","ATG",642
"JPN","ATG",5
"LBN","ATG",22
"MTQ","ATG",2
"MEX","ATG",2
"MSR","ATG",439
"NLD","ATG",7
"NZL","ATG",3
"NGA","ATG",16
"PAK","ATG",2
"PRI","ATG",18
"KNA","ATG",204
"LCA","ATG",214
"VCT","ATG",340
"SXM","ATG",7
"ZAF","ATG",13
"ESP","ATG",4
"SUR","ATG",10
"SYR","ATG",82
"TTO","ATG",229
"TCA","ATG",2
"GBR","ATG",350
"USA","ATG",854
"VIR","ATG",213
"VEN","ATG",10
"AFG","ARG",2
"ALB","ARG",84
"DZA","ARG",134
"AND","ARG",1
"AGO","ARG",7
"ARM","ARG",590
"ABW","ARG",0
"AUS","ARG",283
"AUT","ARG",1354
"BHR","ARG",18
"BRB","ARG",0
"BLR","ARG",281
"BEL","ARG",558
"BLZ","ARG",2
"BOL","ARG",95917
"BRA","ARG",14479
"BRN","ARG",2
"BGR","ARG",422
"BFA","ARG",4
"CPV","ARG",19
"KHM","ARG",29
"CAN","ARG",452
"CHL","ARG",108853
"CHN","ARG",3107
"HKG","ARG",9
"COL","ARG",1459
"COG","ARG",47
"CRI","ARG",179
"CIV","ARG",1
"HRV","ARG",1011
"CUB","ARG",910
"CYP","ARG",45
"CZE","ARG",1402
"PRK","ARG",30
"DNK","ARG",243
"DMA","ARG",0
"DOM","ARG",230
"ECU","ARG",731
"EGY","ARG",274
"SLV","ARG",82
"EST","ARG",37
"ETH","ARG",29
"FJI","ARG",0
"FIN","ARG",44
"FRA","ARG",2959
"DEU","ARG",5865
"GIB","ARG",11
"GRC","ARG",1180
"GRL","ARG",6
"GRD","ARG",0
"GTM","ARG",93
"GIN","ARG",0
"HTI","ARG",62
"HND","ARG",66
"HUN","ARG",1110
"ISL","ARG",1
"IND","ARG",93
"IDN","ARG",13
"IRN","ARG",149
"IRQ","ARG",31
"IRL","ARG",73
"ISR","ARG",653
"ITA","ARG",131547
"JAM","ARG",26
"JPN","ARG",2585
"JOR","ARG",99
"KEN","ARG",2
"LAO","ARG",270
"LVA","ARG",89
"LBN","ARG",1214
"LBY","ARG",66
"LIE","ARG",106
"LTU","ARG",495
"LUX","ARG",54
"MDG","ARG",0
"MYS","ARG",0
"MLT","ARG",1
"MEX","ARG",1358
"FSM","ARG",0
"MCO","ARG",1
"MAR","ARG",182
"MOZ","ARG",0
"MMR","ARG",19
"NAM","ARG",4
"NLD","ARG",477
"NZL","ARG",12
"NIC","ARG",85
"NER","ARG",1
"NGA","ARG",25
"MKD","ARG",3903
