"i","j","fij"
"GRD","ABW",294
"GUY","ABW",107
"HTI","ABW",320
"IND","ABW",39
"JAM","ABW",162
"NLD","ABW",2096
"NIC","ABW",19
"PER","ABW",141
"PHL","ABW",217
"PRT","ABW",177
"VCT","ABW",225
"SXM","ABW",125
"SUR","ABW",721
"TUR","ABW",115
"USA","ABW",425
"VEN","ABW",1144
"AFG","AUS",2729
"ALB","AUS",984
"DZA","AUS",665
"ASM","AUS",64
"AND","AUS",333
"AGO","AUS",310
"ATG","AUS",21
"ARG","AUS",13155
"ARM","AUS",388
"ABW","AUS",26
"AUT","AUS",22977
"AZE","AUS",99
"BHS","AUS",178
"BHR","AUS",493
"BGD","AUS",2315
"BRB","AUS",301
"BLR","AUS",260
"BEL","AUS",4620
"BLZ","AUS",34
"BEN","AUS",17
"BMU","AUS",351
"BTN","AUS",25
"BOL","AUS",509
"BIH","AUS",22312
"BWA","AUS",153
"BRA","AUS",2926
"VGB","AUS",6
"BRN","AUS",1620
"BGR","AUS",1755
"BFA","AUS",30
"BDI","AUS",15
"CPV","AUS",20
"KHM","AUS",20651
"CMR","AUS",68
"CAN","AUS",27452
"CYM","AUS",3
"CAF","AUS",6
"TCD","AUS",15
"CHL","AUS",29145
"CHN","AUS",97526
"HKG","AUS",57852
"MAC","AUS",1699
"COL","AUS",2106
"COG","AUS",134
"COK","AUS",2295
"CRI","AUS",236
"CIV","AUS",34
"HRV","AUS",48565
"CUB","AUS",361
"CUW","AUS",35
"CYP","AUS",24036
"CZE","AUS",17760
"PRK","AUS",50
"COD","AUS",255
"DNK","AUS",9739
"DJI","AUS",34
"DMA","AUS",6
"DOM","AUS",23
"ECU","AUS",1085
"EGY","AUS",40628
"SLV","AUS",8774
"ERI","AUS",1272
"EST","AUS",2731
"SWZ","AUS",117
"ETH","AUS",1336
"FLK","AUS",78
"FRO","AUS",17
"FJI","AUS",37472
"FIN","AUS",9718
"FRA","AUS",15533
"GUF","AUS",6
"PYF","AUS",236
"GAB","AUS",20
"GMB","AUS",18
"GEO","AUS",17
"DEU","AUS",126452
"GHA","AUS",994
"GIB","AUS",409
"GRC","AUS",148090
"GRD","AUS",89
"GLP","AUS",9
"GUM","AUS",40
"GTM","AUS",217
"GIN","AUS",33
"GNB","AUS",13
"GUY","AUS",426
"HTI","AUS",43
"HND","AUS",124
"HUN","AUS",29103
"ISL","AUS",342
"IND","AUS",69928
"IDN","AUS",39102
"IRN","AUS",17599
"IRQ","AUS",5202
"IRL","AUS",51999
"IMN","AUS",731
"ISR","AUS",7756
"ITA","AUS",271095
"JAM","AUS",662
"JPN","AUS",21752
"JOR","AUS",2175
"KAZ","AUS",297
"KEN","AUS",4680
"KIR","AUS",428
"KWT","AUS",919
"KGZ","AUS",101
"LAO","AUS",11172
"LVA","AUS",10144
"LBN","AUS",81858
"LSO","AUS",43
"LBR","AUS",63
"LBY","AUS",1268
"LIE","AUS",16
"LTU","AUS",4818
"LUX","AUS",125
"MDG","AUS",137
"MWI","AUS",360
"MYS","AUS",72135
"MDV","AUS",80
"MLI","AUS",24
"MLT","AUS",57407
"MHL","AUS",26
"MTQ","AUS",20
"MRT","AUS",16
"MUS","AUS",20215
"MEX","AUS",777
"FSM","AUS",6
"MCO","AUS",37
"MNG","AUS",36
"MNE","AUS",1297
"MAR","AUS",984
"MOZ","AUS",386
"MMR","AUS",9884
"NAM","AUS",265
"NRU","AUS",463
"NPL","AUS",404
"NLD","AUS",104866
"NCL","AUS",1190
"NZL","AUS",298309
"NIC","AUS",725
"NER","AUS",15
"NGA","AUS",959
"NIU","AUS",243
"MKD","AUS",40724
"MNP","AUS",6
"NOR","AUS",2622
"OMN","AUS",45
"PAK","AUS",5949
"PAN","AUS",118
"PRY","AUS",277
"PER","AUS",3795
"PHL","AUS",90580
"POL","AUS",74954
"PRT","AUS",19115
"PRI","AUS",46
"QAT","AUS",97
"KOR","AUS",23735
"MDA","AUS",15
"REU","AUS",51
"ROU","AUS",12241
"RUS","AUS",8365
"RWA","AUS",44
"SHN","AUS",31
"KNA","AUS",17
"LCA","AUS",16
"VCT","AUS",22
"WSM","AUS",5709
"SAU","AUS",586
"SEN","AUS",149
"SRB","AUS",44312
"SYC","AUS",2610
"SLE","AUS",120
"SGP","AUS",27151
"SVK","AUS",2697
"SVN","AUS",7227
"SLB","AUS",1052
"SOM","AUS",361
"ZAF","AUS",58684
"SSD","AUS",0
"ESP","AUS",15097
"LKA","AUS",46660
"PSE","AUS",2753
"SDN","AUS",1218
"SUR","AUS",68
"SWE","AUS",5694
"CHE","AUS",9905
"SYR","AUS",5351
"TJK","AUS",41
"THA","AUS",15834
"TLS","AUS",9518
"TGO","AUS",12
"TKL","AUS",53
"TON","AUS",6163
"TTO","AUS",920
"TUN","AUS",411
"TUR","AUS",33246
"TKM","AUS",25
"TUV","AUS",71
"UGA","AUS",925
"UKR","AUS",12428
"ARE","AUS",561
"GBR","AUS",1111203
"TZA","AUS",1422
