"i","j","fij"
"HTI","ABW",282
"IND","ABW",14
"JAM","ABW",138
"NLD","ABW",1022
"NIC","ABW",10
"PER","ABW",58
"PHL","ABW",52
"PRT","ABW",87
"VCT","ABW",140
"SXM","ABW",59
"SUR","ABW",342
"TUR","ABW",5
"USA","ABW",221
"VEN","ABW",490
"AFG","AUS",1274
"ALB","AUS",303
"DZA","AUS",268
"ASM","AUS",31
"AND","AUS",170
"AGO","AUS",133
"ATG","AUS",15
"ARG","AUS",6553
"ARM","AUS",208
"ABW","AUS",10
"AUT","AUS",10436
"AZE","AUS",55
"BHS","AUS",86
"BHR","AUS",245
"BGD","AUS",927
"BRB","AUS",132
"BLR","AUS",132
"BEL","AUS",2326
"BLZ","AUS",21
"BEN","AUS",3
"BMU","AUS",171
"BTN","AUS",6
"BOL","AUS",264
"BIH","AUS",10918
"BWA","AUS",68
"BRA","AUS",1470
"VGB","AUS",3
"BRN","AUS",771
"BGR","AUS",668
"BFA","AUS",12
"BDI","AUS",6
"CPV","AUS",6
"KHM","AUS",10177
"CMR","AUS",22
"CAN","AUS",13977
"CYM","AUS",3
"CAF","AUS",0
"TCD","AUS",6
"CHL","AUS",14805
"CHN","AUS",46381
"HKG","AUS",29226
"MAC","AUS",932
"COL","AUS",1120
"COG","AUS",59
"COK","AUS",1180
"CRI","AUS",114
"CIV","AUS",14
"HRV","AUS",23034
"CUB","AUS",164
"CUW","AUS",18
"CYP","AUS",11616
"CZE","AUS",7709
"PRK","AUS",25
"COD","AUS",125
"DNK","AUS",4214
"DJI","AUS",18
"DMA","AUS",0
"DOM","AUS",14
"ECU","AUS",512
"EGY","AUS",19536
"SLV","AUS",4443
"ERI","AUS",608
"EST","AUS",1480
"SWZ","AUS",69
"ETH","AUS",554
"FLK","AUS",36
"FRO","AUS",12
"FJI","AUS",19484
"FIN","AUS",4928
"FRA","AUS",7485
"GUF","AUS",6
"PYF","AUS",145
"GAB","AUS",6
"GMB","AUS",7
"GEO","AUS",11
"DEU","AUS",64126
"GHA","AUS",329
"GIB","AUS",211
"GRC","AUS",72046
"GRD","AUS",43
"GLP","AUS",6
"GUM","AUS",21
"GTM","AUS",109
"GIN","AUS",17
"GNB","AUS",3
"GUY","AUS",224
"HTI","AUS",21
"HND","AUS",56
"HUN","AUS",13055
"ISL","AUS",163
"IND","AUS",34227
"IDN","AUS",18998
"IRN","AUS",8013
"IRQ","AUS",2358
"IRL","AUS",24903
"IMN","AUS",348
"ISR","AUS",3551
"ITA","AUS",125923
"JAM","AUS",341
"JPN","AUS",11761
"JOR","AUS",991
"KAZ","AUS",165
"KEN","AUS",2202
"KIR","AUS",247
"KWT","AUS",447
"KGZ","AUS",62
"LAO","AUS",5415
"LVA","AUS",4990
"LBN","AUS",38461
"LSO","AUS",17
"LBR","AUS",24
"LBY","AUS",579
