"i","j","fij"
"PAK","AFG",7503
"TJK","AFG",16000
"UZB","AFG",800
"CAN","ALB",262
"GRC","ALB",24520
"ITA","ALB",6139
"MKD","ALB",405
"TUR","ALB",919
"USA","ALB",1319
"FRA","DZA",614
"DEU","DZA",1674
"IDN","DZA",282
"IRQ","DZA",2185
"ITA","DZA",907
"JOR","DZA",1038
"KWT","DZA",488
"LBN","DZA",783
"LBY","DZA",959
"MYS","DZA",423
"RUS","DZA",2205
"SAU","DZA",1285
"SOM","DZA",2737
"PSE","DZA",15575
"SDN","DZA",2353
"SYR","DZA",1490
"GBR","DZA",656
"USA","DZA",1298
"ESH","DZA",75210
"YEM","DZA",1016
"CHN","ASM",59
"FJI","ASM",49
"NZL","ASM",112
"PHL","ASM",225
"KOR","ASM",92
"WSM","ASM",7836
"TKL","ASM",15
"TON","ASM",566
"USA","ASM",1669
"VNM","ASM",49
"ARG","AND",56
"AUS","AND",19
"BEL","AND",113
"CHL","AND",30
"DNK","AND",53
"FRA","AND",1984
"DEU","AND",165
"ITA","AND",61
"MAR","AND",181
"NLD","AND",98
"PHL","AND",105
"PRT","AND",2531
"ESP","AND",12686
"SWE","AND",24
"CHE","AND",33
"GBR","AND",459
"USA","AND",45
"URY","AND",37
"CPV","AGO",1996
"TCD","AGO",8
"COG","AGO",267
"CIV","AGO",3
"COD","AGO",7392
"GIN","AGO",83
"MOZ","AGO",54
"NAM","AGO",198
"PRT","AGO",2323
"RWA","AGO",63
"STP","AGO",1820
"ZAF","AGO",1397
"ZMB","AGO",84
"CAN","AIA",26
"DOM","AIA",141
"GUY","AIA",96
"JAM","AIA",121
"MSR","AIA",52
"KNA","AIA",191
"GBR","AIA",167
"USA","AIA",195
"VIR","AIA",159
"AIA","ATG",13
"ABW","ATG",3
"AUS","ATG",4
"BHS","ATG",2
"BRB","ATG",104
"BLZ","ATG",5
"BMU","ATG",5
"BES","ATG",4
"VGB","ATG",38
"CAN","ATG",149
"CHN","ATG",44
"CUB","ATG",8
"CUW","ATG",7
"DMA","ATG",1722
"DOM","ATG",618
"EGY","ATG",5
"ETH","ATG",21
"FRA","ATG",18
"GUF","ATG",2
"DEU","ATG",29
"GHA","ATG",9
"GRD","ATG",65
"GLP","ATG",28
"GUY","ATG",1898
"HTI","ATG",10
"HND","ATG",3
"IND","ATG",25
"ITA","ATG",28
"JAM","ATG",1190
"JPN","ATG",5
"LBN","ATG",24
"MTQ","ATG",3
"MEX","ATG",2
"MSR","ATG",451
"NLD","ATG",8
"NZL","ATG",4
"NGA","ATG",18
"PAK","ATG",2
"PRI","ATG",19
"KNA","ATG",226
"LCA","ATG",260
"VCT","ATG",276
"SXM","ATG",7
"ZAF","ATG",15
"ESP","ATG",4
"SUR","ATG",13
"SYR","ATG",89
"TTO","ATG",245
"TCA","ATG",3
"GBR","ATG",370
"USA","ATG",879
"VIR","ATG",227
"VEN","ATG",12
"AFG","ARG",18
"ALB","ARG",60
"DZA","ARG",90
"AND","ARG",0
"AGO","ARG",13
"ARM","ARG",617
"ABW","ARG",1
"AUS","ARG",317
"AUT","ARG",1847
"BHR","ARG",9
"BRB","ARG",16
"BLR","ARG",372
"BEL","ARG",580
"BLZ","ARG",10
"BOL","ARG",90768
"BRA","ARG",19163
"BRN","ARG",0
"BGR","ARG",374
"BFA","ARG",21
"CPV","ARG",31
"KHM","ARG",16
"CAN","ARG",501
"CHL","ARG",105883
"CHN","ARG",2743
"HKG","ARG",0
"COL","ARG",1703
"COG","ARG",43
"CRI","ARG",180
"CIV","ARG",0
"HRV","ARG",1108
"CUB","ARG",963
"CYP","ARG",56
"CZE","ARG",2450
"PRK","ARG",0
"DNK","ARG",284
"DMA","ARG",9
"DOM","ARG",619
"ECU","ARG",770
"EGY","ARG",236
"SLV","ARG",87
"EST","ARG",69
"ETH","ARG",40
"FJI","ARG",1
"FIN","ARG",108
"FRA","ARG",3270
"DEU","ARG",6807
"GIB","ARG",20
"GRC","ARG",1486
"GRL","ARG",29
"GRD","ARG",24
"GTM","ARG",65
"GIN","ARG",1
"HTI","ARG",18
"HND","ARG",74
"HUN","ARG",1393
"ISL","ARG",17
"IND","ARG",117
"IDN","ARG",33
"IRN","ARG",146
"IRQ","ARG",48
"IRL","ARG",67
"ISR","ARG",664
"ITA","ARG",141854
"JAM","ARG",0
"JPN","ARG",2596
"JOR","ARG",57
"KEN","ARG",4
"LAO","ARG",296
"LVA","ARG",175
"LBN","ARG",1195
"LBY","ARG",44
"LIE","ARG",60
"LTU","ARG",905
"LUX","ARG",154
"MDG","ARG",14
"MYS","ARG",6
"MLT","ARG",3
"MEX","ARG",1328
"FSM","ARG",9
"MCO","ARG",21
"MAR","ARG",273
"MOZ","ARG",24
"MMR","ARG",0
"NAM","ARG",0
"NLD","ARG",399
"NZL","ARG",11
"NIC","ARG",82
"NER","ARG",0
"NGA","ARG",66
"MKD","ARG",4240
"NOR","ARG",30
"PAK","ARG",0
"PAN","ARG",143
"PRY","ARG",161343
"PER","ARG",28186
"PHL","ARG",85
"POL","ARG",11538
"PRT","ARG",5458
"PRI","ARG",98
"KOR","ARG",4512
"MDA","ARG",559
"ROU","ARG",1721
"RUS","ARG",2539
"SMR","ARG",5
"SAU","ARG",66
"SGP","ARG",4
"SVN","ARG",920
"SOM","ARG",0
"ZAF","ARG",147
"ESP","ARG",100436
"LKA","ARG",0
"SDN","ARG",0
"SUR","ARG",10
