"i","j","fij"
"PAK","AFG",47984
"TJK","AFG",23991
"UZB","AFG",1199
"CAN","ALB",920
"GRC","ALB",32054
"ITA","ALB",9025
"MKD","ALB",542
"TUR","ALB",1990
"USA","ALB",2408
"FRA","DZA",481
"DEU","DZA",674
"IDN","DZA",1253
"IRQ","DZA",6574
"ITA","DZA",641
"JOR","DZA",1958
"KWT","DZA",1037
"LBN","DZA",1061
"LBY","DZA",2016
"MYS","DZA",760
"RUS","DZA",695
"SAU","DZA",3404
"SOM","DZA",10035
"PSE","DZA",27470
"SDN","DZA",1384
"SYR","DZA",2665
"GBR","DZA",693
"USA","DZA",948
"ESH","DZA",143923
"YEM","DZA",2051
"CHN","ASM",600
"FJI","ASM",333
"NZL","ASM",726
"PHL","ASM",1117
"KOR","ASM",296
"WSM","ASM",15842
"TKL","ASM",21
"TON","ASM",1291
"USA","ASM",2553
"VNM","ASM",212
"ARG","AND",819
"AUS","AND",70
"BEL","AND",231
"CHL","AND",230
"DNK","AND",121
"FRA","AND",4796
"DEU","AND",392
"ITA","AND",527
"MAR","AND",556
"NLD","AND",257
"PHL","AND",443
"PRT","AND",13686
"ESP","AND",25929
"SWE","AND",53
"CHE","AND",87
"GBR","AND",1125
"USA","AND",100
"URY","AND",122
"CPV","AGO",7493
"TCD","AGO",26
"COG","AGO",862
"CIV","AGO",33
"COD","AGO",30944
"GIN","AGO",274
"MOZ","AGO",203
"NAM","AGO",725
"PRT","AGO",6329
"RWA","AGO",871
"STP","AGO",6536
"ZAF","AGO",5118
"ZMB","AGO",251
"CAN","AIA",54
"DOM","AIA",610
"GUY","AIA",357
"JAM","AIA",433
"MSR","AIA",266
"KNA","AIA",843
"GBR","AIA",390
"USA","AIA",424
"VIR","AIA",379
"AIA","ATG",37
"ABW","ATG",5
"AUS","ATG",7
"BHS","ATG",2
"BRB","ATG",284
"BLZ","ATG",13
"BMU","ATG",13
"BES","ATG",10
"VGB","ATG",92
"CAN","ATG",408
"CHN","ATG",126
"CUB","ATG",19
"CUW","ATG",18
"DMA","ATG",4462
"DOM","ATG",1678
"EGY","ATG",9
"ETH","ATG",85
"FRA","ATG",39
"GUF","ATG",5
"DEU","ATG",78
"GHA","ATG",29
"GRD","ATG",181
"GLP","ATG",71
"GUY","ATG",6086
"HTI","ATG",31
"HND","ATG",7
"IND","ATG",74
"ITA","ATG",68
"JAM","ATG",3752
"JPN","ATG",19
"LBN","ATG",52
"MTQ","ATG",5
"MEX","ATG",5
"MSR","ATG",1070
"NLD","ATG",15
"NZL","ATG",11
"NGA","ATG",38
"PAK","ATG",0
"PRI","ATG",50
"KNA","ATG",448
"LCA","ATG",636
"VCT","ATG",863
"SXM","ATG",22
"ZAF","ATG",42
"ESP","ATG",11
