"i","j","fij"
"PAK","AFG",26343
"TJK","AFG",32929
"UZB","AFG",1646
"CAN","ALB",1337
"GRC","ALB",46575
"ITA","ALB",13113
"MKD","ALB",787
"TUR","ALB",2892
"USA","ALB",3498
"FRA","DZA",556
"DEU","DZA",778
"IDN","DZA",1446
"IRQ","DZA",7579
"ITA","DZA",740
"JOR","DZA",2258
"KWT","DZA",1196
"LBN","DZA",1225
"LBY","DZA",2325
"MYS","DZA",877
"RUS","DZA",802
"SAU","DZA",3926
"SOM","DZA",11570
"PSE","DZA",31667
"SDN","DZA",1597
"SYR","DZA",3073
"GBR","DZA",800
"USA","DZA",1094
"ESH","DZA",165911
"YEM","DZA",2366
"CHN","ASM",299
"FJI","ASM",152
"NZL","ASM",229
"PHL","ASM",661
"KOR","ASM",182
"WSM","ASM",17642
"TKL","ASM",27
"TON","ASM",1142
"USA","ASM",3578
"VNM","ASM",203
"ARG","AND",151
"AUS","AND",41
"BEL","AND",241
"CHL","AND",58
"DNK","AND",138
"FRA","AND",4298
"DEU","AND",355
"ITA","AND",151
"MAR","AND",471
"NLD","AND",229
"PHL","AND",297
"PRT","AND",6771
"ESP","AND",26841
"SWE","AND",49
"CHE","AND",74
"GBR","AND",907
"USA","AND",89
"URY","AND",77
"CPV","AGO",4724
"TCD","AGO",16
"COG","AGO",543
"CIV","AGO",7
"COD","AGO",17735
"GIN","AGO",173
"MOZ","AGO",128
"NAM","AGO",457
"PRT","AGO",7014
"RWA","AGO",183
"STP","AGO",4121
"ZAF","AGO",3226
"ZMB","AGO",158
"CAN","AIA",44
"DOM","AIA",486
"GUY","AIA",285
"JAM","AIA",346
"MSR","AIA",213
"KNA","AIA",672
"GBR","AIA",311
"USA","AIA",339
"VIR","AIA",302
"AIA","ATG",32
"ABW","ATG",4
"AUS","ATG",6
"BHS","ATG",2
"BRB","ATG",248
"BLZ","ATG",11
"BMU","ATG",11
"BES","ATG",9
"VGB","ATG",80
"CAN","ATG",356
"CHN","ATG",110
"CUB","ATG",17
"CUW","ATG",16
"DMA","ATG",3898
"DOM","ATG",1466
"EGY","ATG",8
"ETH","ATG",74
"FRA","ATG",34
"GUF","ATG",4
"DEU","ATG",68
"GHA","ATG",25
"GRD","ATG",158
"GLP","ATG",62
"GUY","ATG",5317
"HTI","ATG",27
"HND","ATG",6
"IND","ATG",65
"ITA","ATG",59
"JAM","ATG",3278
"JPN","ATG",17
"LBN","ATG",45
"MTQ","ATG",4
"MEX","ATG",4
"MSR","ATG",935
"NLD","ATG",13
"NZL","ATG",10
"NGA","ATG",33
"PAK","ATG",0
"PRI","ATG",44
"KNA","ATG",391
"LCA","ATG",556
"VCT","ATG",754
"SXM","ATG",19
"ZAF","ATG",37
"ESP","ATG",10
"SUR","ATG",37
"SYR","ATG",200
"TTO","ATG",591
"TCA","ATG",5
"GBR","ATG",817
"USA","ATG",2157
"VIR","ATG",584
"VEN","ATG",32
"AFG","ARG",20
"ALB","ARG",140
"DZA","ARG",219
"AND","ARG",1
"AGO","ARG",20
"ARM","ARG",1178
"ABW","ARG",1
"AUS","ARG",575
"AUT","ARG",2146
"BHR","ARG",26
"BRB","ARG",16
"BLR","ARG",637
"BEL","ARG",1125
"BLZ","ARG",12
"BOL","ARG",226137
"BRA","ARG",32925
"BRN","ARG",2
"BGR","ARG",618
"BFA","ARG",24
"CPV","ARG",49
"KHM","ARG",44
"CAN","ARG",1110
"CHL","ARG",205945
"CHN","ARG",7432
"HKG","ARG",9
"COL","ARG",3622
"COG","ARG",88
"CRI","ARG",257
"CIV","ARG",1
"HRV","ARG",2067
"CUB","ARG",2319
"CYP","ARG",99
"CZE","ARG",3758
"PRK","ARG",29
"DNK","ARG",514
"DMA","ARG",9
"DOM","ARG",1434
"ECU","ARG",2004
"EGY","ARG",498
"SLV","ARG",156
"EST","ARG",103
"ETH","ARG",67
"FJI","ARG",1
"FIN","ARG",148
"FRA","ARG",5996
"DEU","ARG",9671
"GIB","ARG",30
"GRC","ARG",2136
"GRL","ARG",34
"GRD","ARG",23
"GTM","ARG",201
"GIN","ARG",1
"HTI","ARG",86
"HND","ARG",139
"HUN","ARG",1710
"ISL","ARG",18
"IND","ARG",205
"IDN","ARG",45
"IRN","ARG",288
"IRQ","ARG",77
"IRL","ARG",137
"ISR","ARG",1169
"ITA","ARG",210762
"JAM","ARG",25
"JPN","ARG",4550
"JOR","ARG",152
"KEN","ARG",6
"LAO","ARG",593
"LVA","ARG",258
"LBN","ARG",1570
"LBY","ARG",107
"LIE","ARG",162
"LTU","ARG",821
"LUX","ARG",203
"MDG","ARG",14
"MYS","ARG",6
"MLT","ARG",4
"MEX","ARG",3040
"FSM","ARG",9
"MCO","ARG",21
"MAR","ARG",444
"MOZ","ARG",23
"MMR","ARG",19
"NAM","ARG",4
"NLD","ARG",810
"NZL","ARG",22
"NIC","ARG",190
"NER","ARG",1
"NGA","ARG",89
"MKD","ARG",3123
"NOR","ARG",123
"PAK","ARG",10
"PAN","ARG",338
"PRY","ARG",315086
"PER","ARG",85411
"PHL","ARG",122
"POL","ARG",13338
"PRT","ARG",9046
"PRI","ARG",159
"KOR","ARG",7927
"MDA","ARG",955
"ROU","ARG",2257
"RUS","ARG",3951
"SMR","ARG",35
"SAU","ARG",167
"SGP","ARG",4
"SVN","ARG",1699
"SOM","ARG",4
"ZAF","ARG",264
"ESP","ARG",130356
"LKA","ARG",6
"SDN","ARG",18
"SUR","ARG",11
"SWE","ARG",428
"CHE","ARG",1663
"SYR","ARG",2284
"THA","ARG",127
"TTO","ARG",71
"TUN","ARG",95
"TUR","ARG",1331
"TUV","ARG",8
"UGA","ARG",1
"UKR","ARG",8036
"GBR","ARG",1978
"TZA","ARG",1
"USA","ARG",9364
"URY","ARG",113827
"VUT","ARG",18
"VEN","ARG",2600
"VNM","ARG",11
"ZMB","ARG",1
"ZWE","ARG",3
"AZE","ARM",525188
"BLR","ARM",743
"GEO","ARM",46779
"DEU","ARM",766
"GRC","ARM",2073
"IRN","ARM",11205
"IRQ","ARM",2
"KAZ","ARM",913
"LBN","ARM",1310
"RUS","ARM",20363
"SYR","ARM",3743
"TUR","ARM",2270
"TKM","ARM",953
"UKR","ARM",3008
"UZB","ARM",1335
"BES","ABW",212
"CHN","ABW",622
"COL","ABW",7043
"CUW","ABW",1751
"DMA","ABW",125
"DOM","ABW",3615
"GRD","ABW",276
"GUY","ABW",297
"HTI","ABW",1000
"IND","ABW",157
"JAM","ABW",715
"NLD","ABW",3674
"NIC","ABW",77
"PER","ABW",939
"PHL","ABW",754
"PRT","ABW",188
"VCT","ABW",131
"SXM","ABW",500
"SUR","ABW",1273
"TUR","ABW",11
"USA","ABW",681
"VEN","ABW",2856
"AFG","AUS",12580
"ALB","AUS",1530
"DZA","AUS",1170
"ASM","AUS",120
"AND","AUS",30
"AGO","AUS",420
"ATG","AUS",30
"ARG","AUS",12020
"ARM","AUS",980
"ABW","AUS",60
"AUT","AUS",21640
"AZE","AUS",190
"BHS","AUS",270
"BHR","AUS",770
"BGD","AUS",8490
"BRB","AUS",370
"BLR","AUS",1360
"BEL","AUS",5320
"BLZ","AUS",50
"BEN","AUS",30
"BMU","AUS",410
"BTN","AUS",70
"BOL","AUS",700
"BIH","AUS",28650
"BWA","AUS",670
"BRA","AUS",4750
"VGB","AUS",0
"BRN","AUS",2100
"BGR","AUS",3020
"BFA","AUS",10
"BDI","AUS",30
"CPV","AUS",30
"KHM","AUS",24970
"CMR","AUS",70
"CAN","AUS",30240
"CYM","AUS",20
"CAF","AUS",10
"TCD","AUS",40
"CHL","AUS",26080
"CHN","AUS",144690
"HKG","AUS",75420
"MAC","AUS",2050
"COL","AUS",4000
"COG","AUS",130
"COK","AUS",4600
"CRI","AUS",350
"CIV","AUS",60
"HRV","AUS",58210
"CUB","AUS",510
"CUW","AUS",90
"CYP","AUS",22810
"CZE","AUS",13110
"PRK","AUS",380
"COD","AUS",310
"DNK","AUS",9920
"DJI","AUS",80
"DMA","AUS",20
"DOM","AUS",70
"ECU","AUS",1460
"EGY","AUS",37600
"SLV","AUS",10670
"ERI","AUS",1780
"EST","AUS",1970
"SWZ","AUS",240
"ETH","AUS",3640
"FLK","AUS",130
"FRO","AUS",30
"FJI","AUS",46700
"FIN","AUS",9420
"FRA","AUS",18110
"GUF","AUS",10
"PYF","AUS",350
"GAB","AUS",20
"GMB","AUS",30
"GEO","AUS",290
"DEU","AUS",119040
"GHA","AUS",2160
"GIB","AUS",480
"GRC","AUS",130780
"GRD","AUS",130
"GLP","AUS",10
"GUM","AUS",50
"GTM","AUS",310
"GIN","AUS",30
"GNB","AUS",20
"GUY","AUS",520
"HTI","AUS",90
"HND","AUS",180
"HUN","AUS",26130
"ISL","AUS",560
"IND","AUS",90680
"IDN","AUS",58650
"IRN","AUS",21360
"IRQ","AUS",26480
"IRL","AUS",53580
"IMN","AUS",710
"ISR","AUS",7380
"ITA","AUS",234040
"JAM","AUS",930
"JPN","AUS",25300
"JOR","AUS",3480
"KAZ","AUS",380
"KEN","AUS",7190
"KIR","AUS",440
"KWT","AUS",2510
"KGZ","AUS",100
"LAO","AUS",10450
"LVA","AUS",7370
"LBN","AUS",79070
"LSO","AUS",70
"LBR","AUS",110
"LBY","AUS",1400
"LIE","AUS",20
"LTU","AUS",3850
"LUX","AUS",150
"MDG","AUS",180
"MWI","AUS",540
"MYS","AUS",84650
"MDV","AUS",170
"MLI","AUS",20
"MLT","AUS",52610
"MHL","AUS",30
"MTQ","AUS",40
"MRT","AUS",20
"MUS","AUS",18530
"MEX","AUS",1270
"FSM","AUS",20
"MCO","AUS",30
"MNG","AUS",120
"MNE","AUS",5330
"MAR","AUS",1380
"MOZ","AUS",630
"MMR","AUS",12100
"NAM","AUS",450
"NRU","AUS",500
"NPL","AUS",2000
"NLD","AUS",92790
"NCL","AUS",1210
"NZL","AUS",365060
"NIC","AUS",800
"NER","AUS",20
"NGA","AUS",1800
"NIU","AUS",460
"MKD","AUS",49560
"MNP","AUS",0
"NOR","AUS",3990
"OMN","AUS",340
"PAK","AUS",10950
"PAN","AUS",140
"PRY","AUS",360
"PER","AUS",5770
"PHL","AUS",112180
"POL","AUS",66880
"PRT","AUS",17990
"PRI","AUS",140
"QAT","AUS",250
"KOR","AUS",36180
"MDA","AUS",570
"REU","AUS",90
"ROU","AUS",14180
"RUS","AUS",16800
"RWA","AUS",50
"SHN","AUS",21
"KNA","AUS",19
"LCA","AUS",13
"VCT","AUS",47
"WSM","AUS",13080
"SAU","AUS",1530
"SEN","AUS",240
"SRB","AUS",52060
"SYC","AUS",2790
"SLE","AUS",260
"SGP","AUS",34240
"SVK","AUS",6360
"SVN","AUS",8640
"SLB","AUS",1400
