"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,18,,,3375,1725,65,,69,,,64,39,,,,,1,,,,0,,,70,,,,,,7069,,,,,1,,,,44,,,,6,,,,,0,20,,,745,,,,8,38,,,,,,,,,,72,1509,,,,,,22250,,,84,,,,,,,,,,,,179,0,9598,,843379,170,15,,1514,49,,,31,,,,387,,,7,,,,101,,16,,,,16,,,,,,,,,,,,,,,,,,36,,,6143,,207,9,,,,,,145,,631234,,,,,,8,21,,,105,,,,,5765,,,,,,,,,,56751,,,,,,,19,0,,,12,,11,2,,,,1768,832,45,6731,4,,,,,,,4400,1826,,,,571,592,2723,,16475,,,,,,,,,,,
"ALB",,,,,,,,,60,,,512,966,,,,,,,1051,,,,,3,,,,,,,151,,,,,,1689,,,,,13,,,,20,,,,0,,42,86,,41,24,,,26,,,,9,35,,,,,,,,,,6,1611,,,,,,2933,,,91476,,,,,,,,,,,,64,10,,,,,67,,,70753,,,,,,,,,,3,,,,95,,,132,,,,,,12,,,,,,,,,,,,,,,,,,112,,,,,,,33827,,39,,,,,,,,290,27,9,,,,,,342,461,,,,,,,,23,,,,287,,,,,4,17,,,35,,169,,,,,159,593,,,,,,,,,,946,,,,,,,433,,9462,,,,,8,,,,,,
"DZA",,,,,,,,,90,,,355,189,,,,,,6,10488,,,,,2,,,,,,,45,,,,,,6211,,,,,17,,,,8,,,,12,,0,38,,6,16,,,211,,,,5,384,,,,,,,,,,34,359486,46,246,19,,,2707,2,,82,,,52,,,,,,,,,64,4,,,,,92,,13717,3490,,,204,,,,,,,1,,,,1200,,,43,,,,,235,8,,36,622,,,34,,,,,,4033,,,361,,,796,261,,19,142,,,,,130,,,,,,,4,481,137,43,,,,,,1,520,,,,,,,,,,,2342,15,,,,,5,3,,,75,,4811,,,,,529,2250,,89,,,,,,,6796,102,,,,7,,,2121,,2808,,,,,43,,,25,,,
"ASM",,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519,,,,,,,705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,0,,,87,0,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,3,,,,17,,,,,,,,,,3,,,0,,,,,,,,,,,,,,,0,703,,,,,,,,,1,,,,,,,,,,,,,0,,,,,1,,,7,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248,,,,,0,9,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
"AGO",,,,,,,,,13,,,166,95,,,,,,,459,,,,,3,,,433,2618,,,1,,,930,,0,946,,,,,12,,,,24,,9616,,2,,,68,,,6,,139247,36,,,,10,11,,,195,,63,,,,,18,5198,,,188,,,,,,10,,,,,,,,,,,,12,6,,,,,130,,,543,,,,,,,,,,1,,,,,,,,,,,,31,,,,,,,21,,,,,,,9032,,8490,,,917,,,,,,,,,21,,,,,,,6,355,0,81771,,,,,,,203,,,,,,,,,271,,,,,,,,1,,,,4272,,699,,,,,221,1913,,,,,,,,,,,,,,,,,1593,387,2071,,,,,76,,,,,70443,
"AIA",,,,,,,,13,,,,,,,,,,,,,,,,,,167,,,,,,6,,,,,,62,,,,,6,,,,14,,,,,,,,,,,,,,,3,65,,,,,,,,,,,,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,144,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,539,,,,,,,,,,
"ATG",,,,,,,,,,,,12,5,,6,,,164,,,,,,,1,369,,,,254,,0,,,,,,1073,,,,,5,,,,26,,,,,,,,,,0,,,0,,115,150,,7,,,,,,,,,,,15,,,,,,,,,5,,14,,,,,,5,,,,,,,,,,0,,,5,73,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,72,,,,397,,,8,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,122,32,,25,,,,,,,,,,,,,,,,,,,,,,1,18,,,,,,,,,,,,,,,,,1135,,8504,2539,,,,,,,,,,
"ARG",,,,,56,,,,,,,6281,462,,5,,,,53,620,,,,,12707,18,,,12583,,,17,,,6,,,6207,4,,,,19600,,,,1112,,,,433,,107,143,,13,57,,,464,,,1248,814,97,91,,,,,,15,,,52,5821,,,,,,2581,,,356,,,,,159,,,,189,,63,59,3,,,,,94,,15500,16699,,1534,,,,,,,,9,,,,,0,43,17,,,,,,3,,,30,,,2704,,,,,,,,,44,,,970,,273,64,,,,,,266,,,,315,,28615,3624,15,99,354,654,,,,,4,273,,,,,,,,34,,,,25,,,,,18,63,,,384,,26317,,,,,1137,2567,,,,,,,,,,40,,,,,,,2068,,59360,,10678,,,4329,,,,,,
"ARM",,,,,,,,,617,,,370,919,116135,,,,,2534,3,,,,,1,,,,,,,600,,,,,,916,,,,,8,,,,,,,,2,,,,,196,132,,,201,,,,7,91,,,,236,,,,,,5,3734,,,,,1701,3722,,,4943,,,,,,,,,,,,90,2,,,245,,14,,,96,,,19,3033,,,,3199,,517,,,,206,,269,,,,,,,6,,,,,,31,,,,,,,,,0,,,30,,,,,,,,,7,,,,,,,,19,420,15,,,,,,0,241177,,,,,,,,,,,,94,,,,,28,,,,,,306,,,,,166,209,,134,,,,,,,,287,4555,,,,21328,,168,,27356,,,4324,,13,,,,,,
"ABW",,,,,,,,3,1,,,10,,,,,,,,,,,,,2,2102,,,,,,0,,,,,,286,,,,,13,,,,128,,,,7,,,,,,,,,1,,15,180,,,,,,,,,,,,,6,,,,,,,,,29,,,,,,,,,,,,,0,,,,,2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,,2156,247,,,,247,,,,,,
