"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"ABW",,,,,,,,4,1,,,10,,,,,,,,,,,,,0,2415,,,,,,0,,,,,,269,,,,,26,,,,132,,,,9,,,,,,,,,1,,11,158,,,,,,,,,,,,,5,,,,,,,,,18,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,2012,220,,,,251,,,,,,
"AUS",,,,,17,,,4,353,,,,686,,13,,,12,9,320,,,18,2,41,,,59,85,9,122,4,,,,20,,6872,9,0,,,326,991,2583,,111,,,44,42,,428,,,363,24,43,,523,,2,20,56,243,20,,,,0,,2,,619,219,2181,,32,,,,3100,12,,9149,,,,,28,,,,,,,413,37,1772,2471,,,270,66,1132,5504,,1950,102,,,24,,,8,19,,,,690,,9,39,,,945,17,,1817,,,,,,104,,,1,,,,,,489,84,,3918,124,25443,,,,3,,,442,,,,48,5801,,160,346,404,190,,,137,,,7,388,,,,5,,,101,,,,,36,37,,1299,,10,123,156,,2471,,1251,19,,,,695,1565,,,184,224,,4,,,,1506,,,,,,,39813,,27975,,,,180,63,8,,,,42,
"AUT",,,,,,,,,2479,,,10436,,,11,,,,23,604,,,18,,84,,169,,2582,,,12,,,,,,13137,2,7,,,319,,,,138,,,,26,,775,,,49,993,,,701,,,155,80,386,11,,,,,,,,,105,7675,,,,,,80952,,,2154,,,,,,,,,28,,,2893,28,,,,,25,,3343,12940,,152,44,,,,,,,23,,,,1097,1054,24,311,,,,23,,11,,,,,,220,,,2,,,,,,418,,,3937,,296,21,,,,,,477,,,,15,,,54,34,3089,60,,,,,,410,1923,,,,3,,,,,,,,419,,,,,170,2633,,,2009,,1256,,,,,2060,30675,,54,,,,,,,,3539,,,,,,,14724,,56266,,,,,509,,,,,,
"AZE",,,,,,,,,,268918,,55,286,,,,,,6692,4,,,,,0,,,,,,,4,,,,,,534,,,,,3,,,,,,,,1,,,,,5,20,,,57,,,,,2,,,,853,,,,,,0,197,,,,,4269,275,,,77,,,,,,,,,,,,69,1,,,349,,4,,7687,4,,,,16396,,,,8083,,397,,,,,,685,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,0,,,,,,,,,192,1,,,,1379,,,477127,,,,,,,,,,,,,,,,,1,,,,,,20,,,,,104,62,,143,,,,,,,,1860,6511,,,,46567,,31,,4611,,,11579,,,,,,,,
"BHS",,,,,,,,3,,,,86,6,,,,,30,,6,,,,,2,23,,,,9,,0,,,,,,544,27,,,,0,,,,,,,,3,,,,,0,,,,4,,3,52,7,10,,,,,,,,,,1,38,,,,,,,,,9,,9,,,,,,2,,,,0,1,,,,,2,,,4,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,9,,,11,,,,,,3,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,2,,,,,2,37,,,,,,,,,,,,405,,,,,100,,12781,,,,,,,,,,,
"BHR",,,,,,,,,9,,,245,6,,,,40,,,0,,,,,0,,,,,,,0,,,,,,152,,,,,1,,,,,,,,0,,,,,12,1,,,32,,,3,,229,,,,,,,,,,1,28,,,,,,,,,2,,,,,,,,,,,,5,0,,,,,8,,,0,,,82,,,,170,,,0,37,,,649,,,,,,,,,,,,,,,,,,,,,,,,52,,,25,,,,,,,,,3,56,,,,,,,6,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,75,,1,2,4287,,,16,34,,,,,,,,,,,,,,,,173,219,,,,,,,,,,,,,
"BGD",,,,,,,,,,,,927,501,,,2049,,,,184,,,,8,2,,,,,,66,4,,,,,,2157,,,,,0,1227,103,,,,,,12,,,,,3,1,53,,163,,,,,23,0,,,,,,,,714,22,766,,,,,,394,,,3420,,,,,,,,,,,,8,0,2050262,,,,80,,,594,,1035,297,,,,17595,,,0,136,,,66,,,12,,,963,731,,3,,,,50,,12,,,,,,,,212,18,,457,256,,88,,,,,,13,208,718,,,0,,,,31,3,4,,3480,4,,,1,652,,,,,,,,,,121984,,,7,,2978,,,,,,706,,43,2,,,,1053,159,,,287,43,,,,,,6,,,,39,,15692,47917,,7195,,,,,,10,,,,,
"BRB",,,,,,,,106,16,,,132,6,,85,,,,,16,,,,,2,98,,,,34,,1,,,,,,7299,17,,,,12,,,,,,,,2,,,,,,2,,,6,,28,,,,33,,,,,,,,,0,23,,,,,,,,,3,,51,,,,,,76,,,,0,0,,,,,2,,,2,213,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,4,,,,84,,,,,,,,,,,,,,,,24,160,,132,,,,,,,,,,,,,,,11,,2,,,,,22,21,,,,,,,,1158,,,,,,,,,10985,,23628,140,,,,125,,,,,,
"BLR",,,,,,,,,385,900,,132,678,512,,,,,,97,,,,,0,,,,,,,72,,,,,,2169,,,,,4,,,,,,,,2,,0,,,63,184,,,92,,,,,141,,,,12527,,,,,,0,674,,,,,9360,753,,,265,,,,,,,,,,,,45,0,,,,,65,,17481,61,,,,38028,,,,17721,,34334,,,,401,,45489,39,,,,,,3,,,,,,,,,,,,,,,,,,5,,,,,,,,,0,,,,,,,,,85657,14,,,,7700,,5,412194,,,,,,,,,,,,13,,,,,42,8,,,58,,35,,,,,230,93,,500,,,,,,,,52,1230,,,,230571,,106,,11023,,,19844,,,,,,,,
"BEL",,,,,112,,,,566,,,2326,739,,5,,,,8,,,,10,,105,,,,866,,,3,,327,7,,,11071,1,,,,493,,,,178,,,,85,,103,,,33,81,,,394,,,187,140,335,47,,,,,,,,,53,73638,35,,70,,,10807,,,2980,,,96,,,85,,,,,6,55,19,,,,,241,,2015,10309,,197,16,,,,,,,5,,,,951,0,8,5883,,,,,,10,,30,31,16,,335,,,,,,451,,,136,,,22983,,,16,,,,,,433,,,,7,,,181,19,2002,807,,,,,,164,437,,,,2,,,,,,,,5,17,,,,35,134,,,3127,,9056,,,,,456,5186,,,,,8,,,,,2416,,,,19,,,10476,,23234,,,,,239,,,,,,
