"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,2,,,4518,3632,158,,167,,,152,40,,,,,0,,,,0,,,153,,,,,,6608,,,,,6,,,,60,,,,5,,,,,3,57,,,903,,,,13,150,,,,,,,,,,72,1946,,,,,,29287,,,388,,,,,,,,,,,,224,1,10318,,1186056,114,64,,1322,187,,,44,,,,681,,,15,,,,351,,29,,,,20,,,,,,,,,,,,,,,,,,25,,,8388,,282,13,,,,,,206,,660633,,,,,,25,166,,,312,,,,,9811,,,,,,,,,,113637,,,,,,,106,2,,,24,,26,13,,,,2229,1411,47,5517,5,,,,,,,5233,1384,,,,1897,1496,5437,,20837,,,,,,,,,,,
"ALB",,,,,,,,,84,,,803,989,,,,,,,1092,,,,,0,,,,,,,165,,,,,,1574,,,,,11,,,,32,,,,2,,41,98,,57,42,,,19,,,,10,61,,,,,,,,,,11,1890,,,,,,5370,,,138742,,,,,,,,,,,,49,5,,,,,91,,,88919,,,,,,,,,,3,,,,171,,,143,,,,,,7,,,,,,,,,,,,,,,,,,155,,,,,,,24182,,42,,,,,,,,276,43,15,,,,,,290,527,,,,,,,,5,,,,77,,,,,25,34,,,28,,190,,,,,189,723,,,,,,,,,,993,,,,,,,748,,12978,,,,,8,,,,,,
"DZA",,,,,,,,,134,,,595,613,,,,,,35,13661,,,,,5,,,,,,,60,,,,,,5803,,,,,27,,,,11,,,,9,,0,40,,7,105,,,506,,,,13,189,,,,,,,,,,271,454931,48,418,26,,,9659,5,,176,,,47,,,,,,,,,301,13,,,,,221,,11797,7501,,,116,,,,,,,8,,,,879,,,49,,,,,272,17,,32,927,,,53,,,,,,4396,,,323,,,1898,333,,21,222,,,,,428,,,,,,,7,588,412,75,,,,,,4,669,,,,,,,,,,,1280,26,,,,,27,5,,,158,,7895,,,,,1038,3730,,71,,,,,,,6873,276,,,,26,,,4777,,5051,,,,,39,,,20,,,
"ASM",,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,,,,,,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,94,2,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,6,,,,24,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,1,570,,,,,,,,,4,,,,,,,,,,,,,0,,,,,0,,,4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1107,,,,,0,16,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
"AGO",,,,,,,,,7,,,204,117,,,,,,,526,,,,,2,,,456,2994,,,3,,,969,,0,888,,,,,19,,,,24,,8654,,0,,,97,,,44,,137155,41,,,,6,10,,,238,,80,,,,,31,6673,,,269,,,,,,9,,,,,,,,,,,,31,9,,,,,125,,,481,,,,,,,,,,0,,,,,,,,,,,,41,,,,,,,22,,,,,,,10688,,14488,,,1626,,,,,,,,,20,,,,,,,3,426,32,72483,,,,,,,267,,,,,,,,,285,,,,,,,,10,,,,6771,,833,,,,,182,2319,,,,,,,,,,,,,,,,,1650,571,1281,,,,,88,,,,,70558,
"AIA",,,,,,,,12,,,,,,,,,,,,,,,,,,184,,,,,,10,,,,,,59,,,,,5,,,,24,,,,,,,,,,,,,,,6,90,,,,,,,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,567,,,,,,,,,,
"ATG",,,,,,,,,,,,3,0,,4,,,82,,,,,,,4,300,,,,202,,2,,,,,,1009,,,,,7,,,,10,,,,,,,,,,2,,,0,,128,146,,6,,,,,,,,,,,5,,,,,,,,,8,,14,,,,,,3,,,,,,,,,,2,,,1,70,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,66,,,,265,,,8,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,109,33,,28,,,,,,,,,,,,,,,,,,,,,,6,31,,,,,,,,,,,,,,,,,1000,,6872,2071,,,,,,,,,,
"ARG",,,,,62,,,,,,,6260,485,,3,,,,39,532,,,,,12434,10,,,15391,,,13,,,2,,,5829,3,,,,19651,,,,1359,,,,431,,59,140,,17,57,,,435,,,1687,1140,146,120,,,,,,21,,,68,4644,,,,,,2035,,,272,,,,,159,,,,253,,81,64,6,,,,,81,,14003,9096,,1416,,,,,,,,5,,,,,0,50,19,,,,,,6,,,34,,,2662,,,,,,,,,26,,,815,,243,83,,,,,,225,,,,352,,28910,3463,28,115,300,591,,,,,4,299,,,,,,,,40,,,,13,,,,,14,66,,,318,,24493,,,,,1133,2682,,,,,,,,,,42,,,,,,,1654,,50987,,7292,,,4809,,,,,,
"ARM",,,,,,,,,590,,,340,977,89233,,,,,3761,3,,,,,0,,,,,,,579,,,,,,862,,,,,7,,,,,,,,2,,,,,217,208,,,229,,,,8,52,,,,419,,,,,,5,3025,,,,,1596,4170,,,5495,,,,,,,,,,,,75,0,,,328,,14,,,56,,,10,4123,,,,2798,,795,,,,140,,601,,,,,,,7,,,,,,35,,,,,,,,,89,,,32,,,,,,,,,8,,,,,,,,22,590,19,,,,,,1,275248,,,,,,,,,,,,28,,,,,29,,,,,,351,,,,,151,206,,87,,,,,,,,178,4638,,,,23012,,155,,26738,,,4078,,16,,,,,,
"ABW",,,,,,,,3,0,,,18,,,,,,,,,,,,,0,1637,,,,,,2,,,,,,269,,,,,14,,,,148,,,,15,,,,,,,,,2,,7,187,,,,,,,,,,,,,4,,,,,,,,,37,,,,,,,,,,,,,0,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,1479,221,,,,177,,,,,,
"AUS",,,,,20,,,3,283,,,,786,,23,,,13,12,482,,,23,12,53,,,55,216,3,201,23,,,,89,,7684,27,9,,,428,1799,3896,,89,,,74,23,,306,,,514,50,61,,651,,1,52,77,224,10,,,,5,,6,,741,272,1768,,34,,,,3286,6,,9927,,,,,22,,,,,,,365,24,871,2353,,,897,65,1124,2135,,2937,118,,,42,,,10,40,,,,569,,14,34,,,1040,21,,1926,,,,,,89,,,3,,,,,,294,109,,4118,116,24935,,,,6,,,397,,,,47,8672,,204,795,387,341,,,348,,,31,391,,,,3,,,188,,,,,289,31,,1961,,43,105,202,,1381,,1315,69,,,,1257,1865,,,673,204,,3,,,,1316,,,,,,,39437,,18023,,,,235,67,15,,,,39,
"AUT",,,,,,,,,1354,,,12535,,,7,,,,20,968,,,12,,80,,133,,1826,,,35,,,,,,11439,24,18,,,275,,,,126,,,,50,,579,,,53,1269,,,662,,,895,115,249,5,,,,,,,,,151,3995,,,,,,101898,,,1050,,,,,,,,,135,,,2625,29,,,,,83,,3012,2668,,187,57,,,,,,,42,,,,581,1074,25,198,,,,18,,9,,,,,,284,,,2,,,,,,464,,,2816,,424,26,,,,,,474,,,,29,,,67,77,2552,115,,,,,,299,1943,,,,4,,,,,,,,2743,,,,,550,1498,,,1256,,1477,,,,,3151,18625,,35,,,,,,,,5040,,,,,,,5577,,27812,,,,,457,,,,,,
"AZE",,,,,,,,,,235987,,54,351,,,,,,8516,3,,,,,0,,,,,,,210,,,,,,506,,,,,1,,,,,,,,1,,,,,5,38,,,29,,,,,22,,,,1106,,,,,,1,206,,,,,3131,3367,,,124,,,,,,,,,,,,57,1,,,515,,14,,7180,20,,,,19146,,,,5495,,1435,,,,,,1178,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,0,,,,,,,,,138,3,,,,1575,,,481763,,,,,,,,,,,,,,,,,4,,,,,,24,,,,,51,110,,81,,,,,,,,5143,4794,,,,43333,,152,,5818,,,11422,,,,,,,,
"BHS",,,,,,,,2,,,,109,8,,,,,27,,7,,,,,4,43,,,,5,,1,,,,,,559,57,,,,1,,,,,,,,6,,,,,0,,,,1,,2,42,10,2,,,,,,,,,,0,27,,,,,,,,,10,,11,,,,,,3,,,,2,0,,,,,7,,,5,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,21,,,10,,,,,,4,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,5,,,,,12,43,,,,,,,,,,,,342,,,,,481,,10444,,,,,,,,,,,
"BHR",,,,,,,,,18,,,338,6,,,,5603,,,55,,,,,1,,,,,,,2,,,,,,387,,,,,2,,,,,,,,1,,,,,20,8,,,41,,,20,,140,,,,,,,,,,1,27,,,,,,,,,8,,,,,,,,,,,,7,1,,,,,21,,,0,,,186,,,,48,,,0,80,,,465,,,,,,,,,,,,,,,,,,,,,,,,19,,,34,,,,,,,,,6,139,,,,,,,17,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,44,,4,40,3951,,,31,83,,,,,,,,,,,,,,,,169,1195,,,,,,,,,,,,,
