"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"KEN",,,,,,,,,2,,,3739,234,,3,,,,,215,,,,,4,,,133,,,,3,,115,,,,9864,10,,,,11,,,,,38,,,6,,,,,19,14,,,454,,,,,67,,,117,,,,,2,,97,314,,,,,,1418,7,,136,,,,,,,,,,,,32,10,1396,,,,239,,,347,,,,,,,,,,0,,,,145,,,,,,,,,13,,,,,,10,,,,,,,7539,,738,,,812,,545,,,,,,,398,,,,,,,,125,30,63,,,,,,,205,1288,,,,,,,,,,,,102,0,,,7,7,,,3253,,230,,,3287,,557,1092,,,,,,,,,,104,,,,16601,,,63010,12971,21882,,,,,,,,,,159,
"KIR",,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,368,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,474,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,445,,,,,,,,,2,,,,,,,,,,,,,,13,,,,77,,,,,,,,,,,,,
"KWT",,,799,,,,,,,,,1352,114,,,1447,,,,78,,,,,3,,,,,,,35,,,,,,4589,,,,,6,,,,13,,,,,,,,,59,18,,,545,,,,,1353,,,,,,,,,,41,432,,,,,,,,,87,,,,,,,,,,,,78,1,3614,,,166,141,,,67,,,647,,,,,,,1,282,,,5905,,,,,,,,,11,,,14,,,,,,,,,,,,,,,761,,,,,,,,,79,163,,,,,,,30,87,,,4899,,,,,129,,,,,,,,,,,,42,,,,,33,2,,,28,,483,288,7674,,,429,179,,,,,,,,,,173,,,,,,15466,3060,,10404,,,,,36,,,,,,
"KGZ",,,,,,,,,,,,50,161,1448,,,,,2627,3,,,,,0,,,,,,,16,,,,,,290,,,,,1,,,,,,,,,,,,,5,40,,,1,,,,,35,,,,248,,,,,,0,34,,,,,79,13921,,,89,,,,,,,,,,,,18,0,,,,,16,,731,11,,,,2197,,,,,,554,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,3,,,,,,,,,33,,,,0,,,,225474,,,,,,,,,,,,,,,,,7,0,,,0,,134,,,,,10,119,,6081,,,,,,,,924,,,,,13976,,42,,1215,,,2142,,,,,,,,
"LAO",,,,,,,,,301,,,5197,40,,,,32609,,,472,,,,,8,,,,,,,0,,,,283,,6840,,,,,1,,,,,,,,1,,,,,0,3,,,12,,,,,,,,,,,,,,,1,26525,445,,,,,610,,,3,,,,,,,,,,,,17,,,,,,17,,,77,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,58,316,,,,,,,,24,,,,,,,,272,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,8,,188,,,,,179,375,,,133655,,,,,,,,,,,,,,201,,106640,,,,,,2130,,,,,
"LVA",,,,,,,,,90,,,3463,185,,,,,,3203,26,,,,,0,,,,,,,13,,,,,,3691,,,,,12,,,,6,,,,0,,4,,,21,27,,,260,,,,,,,,,1816,,,,,,103,613,,,,,69,5086,,,12,,,,,,,,,,,,23,13,,,,,4448,,3544,29,,,,405,,,,709,,,,,,,,4059,1,,,,,,8,,,,,,11,,,,,,,,,,,,79,,,,,,,,,78,,,,,,,,,909,47,,,,,,,49778,,,,,,,,,,,,,,,,,32,1,,,120,,89,,,,,930,322,,,,,,,,,,21,,,,,11131,,2352,,11080,,,,,60,,,,,,
"LBN",,,504,,,,,22,796,559,,41310,780,,,605,,,67,1662,28,,,,34,602,,,9906,12,,292,,,,,,32735,,,,,122,,,,657,,339,,46,,0,33,,673,85,,,6777,,14,536,119,971,,,,,,,,,,177,23575,,,900,,4,28256,334,,1317,,,94,,11,,,,,,,180,13,,,,433,88,,2020,2493,,,990,,,,2786,,,36,,,2194,4443,,95,11,,,,5,,23,,,59,,,928,,,,,,459,,,37,,,1719,,,,,,,,,696,,,,214,,,30,71,274,32,19,2402,,,,816,1105,,,,3,,,,,,40260,539,27,,1038,,,59,19,,,215,,1717,122,1062,,,11046,2866,,,,,,,,,,526,,,,,1907,6464,5762,,59668,,,,,3928,,,,,,
"LSO",,,,,,,,,,,,35,0,,,,,,,3,,,,,0,,,657,,,,,,,,,,45,,,,,6,,,,,,,,,,,,,,3,,,12,,,,,,,,,,33,,,,,0,6,,,,,,,,,0,,,,,,,,,,,,3,,,,,,20,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207,,80,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,63824,,,,,,,6,26,,,,,,,,,,,,,,,,,129,76,,,,,,,,,,,,
"LBR",,,,,,,,,,,,74,159,,,,,,,251,,,,,0,,,,,,,2,,,,,,328,,,,,3,,,,,,,,,10464,,,,,1,,,58,,,,,20,,,,,9,,,,,29,514,,,,93,,2635,7054,,12,,,,,,66999,572,,,,,16,0,,,,,71,,,105,,,,,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,1369,,,,,4630,,,,34,,,,,,,,,,25,,,,,,,,,,,,,,,,,,192,,,5291,,,,0,,,130,,1168,,,,,266,180,,,0,,50,,,,,,,,,,,,861,,19348,,,,,,,,,,,
"LBY",,,1267,,,,,,65,,,765,193,,,,,,,127,,,,,4,,,,,,,53,,,,,,1197,,,693,,14,,,,,,,,4,3319,0,,,59,36,,,108,,,,,1979,,,,,,,,,,41,754,,,,,,1859,,,334,,,,,,,,,,,,140,0,,2401,,,294,,9103,1463,,,681,,,,,,,1,286,,,,,,,,,,,,397,,,75,,,,,,,,,399,,,24,,,253,,,,80,,,,,50,,,,14,,,,28,190,8,,,,,,,194,,,,,,,,,,,,230,,,,,27,19,,,57,,945,7,,1283,,238,455,,,,,,,,,918,1632,,,,1,,,5070,,2741,,,,,86,,,,,,
"LIE",,,,,,,,,105,,,10,106,,,,,,,1,,,,,1,,,,,,,2,,,,,,,,,,,1,,,,,,,,2,,,,,,0,,,5,,,,,,,,,,,,,,,0,57,,,,,,59,,,3,,,,,,,,,,,,2,,,,,,2,,,14,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,53,,,,,0,762,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
"LTU",,,,,,,,,300,,,1898,224,,,,,,4766,26,,,,,2,,,,,,,6,,,,,,3306,,,,,7,,,,18,,,,4,,3,,,7,36,,,361,,,,,,,,,894,,,,,,54,680,,,,,48,4925,,,35,,,,,,,,,,,,42,19,,,,,7878,,4783,46,,,,1664,,,,1991,,11629,,,,,,,4,,,,,,5,,,,,,33,,,,,,,,,,,,69,,,,,,,,,53,,,,20,,,,,32866,101,,,,,,0,43091,,,,,,,,,,,,7,,,,,29,1,,,77,,103,,,,,319,249,,,,,,,,,,96,,,,,13940,,2083,,12746,,,,,59,,,,,,
"LUX",,,,,,,,,55,,,78,289,,,,,,,6794,,,,,3,,,,,,,2,,,3,,,253,,,,,7,,,,10,,,,3,,4,,,1,5,,,121,,,,,,,,,,,,,,,17,3496,,,,,,3009,,,42,,,,,,,,,,,,50,38,,,,,31,,,233,,,,,,,,,,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,26,,,358,,,,,,,,,55,,,,,,,6,,57,1620,,,,,,23,48,,,,,,,,,,,,59,,,,,15,11,,,4,,610,,,,,56,828,,,,,,,,,,19,,,,,,,566,,1099,,,,,,,,,,,
"MDG",,,,,,,,,1,,,83,15,,,,,,,268,,,,,0,,,140,,,,1,,,,,,932,,,,,5,,,,,4851,,,0,,,,,2,8,,,12,,,,,28,,,,,,,,,,1,16243,,,,,,260,,,62,,,,,,,,,,,,9,1,,,,,5,,,184,,,,,,,,,,1,,,,,,,,,,,,,,,,,409,1789,,,,,,,,,,,,,56,,,,,,,,,186,,,,,,,,,,22,,,,,5468,,75,,,,,,,,,,,,,40,,,,,0,,,81,,263,,,,,23,531,,,,,,,,,,,,,,,,,268,,,,,,,,,,,,,
"MWI",,,,,,,,,,,,284,15,,,,,,,16,,,,,2,,,1002,,,,,,,,,,189,,,,,1,,,,,,,,,,,,,2,4,,,19,,,,,17,,,163,,,,,,,2,40,,,,,,,,,,,,,,,,,,,,,,1,,,,,46,,,18,,,,,,,,,,0,,22,,,,,,,,,,,,,,,,,,,,,,,,19734,,259,,,110,,,,,,,,,5,,,,,,,,,,73,,,,,,,6,,,,,,,,,,,,,,,,,,0,,,20974,,38,,,,,21,45,,,,,,,,,,,,,,5,,,5953,3848,,,,,,,,,,,4273,53031
"MYS",,,613,,,,,,0,,,39743,164,,,,86397,,,140,,,12,,2,,,,,,25059,1,,,,262,,10265,13,,,,14,2466,6418,,,,,,3,,,,,6,6,76,,176,,,7,9,1355,,,,,,,,,,106,853,,,,,,1634,,,22,,,,,,,,,,,,35,6,4108,1116,,,1083,,,114,,3875,184,,,,,,,10,,,,4468,,,9,,,,32,,8,,,,21,,31,,,,,,,,,,,,1314,,5421,,,,,,,134,,,,20,45,,16,170,5,14,,,169,,,,289,,,,6,,,,,,,,,,,290654,,,2,120,,104,,367,146,,,,486,803,,,893,83,,,,,,136,,,,,,,21117,,27522,,,,,15,65,,,,,
"MDV",,,,,,,,,,,,78,4,,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,0,,,,,,0,,,0,,,,,15,,,,,,,,,,1,3,,,,,,,,,2,,,,,,,,,,,,,,131,,,,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,0,,,,,0,,,16,,,240,,,,3,34,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,
"MLI",,,,,,,,,,,,10,50,,,,,,,139,,248,,,0,,,,,,,0,18029,,7,,,401,,246,,,39,,,,,,10731,,,245595,,,,,7,,,16,,,,,122,,,,,,,,,,3,33387,,,18329,5601,,642,2832,,12,,,,,,11243,,,,,,13,0,,,,,16,,,264,,,,,,,,,,3,,,1230,178,,,,,,,,,,,,3787,,,,,,,,,,,,,,,52,,,,21142,36273,,,,12,,,,,,,,,26,37,,,,,,0,102,,,,,,,,,,,14438,,,980,,,,2,,,25,,1227,,,568,,41,172,,,,,1530,,,,117,,,,,,,,65,,,,,,,,,,149,,147,
"MLT",,,,,,,,,1,,,27462,34,,,,,,,121,,,,,1,,,,,,,8,,,,,,4524,,,,,10,,,,,,,,,,,,,9,3,,,33,,,14,,,,,,,,,,,,14,427,,,,,,133,,,33,,,,,,,,,,,,12,0,,,,,88,,,173,,,,,,,,,,2,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,26,,,,,,,16,,,14,,,,,,,298,,,,,,,,,,,,29,,,,,9,0,,,50,,88,,,,,46,100,,,,,,,,,,14,,,,,,,13926,,4514,,,,,,,,,,,
"MHL",,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,139,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,3233,,,,,,,,,,,
"MTQ",,,,,,,,2,,,,20,,,,,,,,,,,,,,96,,,,,,,,,,,,138,,,,,2,,,,,,,,2,,,,,0,,,,0,,57,21,,,,,,,,,,,,,,2498,,,,,,,,,,,3542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
"MRT",,,,,,,,,,,,10,21,,,,,,,658,,,,,0,,,,,,,2,,,,,,72,,,,,1,,,,,,1169,,,8324,,,,,1,,,14,,,,,82,,,,,,,,,,0,8187,,,,2646,,,7,,3,,,,,,328,281,,,,,3,,,,,101,5,,,261,,,64,,,,,,,,,,,195,,,,,,,,7103,,,,,,,,,,,,,541,,,,,,315,,,,,,,,,9,,,,,,,,,,24,,,,,,,,,,,,,,,,,,32872,,,100,,,,1,,,,,1704,,,,,18,57,,,,,35,,,,214,,,,,0,,,18,,,,,,,,,,260,,,
"MUS",,,,,,,,,,,,8974,39,,,,,,,974,,,,,,,,427,,,,0,,,,,,3189,,,,,2,,,,,,,,,,,,,3,1,,,55,,,,,,,,,,,,,,,11,16147,,,,,,,,,14,,,,,,,,,,,,19,3,141,,,,257,,,4405,,,,,,,,,,0,,,,,,,14,,,,,,,,,,,,,,,,,,,,,58,,,112,,,,,,,,,69,,,,,,,,,,,,,,,1651,,142,,,,,,,,,,,,,324,,,,,0,,,1903,,200,,,,,46,689,,,,,,,,,,,,,,,,,13339,100,,,,,,,,,,,,
"MYT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,
"MEX",,,,,,,,2,1505,,,583,456,,54,,,,,593,1354,,,,4609,8,,,707,,,5,,,4,,,20421,20,,,,848,,,,1150,,,,1106,,5,202,,10,22,,,199,,,893,432,16,647,,,,,,,,,67,2462,,,,,,1775,,,77,,,,,5374,,,,118,,562,148,11,,,,,110,,905,873,,804,,,,,,,,7,,,,,0,,6,,,,,,,,,,,,,,,,,,,,,,,,545,,,315,,,,,,150,,,,1078,,913,509,63,60,76,1283,,,,,3,91,,,,1,,,,,,,,11,,,,,35,6,,,58,,8137,,,,,495,1886,,,,,,,,,,69,,,,,,,2167,,5104175,,269,,,1461,,,,,,
