"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,15,,,18620,6668,213,,392,,,281,2488,,,,,1,,,,28,,,260,,,,,,30718,,,,,22,,,,96,,,,2,,,,,6,221,,,6641,,,,27,183,,,,,,,,,,1510,3409,,,,,39,75824,,,3401,,,,,,,,,,,,657,4,9720,,2171005,308,173,,2610,3384,,,72,,,,1316,,,24,,,,259,,31,,,,271,,,,,,,,,,,,,,,,,,45,,,32382,,2051,54,,,,,,5071,,1162810,,,,,,632,151,,,620,,,,,8328,,,,,,,,,,216261,,,,,,,488,0,,,52,,219,63,,,,8345,3300,626,12636,10,,,,,,,9325,808,,,,2207,3208,36100,,51965,,,,,,,,,,,
"ALB",,,,,,,,,103,,,2270,2434,,,,,,,3289,,,,,1,,,,,,,824,,,,,,9642,,,,,37,,,,43,,,,2,,165,83,,185,184,,,173,,,,35,105,,,,,,,,,,114,5747,,,,,10,13162,,,423598,,,,,,,,,,,,159,30,,,,,347,,,360959,,,,,,,,,,7,,,,244,,,229,,,,,,76,,,,,,,,,,,,,,,,,,666,,,,,,,69782,,276,,,,,,,,471,94,45,,,,,,690,578,,,,,,,,30,,,,489,,,,,68,49,,,90,,1094,,,,,691,1492,,,,,,,,,,3180,,,,,,,7351,,54825,,,,,16,,,,,,
"DZA",,,,,,,,,162,,,1330,998,,,,,,53,18521,,,,,7,,,,91,,,279,,,,,,34754,,,,,66,,,,20,,,,6,,28,35,,24,408,,,924,,,,24,771,,,,,,,,,,542,1337210,88,743,62,,17,17681,11,,722,,,137,,,,,,,,,578,24,,,,,688,,36950,19139,,,602,,,,,,,14,,,,2910,,,76,,,,,2260,38,,95,1614,,,108,,,,,,9103,,,503,,,4050,719,,99,446,,,,,920,,,,,,,17,437,528,212,,,,,,8,907,,,,,,,,,,,3523,56,,,,,75,27,,,247,,48283,,,,,1992,7337,,133,,,,,,,9577,621,,,,0,,,16429,,12680,,,,,84,,,59,,,
"ASM",,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,,,,,,,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,30,2,,,,,,,,,,,,0,,,,5,,,1,,,,,,,,,,,13,,,,38,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,2,980,,,,,,,,,4,,,,,,,,,,,,,0,,,,,3,,,75,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,4135,,,,,1,38,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,
"AGO",,,,,,,,,15,,,450,264,,,,,,,3213,,,,,5,,,1992,6418,,,5,,,1283,,2571,2486,,,,,82,,,,45,,15550,,1,,,75,,,129,,262085,129,,,,21,25,,,480,,219,,,,,228,14835,,,624,,,,,,14,,,,,,,,,,,,67,30,,,,,561,,,1807,,,,,,,,,,2,,,,,,,,,,,,271,,,,,,,47,,,,,,,31022,,39319,,,9301,,,,,,,,,241,,,,,,,13,2042,42,169591,,,,,,,457,,,,,,,,,514,,,,,,,,18,2,,,21994,,3438,,,,,552,5161,,,,,,,,,,,,,,,,,9467,1153,7294,,,,,169,,,,,98687,
"AIA",,,,,,,,35,,,,,,,,,,,,,,,,,,569,,,,,,30,,,,,,103,,,,,22,,,,35,,,,,,,,,,,,,,,13,101,,,,,,,,,,,,,123,,,,,,,,,14,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,18,,,,,,,,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,,,1037,,,,,,,,,,
"ATG",,,,,,,,,,,,30,6,,11,,,225,,,,,,,0,1084,,,,600,,4,,,,,,2285,,,,,18,,,,33,,,,,,,,,,2,,,2,,357,248,,15,,,,,,,,,,,103,,,,,,,,,22,,36,,,,,,13,,,,,,,,,,3,,,17,161,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,107,,,,487,,,28,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,363,95,,56,,,,,,,,,,256,,,,,,,,,,,,8,87,,,,,,,,,,,,,,,,,3517,,22450,4708,,,,,,,,,,
"ARG",,,,,494,,,,,,,13090,1178,,56,,,,103,1680,,,,,32418,45,,,28410,,,85,,,7,,,15923,12,,,,50740,,,,2562,,,,734,,185,128,,56,133,,,1043,,,2129,2643,218,187,,,,,,55,,,218,11825,,,,,15,10339,,,641,,,,,416,,,,398,,139,275,20,,,,,382,,34777,46708,,3000,,,,,,,,21,,,,,9,74,30,,,,,,14,,,66,,,9828,,,,,,,,,52,,,2716,,869,235,,,,,,627,,,,1449,,61353,9729,531,229,1197,1402,,,,,6,399,,,,,,,,74,,,,52,,,,,61,328,,,1310,,244014,,,,,2712,6710,,,,,,,,,,134,,,,,,,8001,,152739,,28893,,,9078,,,,,,
"ARM",,,,,,,,,869,,,1110,2360,170050,,,,,5862,333,,,,,3,,,,26,,,1308,,,,,,2590,,,,,15,,,,,,,,3,,,,,782,1305,,,544,,,,19,140,,,,645,,,,,,47,12278,,,,,11654,10221,,,11750,,,,,,,,,,,,178,4,,,718,,62,,,768,,,46,7657,,,,3603,,1010,,,,207,,729,,,,,,,20,,,,,,80,,,,,,,,,66,,,373,,,,,,,,,157,,,,,,,,114,1499,77,,,,,,1,503316,,,,,,,,,,,,165,,,,,306,0,,,,,7216,,,,,796,539,,199,,,,,,,,762,7391,,,,49416,,1040,,68588,,,7039,,30,,,,,,
