"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,2,,,16873,4927,138,,414,,,185,2567,,,,,1,,,,37,,,227,,,,,,20687,,,,,25,,,,64,,,,1,,,,,6,196,,,5471,,,,24,152,,,,10,,,,,,1559,2445,,,,,21,45208,,,5413,,,,,,,,,,,,487,6,4779,,1335371,153,117,,1178,5208,,,95,,,,1136,,,24,,,,206,,22,,,,284,,302,,,,,,,,,,,,,,,,18,,,16795,,1122,31,,,,,,5417,,1015986,,,,,,569,132,,,1087,,,,,3832,,,,,,,,,,197352,,,,,,,119,5,,,47,,344,68,,,,8400,2191,1331,5703,1,,,,,,,6122,156,,,,2022,4818,23862,,30501,,,,,,,,,,,
"ALB",,,,,,,,,39,,,1476,1322,,,,,,,3112,,,,,0,,,,,,,586,,,,,,6956,,,,,23,,,,23,,,,4,,76,23,,173,180,,,117,,,,26,69,,,,7,,,,,,190,3284,,,,,4,7607,,,246614,,,,,,,,,,,,95,18,,,,,171,,,231439,,,,,,,,,,5,,,,185,,,115,,,,,465,29,,,,,,,,,,829,,,,,,,,486,,,,,,,28250,,228,,,,,,,,55,111,24,,,,,,379,136,,,,,,,,7,,,,88,,,,,65,48,,,59,,1044,,,,,739,756,,,,,,,,,,1586,,,,,,,4961,,38493,,,,,9,,,,,,
"DZA",,,,,,,,,64,,,847,836,,,,,,41,12547,,,,,2,,,,92,,,203,,,,,,27443,,,,,53,,,,16,,,,5,,27,9,,20,559,,,581,,,,25,283,,,,11,,,,,,650,727715,39,455,44,,7,13351,8,,1000,,,69,,,,,,,,,522,17,,,,,410,,20378,15472,,,392,,,,,,,15,,,,1842,,,36,,,,,248,31,,42,1075,,,71,,,,,,5136,,,229,,,2509,427,,48,266,,,,,724,,,,,,,12,229,495,155,,,,,,9,537,,,,,,,,,,,1477,34,,,,,70,26,,,288,,41619,,,,,1686,5183,,60,,,,,,,4156,458,,,,0,,,11814,,9342,,,,,43,,,33,,,
"ASM",,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,10,2,,,,,,,,,,,,0,,,,10,,,1,,,,,,,,,,,11,,,,26,,,,,,,,,,2,,,0,,,,,,,,,,,,,,,2,394,,,,,,,,,2,,,,,,,,,,,,,0,,,,,0,,,18,,,,,,,,,,1,,,,,,,,,,,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2733,,,,,0,26,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,
"AGO",,,,,,,,,3,,,280,158,,,,,,,2478,,,,,4,,,320,3279,,,2,,,169,,1038,1355,,,,,68,,,,27,,16751,,2,,,23,,,150,,125641,70,,,,11,14,,,197,2,93,,,,,254,10192,,,437,,,,,,4,,,,,,,,,,,,53,28,,,,,236,,,934,,,,,,,,,,1,,,,,,,,,,,,595,,,,,,,24,,,,,,,17354,,22470,,,4469,,,,,,,,,179,,,,,,,4,34,52,64670,,,,,,,403,,,,,,,,,163,,,,,,,,18,2,,,17803,,2282,,,,,336,3128,,,,,,,,,,,,,,,,,4799,708,5144,,,,,97,,,,,18838,
"AIA",,,,,,,,18,,,,,,,,,,,,,,,,,,20,,,,,,24,,,,,,21,,,,,13,,,,26,,,,,,,,10,,,,,,,12,20,,,,,,,,,,,,,6,,,,,,,,,5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,3,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,503,,,,,,,,,,
"ATG",,,,,,,,,,,,20,0,,6,,,78,,,,,,,0,12,,,,293,,4,,,,,,1155,,,,,13,,,,10,,,,,,,,12,,3,,,0,,182,90,,7,,,,1,,,,,,,14,,,,,,,,,17,,19,,,,,,7,,,,,,,,,,1,,,10,77,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,52,,,,189,,,6,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,191,47,,34,,,,,,,,,,232,,,,,,,,,,,,6,56,,,,,,,,,,,,,,,,,1706,,12016,2085,,,,,,,,,,
"ARG",,,,,432,,,,,,,6757,648,,67,,,,36,927,,,,,18729,3,,,16765,,,53,,,1,,,9157,4,,,,28401,,,,1709,,,,699,,76,32,7,51,61,,,541,,,569,2176,142,126,,,11,,,12,,,198,5135,,,,,8,7182,,,247,,,,,297,,,,239,,77,178,16,,,,,151,,18003,37217,,1430,,,,,,,,11,,,,,8,32,15,,,,,,8,,,41,,,7460,,,,,,,,,19,,,1244,,645,130,,,,,,386,,,,1192,,29425,6111,88,172,558,642,,,,,13,153,,,,,,,,36,,,,16,,,,,30,216,,,961,,145829,,,,,1474,3779,,,,,,,,,,67,,,,,,,3750,,83053,,11706,,,5012,,,,,,
"ARM",,,,,,,,,291,,,552,1307,77374,,,,,3464,460,,,,,2,,,,43,,,696,,,,,,1569,,,,,9,,,,,,,,4,,,,,666,1120,,,286,,,,13,58,,,,410,,,,,,31,7642,,,,,6449,4901,,,6698,,,,,,,,,,,,98,1,,,1533,,27,,,411,,,25,5021,,,,1387,,574,,,,145,,451,,,,,,,9,,,,,,49,,,,,,,,,63,,,268,,,,,,,,,95,,,,,,,,66,1344,58,,,,,,5,291468,,,,,,,,,,,,33,,,,,60,3,,,,,5460,,,,,822,257,,77,,,,,,,,272,3410,,,,27297,,510,,35763,,,3225,,17,,,,,,
