"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,7,,,23169,6637,51,,227,,,88,5993,,,,,0,,,,27,,,102,,,,,,27628,,,,,9,,,,49,,,,3,,,,,1,170,,,6307,,,,75,46,,,,11,,,,,,3204,3537,,,,,18,76759,,,5977,,,,,,0,,,,,,417,12,6636,,1109773,137,31,,1294,684,,,25,,,,1119,,,9,,,,94,,4,,,,236,,118,,,,,,,,,,,,,,,,25,,,16961,,1347,28,,,,,,6350,,835941,,,,,,661,14,,,317,,,,,1195,,,,,,,,,,147392,,,,,,,35,0,,,69,,116,62,,,,16794,4332,483,6816,0,,,,,,,8211,108,,,,1086,2512,21130,,39505,,,,,,,,,,,
"ALB",,,,,,,,,27,,,1856,1845,,,,,,,5472,,,,,1,,,,,,,585,,,,,,8283,,,,,57,,,,25,,,,0,,89,16,,121,134,,,267,,,,32,44,,,,13,,,,,,211,3624,,,,,6,22465,,,201016,,,,,,3,,,,,,118,42,,,,,135,,,232044,,,,,,,,,,4,,,,98,,,511,,,,,788,86,,,,,,,,,,1609,,,,,,,,952,,,,,,,40019,,690,,,,,,,,61,18,25,,,,,,153,96,,,,,,,,32,,,,387,,,,,18,83,,,170,,942,,,,,3047,2090,,,,,,,,,,2348,,,,,,,4149,,50994,,,,,9,,,,,,
"DZA",,,,,,,,,40,,,713,360,,,,,,8,12128,,,,,1,,,,121,,,196,,,,,,32711,,,,,76,,,,8,,,,7,,26,7,,17,116,,,422,,,,10,564,,,,4,,,,,,288,743797,49,258,37,,10,5668,3,,199,,,86,,,2614,,,,,,248,16,,,,,188,,24101,8362,,,216,,,,,,,2,,,,1626,,,525,,,,,192,30,,58,569,,,28,,,,,,7054,,,262,,,1636,303,,63,196,,,,,484,,,,,,,6,235,104,58,,,,,,149,231,,,,,,,,,,,2718,20,,,,,18,8,,,205,,22574,,,,,1302,4289,,70,,,,,,,5112,251,,,,0,,,8193,,11005,,,,,49,,,40,,,
"ASM",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,0,,,14,0,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,14,,,,18,,,,,,,,,,0,,,3,,,,,,,,,,,,,,,0,636,,,,,,,,,0,,,,,,1,,,,,,,2,,,,,2,,,39,,,,,,,,,,0,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,3224,,,,,2,51,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,
"AGO",,,,,,,,,6,,,274,180,,,,,,,3388,,,,,1,,,409,4217,,,10,,,204,,1452,1645,,,,,90,,,,25,,20404,,1,,,12,,,30,,89154,90,,,,25,12,,,145,1,67,,,,,248,11830,,,373,,,,,,5,,,,,,39,,,,,,32,13,,,,,264,,,1018,,,,,,,,,,0,,,,,,,,,,,,921,,,,,,,28,,,,,,,20274,,16258,,,2220,,,,,,,,,278,,,,,,,10,42,6,88473,,,,,,,100,,,,,,,,,194,,,,,,,,5,2,,,35344,,1683,,,,,416,3552,,,,,,,,,,,,,,,,,7717,449,7806,,,,,87,,,,,14508,
"AIA",,,,,,,,20,,,,,,,,,,,,,,,,,,5,,,,,,10,,,,,,25,,,,,36,,,,14,,,,,,,,33,,,,,,,5,12,,,,,,,,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,1,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,,,469,,,,,,,,,,
"ATG",,,,,,,,,,,,30,8,,8,,,113,,,,,,,0,13,,,,465,,1,,,,,,1320,,,,,22,,,,29,,,,,,,,44,,0,,,3,,234,86,,7,,,,0,,,,,,,51,,,,,,,,,12,,19,,,,1820,,11,,,,,,,,,,1,,,14,77,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,61,,,,288,,,21,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,210,43,,25,,,,,,,,,,303,,,,,,,,,,,,0,27,,,,,,,,,,,,,,,,,2981,,19228,2503,,,,,,,,,,
"ARG",,,,,352,,,,,,,9042,882,,40,,,,66,1315,,,,,22807,0,,,16342,,,63,,,3,,,10531,8,,,,39797,,,,1447,,,,769,,114,28,15,37,95,,,983,,,486,2216,95,85,,,10,,,15,,,232,8479,,,,,7,8596,,,398,,,,,215,44,,,193,,83,177,20,,,,,191,,20303,38352,,1813,,,,,,,,6,,,,,14,23,219,,,,,,1,,,24,,,7769,,,,,,,,,31,,,2119,,939,135,,,,,,608,,,,1225,,29106,7437,60,106,732,478,,,,,54,96,,,,,,,,46,,,,34,,,,,42,201,,,2312,,129347,,,,,1605,4897,,,,,,,,,,97,,,,,,,6976,,119105,,16063,,,4709,,,,,,
"ARM",,,,,,,,,274,,,893,1756,70206,,,,,2265,753,,,,,2,,,,12,,,1005,,,,,,2316,,,,,22,,,,,,,,3,,,,,579,906,,,437,,,,18,95,,,,298,,,,,,82,12411,,,,,5760,10646,,,7809,,,,,,0,,,,,,103,5,,,955,,28,,,1026,,,19,3909,,,,1141,,267,,,,98,,149,,,,,,,33,,,,,,51,,,,,,,,,0,,,446,,,,,,,,,194,,,,,,,,70,807,37,,,,,,51,231357,,,,,,,,,,,,127,,,,,75,11,,,,,5132,,,,,1773,639,,118,,,,,,,,712,3605,,,,20089,,872,,52303,,,2797,,15,,,,,,
