"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,7,,,20963,2841,54,,216,,,90,3869,,,,,0,,,,24,,,84,,,,,,25782,,,,,7,,,,48,,,,3,,,,,2,150,,,5585,,,,53,29,,,,6,,,,,,2415,3334,,,,,18,36975,,,2975,,,,,,0,,,,,,403,6,6353,,1128065,134,29,,1331,458,,,24,,,,1057,,,6,,,,89,,4,,,,228,,106,,,,,,,,,,,,,,,,24,,,15704,,1311,27,,,,,,5177,,899713,,,,,,641,14,,,291,,,,,1196,,,,,,,,,,118377,,,,,,,41,0,,,63,,110,62,,,,12558,3647,487,6843,0,,,,,,,6134,115,,,,1076,2339,18654,,36194,,,,,,,,,,,
"ALB",,,,,,,,,27,,,1667,1591,,,,,,,4669,,,,,1,,,,,,,506,,,,,,7730,,,,,41,,,,25,,,,0,,97,18,,123,100,,,182,,,,33,28,,,,5,,,,,,115,3416,,,,,6,7300,,,213844,,,,,,4,,,,,,102,20,,,,,124,,,217393,,,,,,,,,,4,,,,93,,,123,,,,,708,54,,,,,,,,,,1611,,,,,,,,588,,,,,,,39884,,408,,,,,,,,60,18,25,,,,,,1,97,,,,,,,,29,,,,382,,,,,15,69,,,152,,888,,,,,1108,1643,,,,,,,,,,1754,,,,,,,3663,,46718,,,,,10,,,,,,
"DZA",,,,,,,,,40,,,618,311,,,,,,9,11127,,,,,1,,,,108,,,164,,,,,,30525,,,,,54,,,,8,,,,7,,29,8,,18,103,,,381,,,,11,354,,,,4,,,,,,223,700989,45,249,35,,10,5721,3,,167,,,85,,,2739,,,,,,204,9,,,,,172,,24784,8081,,,201,,,,,,,3,,,,1533,,,45,,,,,173,19,,59,549,,,28,,,,,,6615,,,248,,,1489,287,,61,182,,,,,442,,,,,,,6,228,103,58,,,,,,70,232,,,,,,,,,,,2630,20,,,,,17,6,,,184,,20909,,,,,1096,4022,,71,,,,,,,5033,188,,,,0,,,7233,,10084,,,,,50,,,39,,,
"ASM",,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,0,,,8,0,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,10,,,,18,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,0,600,,,,,,,,,1,,,,,,2,,,,,,,0,,,,,2,,,77,,,,,,,,,,0,,,,,,,,,,,,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,3039,,,,,4,42,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,
"AGO",,,,,,,,,6,,,267,156,,,,,,,3104,,,,,1,,,382,3745,,,6,,,195,,1461,1536,,,,,64,,,,25,,19785,,1,,,14,,,28,,90622,83,,,,26,8,,,144,1,66,,,,,224,11151,,,344,,,,,,4,,,,,,41,,,,,,30,13,,,,,242,,,971,,,,,,,,,,1,,,,,,,,,,,,828,,,,,,,28,,,,,,,19495,,15319,,,2251,,,,,,,,,248,,,,,,,10,41,6,87201,,,,,,,101,,,,,,,,,214,,,,,,,,4,1,,,31563,,1587,,,,,392,3422,,,,,,,,,,,,,,,,,6813,498,7152,,,,,89,,,,,13831,
"AIA",,,,,,,,20,,,,,,,,,,,,,,,,,,5,,,,,,10,,,,,,24,,,,,26,,,,14,,,,,,,,31,,,,,,,5,12,,,,,,,,,,,,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,2,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,,,469,,,,,,,,,,
"ATG",,,,,,,,,,,,26,7,,8,,,112,,,,,,,0,11,,,,429,,1,,,,,,1232,,,,,16,,,,29,,,,,,,,41,,0,,,2,,230,84,,5,,,,0,,,,,,,49,,,,,,,,,13,,19,,,,1907,,11,,,,,,,,,,1,,,525,77,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,60,,,,273,,,22,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,207,45,,25,,,,,,,,,,293,,,,,,,,,,,,2,33,,,,,,,,,,,,,,,,,2632,,17616,2502,,,,,,,,,,
"ARG",,,,,333,,,,,,,7894,761,,38,,,,67,1190,,,,,20890,0,,,14511,,,59,,,3,,,9828,7,,,,28215,,,,1415,,,,763,,124,31,14,38,83,,,630,,,471,2250,60,84,,,9,,,13,,,201,7993,,,,,7,8160,,,424,,,,,210,47,,,186,,82,165,16,,,,,175,,20878,37889,,1620,,,,,,,,8,,,,,16,29,16,,,,,,1,,,24,,,7536,,,,,,,,,30,,,1762,,914,129,,,,,,536,,,,1153,,28371,6591,59,105,722,629,,,,,12,97,,,,,,,,42,,,,34,,,,,46,205,,,2066,,123256,,,,,1523,4706,,,,,,,,,,73,,,,,,,6159,,109118,,15576,,,4786,,,,,,
"ARM",,,,,,,,,269,,,822,1514,73087,,,,,2294,644,,,,,2,,,,11,,,856,,,,,,2162,,,,,16,,,,,,,,3,,,,,586,847,,,380,,,,19,60,,,,288,,,,,,68,11699,,,,,5587,5536,,,8311,,,,,,0,,,,,,97,5,,,971,,26,,,859,,,18,3741,,,,1165,,268,,,,93,,196,,,,,,,21,,,,,,50,,,,,,,,,0,,,401,,,,,,,,,175,,,,,,,,68,793,37,,,,,,15,231412,,,,,,,,,,,,126,,,,,68,9,,,,,4838,,,,,1398,578,,119,,,,,,,,532,3674,,,,19891,,770,,47918,,,2806,,16,,,,,,
