"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,2,,,36629,13924,127,,463,,,190,17393,,,,,1,,,,50,,,294,,,,,,27711,,,,,51,,,,73,,,,1,,,,,6,346,,,7861,,,,82,162,,,,31,,,,,,4502,3350,,,,,23,131973,,,5696,,,,,,2,,,,,,1035,22,6865,,1200519,182,131,,1175,11212,,,39,,,,1707,,,16,,,,245,,3,,,,333,,416,,,,,,,,,,,,,,,,19,,,20255,,1263,35,,,,,,10997,,753205,,,,,,597,135,,,1285,,,,,3898,,,,,,,,,,321932,,,,,,,217,40,,,93,,358,70,,,,28619,10620,535,5530,1,,,,,,,10179,108,,,,3774,5559,34097,,40521,,,,,,,,,,,
"ALB",,,,,,,,,40,,,2016,1870,,,,,,,5570,,,,,0,,,,,,,763,,,,,,8080,,,,,43,,,,27,,,,4,,70,17,,168,250,,,253,,,,37,74,,,,23,,,,,,448,3747,,,,,4,28429,,,225433,,,,,,7,,,,,,189,70,,,,,191,,,243152,,,,,,,,,,6,,,,221,,,559,,,,,641,85,,,,,,,,,,1154,,,,,,,,961,,,,,,,28010,,921,,,,,,,,58,115,25,,,,,,473,137,,,,,,,,7,,,,87,,,,,98,44,,,110,,1066,,,,,4089,1878,,,,,,,,,,2147,,,,,,,7095,,48211,,,,,9,,,,,,
"DZA",,,,,,,,,65,,,1032,1162,,,,,,44,15505,,,,,2,,,,125,,,286,,,,,,36111,,,,,101,,,,18,,,,5,,25,6,,19,625,,,624,,,,37,313,,,,25,,,,,,924,831731,42,448,71,,7,15851,11,,191,,,72,,,4109,,,,,,594,44,,,,,457,,20321,14515,,,142,,,,,,,10,,,,2182,,,629,,,,,342,86,,43,1128,,,78,,,,,,7110,,,238,,,2631,314,,55,301,,,,,878,,,,,,,16,241,512,175,,,,,,224,546,,,,,,,,,,,1624,33,,,,,96,25,,,573,,34566,,,,,2173,5833,,58,,,,,,,5468,625,,,,0,,,16941,,10196,,,,,44,,,41,,,
"ASM",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,17,2,,,,,,,,,,,,0,,,,13,,,0,,,,,,,,,,,22,,,,31,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,2,443,,,,,,,,,2,,,,,,4,,,,,,,0,,,,,0,,,16,,,,,,,,,,0,,,,,,,,,,,,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2889,,,,,0,64,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,
"AGO",,,,,,,,,3,,,318,222,,,,,,,3509,,,,,5,,,373,4448,,,4,,,184,,1147,1677,,,,,131,,,,31,,22102,,2,,,17,,,146,,89911,83,,,,16,16,,,204,3,65,,,,,329,11608,,,725,,,,,,6,,,,,,70,,,,,,54,28,,,,,262,,,893,,,,,,,,,,0,,,,,,,,,,,,822,,,,,,,27,,,,,,,18950,,23322,,,2982,,,,,,,,,273,,,,,,,7,36,53,70485,,,,,,,410,,,,,,,,,131,,,,,,,,22,1,,,34315,,1998,,,,,385,3432,,,,,,,,,,,,,,,,,6765,674,7386,,,,,97,,,,,14400,
"AIA",,,,,,,,20,,,,,,,,,,,,,,,,,,28,,,,,,25,,,,,,43,,,,,24,,,,29,,,,,,,,12,,,,,,,14,22,,,,,,,,,,,,,7,,,,,,,,,5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,3,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,,,503,,,,,,,,,,
"ATG",,,,,,,,,,,,33,0,,6,,,82,,,,,,,0,16,,,,357,,4,,,,,,1139,,,,,26,,,,12,,,,,,,,14,,6,,,1,,217,98,,8,,,,5,,,,,,,15,,,,,,,,,16,,19,,,,2429,,8,,,,,,,,,,1,,,9,77,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,56,,,,197,,,14,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,201,43,,32,,,,,,,,,,249,,,,,,,,,,,,3,39,,,,,,,,,,,,,,,,,2399,,14980,2085,,,,,,,,,,
"ARG",,,,,375,,,,,,,8541,915,,77,,,,34,1210,,,,,23802,3,,,22736,,,65,,,1,,,10161,5,,,,33016,,,,1972,,,,720,,70,23,7,49,147,,,1026,,,620,3099,153,133,,,27,,,16,,,337,5774,,,,,8,8545,,,226,,,,,353,62,,,261,,111,225,43,,,,,168,,17956,33528,,1460,,,,,,,,9,,,,,11,24,176,,,,,,21,,,44,,,8149,,,,,,,,,19,,,1736,,880,147,,,,,,626,,,,1489,,29429,9711,92,182,610,416,,,,,66,155,,,,,,,,44,,,,15,,,,,44,204,,,1833,,130599,,,,,1781,4494,,,,,,,,,,92,,,,,,,5263,,96134,,12541,,,5031,,,,,,
"ARM",,,,,,,,,296,,,736,1845,72444,,,,,3391,854,,,,,3,,,,58,,,835,,,,,,2119,,,,,18,,,,,,,,4,,,,,649,1048,,,345,,,,18,63,,,,395,,,,,,63,8601,,,,,6976,10617,,,6114,,,,,,8,,,,,,91,5,,,1483,,30,,,604,,,7,5646,,,,1190,,400,,,,172,,255,,,,,,,28,,,,,,53,,,,,,,,,64,,,479,,,,,,,,,153,,,,,,,,69,1421,64,,,,,,44,295806,,,,,,,,,,,,33,,,,,86,7,,,,,4728,,,,,1575,468,,75,,,,,,,,364,3462,,,,27691,,717,,49454,,,3060,,18,,,,,,
