"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"ABW",,,,,,,,5,1,,,70,,,,,,,,,,,,,2,755,,,,,,5,,,,,,571,,,,,12,,,,321,,,,32,,,,1708,,,,,6,,47,160,,,,,,,,,,,,,11,,,,,,,,,0,,,,,,,,,,,,,1,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3994,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,29,,,,,,,,,,,,1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,,6591,501,,,,486,,,,,,
"AUS",,,,,65,,,7,275,,,,2490,,83,,,24,28,1487,,,69,27,228,,,367,703,23,515,228,,,,116,,20980,187,10,,,2958,5227,9091,,229,,,309,67,,1595,,,3119,551,202,,3141,,7,40,373,327,27,,,98,55,,42,,1887,1337,8684,,70,,,,11710,33,,20182,,,,,70,10,,,,,,968,121,662,10844,,,6601,188,3266,19386,,9843,242,,,82,,,205,83,,,,748,,41,76,,,5811,78,,6006,,,,,,460,,,233,137,,,,,524,38,,10366,258,65161,,,,15,,,2230,,,,279,9183,,601,3993,908,1202,,,4989,,,73,543,,,,12,,,287,,,,,675,51,,10129,,288,363,279,,11252,,6376,472,,,,3988,6186,,,1416,562,,39,,,,2947,,,,,,,128295,,89293,,,,629,148,37,,,,232,
"AUT",,,,,,,,,1022,,,17990,,,40,,,,59,3296,,,32,,159,,209,,2791,,,918,,,,,,15747,50,21,,,1584,,,,218,,,,128,,5148,,,370,2618,,,1990,,,207,546,421,11,,,118,,,,,,732,10904,,,,,25,217137,,,2247,,,,,,1,,,158,,,9297,126,,,,,784,,5064,15788,,548,113,,,,,,,90,,,,752,3829,60,967,,,,23,,153,,,,,,531,,,16,257,,,,,596,,,6671,,1340,38,,,,,,1595,,,,108,,,200,503,3789,504,,,,,,509,2953,,,,10,,,,,,,,6998,,,,,3361,2820,,,8417,,8844,,,,,5772,60069,,63,,,,,,,,14394,,,,,,,24702,,51129,,,,,828,,,,,,
"AZE",,,,,,,,,,78908,,650,1076,,,,,,13493,202,,,,,1,,,,,,,1886,,,,,,3821,,,,,6,,,,,,,,3,,,,,37,1142,,,321,,,,,22,,,,1484,,,,,,152,4276,,,,,5821,16168,,,504,,,,,,5,,,,,,214,13,,,12007,,50,,13529,700,,,,48377,,,,4678,,1922,,,,,,878,,,,,,,,,,,,,,,,,,,,,,,,,728,,,,,,,,,526,,,,,,,,,266,65,,,,741,,,767339,,,,,,,,,,,,,,,,,37,10,,,,,616,,,,,2935,765,,169,,,,,,,,16856,7654,,,,82299,,2152,,21961,,,20357,,,,,,,,
"BHS",,,,,,,,2,,,,310,22,,,,,49,,15,,,,,0,21,,,18,25,,4,,,,,,1624,185,,,,3,,,,,,,,12,,,,81,0,,,,18,,12,39,48,10,,,,,,,,,,9,46,,,,,,,,,21,,30,,,,13,,15,,,,6,6,,,,,27,,,260,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,56,,,84,,,,,,21,,,,,,,,,,,,,,,,,,,,24,11,,,,,,,,,,,,,,,,,,,58,,,,,30,131,,,,,,,,,,,,273,,,,,2314,,36504,,,,,,,,,,,
"BHR",,,,,,,,,12,,,1730,21,,,,30160,,,52,,,,,0,,,,31,,,15,,,,,,2375,,,,,6,,,,,,,,1,,,,,112,14,,,95,,,21,,280,,,,2,,,,,,24,166,,,,,,,,,22,,,,,,3,,,,,,14,1,,,,,82,,,294,,,412,,,,1297,,,1,111,,,968,,,,,,,,,,,,,,,,,,,,,,,,47,,,121,,,,,,,,,32,893,,,,,,,111,,,,764,,,,,,,,,,,,,,,,,,,,,,,0,,,255,,56,400,8555,,,88,236,,,,,,,,,,,,,,,,1834,6225,,,,,,,,,,,,,
"BGD",,,,,,,,,,,,43090,2737,,,78396,,,,2706,,,,52,28,,,,54,,1234,545,,,,,,58374,,,,,18,4018,444,,,,,,3,,,,,681,183,152,,1130,,,,,177,6,,,35,,,,,1366,2436,7723,,,,,,6386,,,9791,,,,,,1,,,,,,71,4,3155579,,,,3232,,,105481,,10835,11275,,,,350229,,,5,3047,,,1250,,,30,,,392295,37034,,11,,,,8327,,51,,,,,,,,1024,31,,233,1335,,1530,,,,,,370,1008,247568,,,42,,,,158,99,1470,,160183,10772,,,100,471,,,,,,,,,,1022812,,,220,,80747,,,3,,,3953,,9836,669,,,,7363,2414,,,1404,69,,,,,,329,,,,126,,1004611,215757,,222616,,,,,,7895,,,,,
"BRB",,,,,,,,302,7,,,450,21,,238,,,,,17,,,,,0,64,,,33,183,,4,,,,,,14008,183,,,,12,,,,,,,,11,,,,191,,9,,,35,,167,,,,40,,,1,,,,,,12,79,,,,,,,,,10,,178,,,,11,,268,,,,2,1,,,,,18,,,143,533,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,23,,,,32,,,,,,,,,,,,,,,,96,421,,351,,,,,,,,,,73,,,,,44,,43,,,,,113,79,,,,,,,,1066,,,,,,,,,25201,,58480,368,,,,7,,,,,,
"BLR",,,,,,,,,304,306,,2180,1667,459,,,,,,481,,,,,5,,,,10,,,803,,,,,,11121,,,,,18,,,,,,,,5,,94,,,355,4097,,,740,,,,,194,,,,11119,,,,,,405,3536,,,,,1066,21522,,,1453,,,,,,,,,,,,212,41,,,,,611,,23119,31468,,,,69136,,,,9947,,48588,,,,761,,33613,42,,,,,,9,,,,,,,,,,,,,,,,,,284,,,,,,,,,1031,,,,,,,,,75925,946,,,,2115,,39,764279,,,,,,,,,,,,134,,,,,223,143,,,370,,3886,,,,,2833,1499,,680,,,,,,,,300,2059,,,,245534,,3443,,60494,,,26532,,,,,,,,
"BEL",,,,,215,,,,537,,,7290,2575,,30,,,,36,,,,23,,377,,,,2022,,,1481,,605,10,,,18823,12,,,,2507,,,,454,,,,292,,375,,91,272,613,,,2135,,,256,855,391,52,,,150,,,,,,732,153018,130,,457,,22,29459,,,5112,,,463,,,40,,,,,25,1981,120,,,,,1638,,5993,45458,,685,70,,,,,,,111,,,,675,40,181,19800,,,,,,230,,131,60,118,,898,,,,,,1386,,,180,,,54038,,,44,,,,,,1678,,,,271,,,626,533,5219,3421,,,,,,1102,471,,,,9,,,,,,,,217,38,,,,828,310,,,12415,,44130,,,,,2490,16447,,,,,65,,,,,8787,,,,38,,,30345,,36906,,,,,395,,,,,,
"BLZ",,,,,,,,14,6,,,80,41,,44,,,22,,,,,,,905,,,,6,,,2,,,,,,1982,351,,,,6,,,,,,,,139,,,,,0,0,,,7,,,,,,339,,,0,,,,,,1,9,,,,,,,,,4,,,,,916,2,,,,,365,3,0,,,,,2,,,56,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,,,,,,,,,,,,,,,24,,,,,,,,,,86,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,2,,,,,34,,,,,14,53,,,,,,,,,,,,,,,,,1606,,54147,,,,,20,,,,,,
"BEN",,,,,,,,,,,,110,80,,,,,,,1387,,,,,1,,,,31,,,27,4178,,,,2454,2748,,,,,3,,,,,,15194,,1,67911,,,,8,43,,,49,,,,,25,,,,,,,,,,22,21235,,,47682,,,1805,17183,,7,,,,,,408,,,,,,9,1,,,,,34,,,2538,,,,,,,,,,2,,,28,,,,,,,,,1619,,,,551,,,,,,,,,,,,152,,,288,,,,17908,351985,,,,28,,,,,,,,,,33,,,,,,,94,,,,,,,,,,,3621,,,65,,,,2,,,300,,398,,,,,90,619,,,,,71638,,,,,,,,,,,,535,,,,,,,,,,,,,
"BMU",,,,,,,,14,,,,580,19,,39,,,28,,,,,,,0,,,,,,,1,,,,,,1833,34,,,,15,,,,,,,,11,,,,,0,4,,,0,,,15,,,,,,,,,,,,4,118,,,,,,,,,7,,,,,,,,,,,,1,3,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,91,,,,,,,19,,,,,,,,,,,,,,,,,,4522,,9068,,,,,,,,,,,
"BTN",,,,,,,,,,,,5850,24,,,,,,,280,,,,,,,,,,,,23,,,,,,4218,,,,,12,,,,,,,,4,,,,,,2,,,639,,,8,,,,,,,,,,,,3,149,,,,,,,,,1,,,,,,3,,,,,,,,6642,,,,7,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28740,327,,,,,,,,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,232,,,,28,77,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,
"BOL",,,,,,,,,419048,,,1050,509,,,,,,,1152,,,,,,,,,46336,,,18,,,,,,4368,,,,,53244,,,,855,,,,369,,32,19,,10,78,,,481,,,170,1528,,53,,,2,,,,,,177,3273,,,,,,4520,,,22,,,,,136,5,,,,,147,49,14,,,,,17,,,15664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622,,,,,,,,,,,,881,,,64,,,,,,540,,,,454,,1009,16767,35,48,213,56,,,,,,84,,,,,,,,,,,,,,,,,,,,,251,,150680,,,,,4450,3803,,,,,,,,,,,,,,,,,3043,,86529,,,,,1967,,,,,,
"BES",,,,,,,,11,,,297,,,,,,,,,,,,,,20,,,,,,,,,,,,,4069,,,,,,,,,,,,,,,,,2334,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,51,,,,,,
"BIH",,,,,,,,,,,,36750,155164,,,,,,,521,,,,,10,,,,82,,,116,,,,,,35908,,,,,33,,,,,,,,,,404874,,,70,2504,,,19499,,,5,,43,,,,5,,,,,,842,14499,,,,,,168458,,,439,,,,,,2,,,,,,250,150,,,,,640,,,11359,,,58,,,,,,,7,,,,329,306,,2421,,,,,,227,,,,,,,,,,32042,,,,,,,,813,,,,,,,8713,,13348,,,,,,,,,3476,42,,,,,,11,515,,,,,,,,,,,,335992,,,,,394,100880,,,314,,2119,,,,,57705,55231,,,,,,,,,,2376,,,,,,,9067,,127501,,,,,24,,,,,,
"BWA",,,,,,,,,,,,1320,25,,14,,,,,45,,,,,,,,,,,,26,,,,,,844,,,,,15,,,,,,,,,,,,,8,97,,,69,,,,,,,,,0,41,,,,,18,41,,,,,,,,,7,,,,,,50,,,,,,3,,,,,,80,,,46,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,644,,,235,,,,,,,,,119,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,2,,,65404,,,,,,,110,71,,,,,,,,,,,,,,,,,3301,141,,,,,,,,,,,808,3725
