"";"i";"j";"Fij";"Fji";"FSij";"FBij";"FAij";"minFij";"maxFij";"rangeFij";"FDij"
"41400";"SAU";"JEY";0;0;0;0;0;0;0;0;0
"41401";"SAU";"JOR";3259;133432;136691;130173;0,95231580718555;3259;133432;130173;0,95231580718555
"41402";"SAU";"JPN";0;0;0;0;0;0;0;0;0
"41403";"SAU";"KAZ";0;0;0;0;0;0;0;0;0
"41404";"SAU";"KEN";0;0;0;0;0;0;0;0;0
"41405";"SAU";"KGZ";0;0;0;0;0;0;0;0;0
"41406";"SAU";"KHM";0;0;0;0;0;0;0;0;0
"41407";"SAU";"KIR";0;0;0;0;0;0;0;0;0
"41408";"SAU";"KNA";0;0;0;0;0;0;0;0;0
"41409";"SAU";"KOR";0;0;0;0;0;0;0;0;0
"41410";"SAU";"KWT";1277;0;1277;-1277;-1;0;1277;1277;1
"41411";"SAU";"LAO";0;0;0;0;0;0;0;0;0
"41412";"SAU";"LBN";631;85397;86028;84766;0,985330357558004;631;85397;84766;0,985330357558004
"41413";"SAU";"LBR";0;0;0;0;0;0;0;0;0
"41414";"SAU";"LBY";27117;0;27117;-27117;-1;0;27117;27117;1
"41415";"SAU";"LCA";0;0;0;0;0;0;0;0;0
"41416";"SAU";"LIE";0;0;0;0;0;0;0;0;0
"41417";"SAU";"LKA";744;292548;293292;291804;0,994926557833149;744;292548;291804;0,994926557833149
"41418";"SAU";"LSO";0;0;0;0;0;0;0;0;0
"41419";"SAU";"LTU";0;0;0;0;0;0;0;0;0
"41420";"SAU";"LUX";0;0;0;0;0;0;0;0;0
"41421";"SAU";"LVA";3;0;3;-3;-1;0;3;3;1
"41422";"SAU";"MAC";0;0;0;0;0;0;0;0;0
"41423";"SAU";"MAR";0;0;0;0;0;0;0;0;0
"41424";"SAU";"MCO";0;0;0;0;0;0;0;0;0
"41425";"SAU";"MDA";0;0;0;0;0;0;0;0;0
"41426";"SAU";"MDG";0;0;0;0;0;0;0;0;0
"41427";"SAU";"MDV";0;0;0;0;0;0;0;0;0
"41428";"SAU";"MEX";83;0;83;-83;-1;0;83;83;1
"41429";"SAU";"MHL";0;0;0;0;0;0;0;0;0
"41430";"SAU";"MKD";0;0;0;0;0;0;0;0;0
