i,j,Fij,Fji,FSij,FBij,FAij,minFij,maxFij,rangeFij,FDij
ABW,LBY,0,0,0,0,0,0,0,0,0
ABW,LCA,28,0,28,-28,-1,0,28,28,1
ABW,LIE,0,0,0,0,0,0,0,0,0
ABW,LKA,0,0,0,0,0,0,0,0,0
ABW,LSO,0,0,0,0,0,0,0,0,0
ABW,LTU,0,0,0,0,0,0,0,0,0
ABW,LUX,0,0,0,0,0,0,0,0,0
ABW,LVA,0,0,0,0,0,0,0,0,0
ABW,MAC,0,0,0,0,0,0,0,0,0
ABW,MAR,0,0,0,0,0,0,0,0,0
ABW,MCO,0,0,0,0,0,0,0,0,0
ABW,MDA,0,0,0,0,0,0,0,0,0
ABW,MDG,0,0,0,0,0,0,0,0,0
ABW,MDV,0,0,0,0,0,0,0,0,0
ABW,MEX,0,0,0,0,0,0,0,0,0
ABW,MHL,0,0,0,0,0,0,0,0,0
ABW,MKD,0,0,0,0,0,0,0,0,0
ABW,MLI,0,0,0,0,0,0,0,0,0
ABW,MLT,0,0,0,0,0,0,0,0,0
ABW,MMR,0,0,0,0,0,0,0,0,0
ABW,MNE,0,0,0,0,0,0,0,0,0
ABW,MNG,0,0,0,0,0,0,0,0,0
ABW,MNP,0,0,0,0,0,0,0,0,0
ABW,MOZ,0,0,0,0,0,0,0,0,0
ABW,MRT,0,0,0,0,0,0,0,0,0
ABW,MSR,0,0,0,0,0,0,0,0,0
ABW,MTQ,0,0,0,0,0,0,0,0,0
ABW,MUS,0,0,0,0,0,0,0,0,0
ABW,MWI,0,0,0,0,0,0,0,0,0
ABW,MYS,0,0,0,0,0,0,0,0,0
ABW,MYT,0,0,0,0,0,0,0,0,0
ABW,NAM,0,0,0,0,0,0,0,0,0
ABW,NCL,0,0,0,0,0,0,0,0,0
ABW,NER,0,0,0,0,0,0,0,0,0
ABW,NGA,0,0,0,0,0,0,0,0,0
ABW,NIC,0,108,108,108,1,0,108,108,1
ABW,NIU,0,0,0,0,0,0,0,0,0
ABW,NLD,5058,4638,9696,-420,-0.0433168316831683,4638,5058,420,0.0433168316831683
ABW,NOR,0,0,0,0,0,0,0,0,0
ABW,NPL,0,0,0,0,0,0,0,0,0
ABW,NRU,0,0,0,0,0,0,0,0,0
ABW,NZL,0,0,0,0,0,0,0,0,0
ABW,OMN,0,0,0,0,0,0,0,0,0
ABW,PAK,0,0,0,0,0,0,0,0,0
ABW,PAN,0,0,0,0,0,0,0,0,0
ABW,PER,0,1147,1147,1147,1,0,1147,1147,1
ABW,PHL,64,1015,1079,951,0.881371640407785,64,1015,951,0.881371640407785
ABW,PLW,0,0,0,0,0,0,0,0,0
ABW,PNG,0,0,0,0,0,0,0,0,0
ABW,POL,0,0,0,0,0,0,0,0,0
ABW,PRI,0,0,0,0,0,0,0,0,0
ABW,PRK,0,0,0,0,0,0,0,0,0
ABW,PRT,0,165,165,165,1,0,165,165,1
ABW,PRY,0,0,0,0,0,0,0,0,0
ABW,PSE,0,0,0,0,0,0,0,0,0
ABW,PYF,0,0,0,0,0,0,0,0,0
ABW,QAT,0,0,0,0,0,0,0,0,0
ABW,REU,0,0,0,0,0,0,0,0,0
ABW,ROU,0,0,0,0,0,0,0,0,0
ABW,RUS,0,0,0,0,0,0,0,0,0
ABW,RWA,0,0,0,0,0,0,0,0,0
ABW,SAU,0,0,0,0,0,0,0,0,0
ABW,SDN,0,0,0,0,0,0,0,0,0
ABW,SEN,0,0,0,0,0,0,0,0,0
ABW,SGP,0,0,0,0,0,0,0,0,0
ABW,SHN,0,0,0,0,0,0,0,0,0
ABW,SLB,0,0,0,0,0,0,0,0,0
ABW,SLE,0,0,0,0,0,0,0,0,0
ABW,SLV,0,0,0,0,0,0,0,0,0
ABW,SMR,0,0,0,0,0,0,0,0,0
ABW,SOM,0,0,0,0,0,0,0,0,0
ABW,SPM,0,0,0,0,0,0,0,0,0
ABW,SRB,0,0,0,0,0,0,0,0,0
ABW,SSD,0,0,0,0,0,0,0,0,0
ABW,STP,0,0,0,0,0,0,0,0,0
ABW,SUR,0,1352,1352,1352,1,0,1352,1352,1
ABW,SVK,0,0,0,0,0,0,0,0,0
ABW,SVN,0,0,0,0,0,0,0,0,0
ABW,SWE,0,0,0,0,0,0,0,0,0
ABW,SWZ,0,0,0,0,0,0,0,0,0
ABW,SXM,1331,709,2040,-622,-0.304901960784314,709,1331,622,0.304901960784314
ABW,SYC,0,0,0,0,0,0,0,0,0
ABW,SYR,0,0,0,0,0,0,0,0,0
ABW,TCA,0,0,0,0,0,0,0,0,0
ABW,TCD,0,0,0,0,0,0,0,0,0
ABW,TGO,0,0,0,0,0,0,0,0,0
ABW,THA,0,0,0,0,0,0,0,0,0
ABW,TJK,0,0,0,0,0,0,0,0,0
ABW,TKL,0,0,0,0,0,0,0,0,0
ABW,TKM,0,0,0,0,0,0,0,0,0
ABW,TLS,0,0,0,0,0,0,0,0,0
ABW,TON,0,0,0,0,0,0,0,0,0
