"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,7,,,13967,2443,57,,199,,,85,1677,,,,,0,,,,20,,,59,,,,,,20258,,,,,5,,,,44,,,,3,,,,,3,121,,,4687,,,,14,46,,,,3,,,,,,1485,2025,,,,,18,35403,,,1318,,,,,,,,,,,,295,0,4538,,1036719,158,28,,1284,341,,,47,,,,607,,,1,,,,78,,2,,,,222,,86,,,,,,,,,,,,,,,,25,,,14358,,1192,26,,,,,,3447,,972655,,,,,,632,15,,,269,,,,,1167,,,,,,,,,,83043,,,,,,,20,0,,,34,,95,61,,,,6020,1430,1280,6903,0,,,,,,,4900,189,,,,583,2060,14167,,28829,,,,,,,,,,,
"ALB",,,,,,,,,27,,,1404,1368,,,,,,,3020,,,,,1,,,,,,,500,,,,,,6654,,,,,27,,,,23,,,,0,,96,23,,129,82,,,139,,,,23,44,,,,0,,,,,,36,3002,,,,,6,6990,,,218420,,,,,,,,,,,,94,21,,,,,120,,,209209,,,,,,,,,,2,,,,82,,,82,,,,,572,34,,,,,,,,,,1186,,,,,,,,411,,,,,,,41980,,210,,,,,,,,59,20,20,,,,,,411,94,,,,,,,,23,,,,390,,,,,11,48,,,81,,763,,,,,542,967,,,,,,,,,,1690,,,,,,,2782,,33592,,,,,9,,,,,,
"DZA",,,,,,,,,40,,,533,267,,,,,,9,9839,,,,,1,,,,90,,,166,,,,,,23637,,,,,35,,,,8,,,,7,,29,10,,19,57,,,342,,,,8,549,,,,3,,,,,,175,615840,44,262,28,,10,5477,3,,171,,,81,,,,,,,,,166,7,,,,,166,,23914,8241,,,382,,,,,,,2,,,,1342,,,30,,,,,140,12,,57,552,,,27,,,,,,5054,,,255,,,1403,336,,57,188,,,,,393,,,,,,,6,225,109,48,,,,,,3,226,,,,,,,,,,,2463,21,,,,,14,9,,,98,,18627,,,,,889,3601,,72,,,,,,,3912,182,,,,0,,,5493,,5291,,,,,47,,,35,,,
"ASM",,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,0,,,10,0,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,7,,,,17,,,,,,,,,,2,,,0,,,,,,,,,,,,,,,0,528,,,,,,,,,2,,,,,,,,,,,,,0,,,,,2,,,43,,,,,,,,,,0,,,,,,,,,,,,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2845,,,,,2,17,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,
"AGO",,,,,,,,,6,,,250,134,,,,,,,2329,,,,,1,,,350,3110,,,4,,,187,,1008,1210,,,,,42,,,,23,,14277,,1,,,18,,,28,,134361,79,,,,18,13,,,144,1,108,,,,,172,9797,,,286,,,,,,5,,,,,,,,,,,,27,11,,,,,234,,,1000,,,,,,,,,,1,,,,,,,,,,,,669,,,,,,,27,,,,,,,18567,,15648,,,2991,,,,,,,,,200,,,,,,,10,40,7,73156,,,,,,,98,,,,,,,,,241,,,,,,,,2,1,,,16650,,1723,,,,,380,3094,,,,,,,,,,,,,,,,,5174,478,5267,,,,,83,,,,,18468,
"AIA",,,,,,,,19,,,,,,,,,,,,,,,,,,5,,,,,,13,,,,,,54,,,,,17,,,,13,,,,,,,,29,,,,,,,4,12,,,,,,,,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,3,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,,,469,,,,,,,,,,
"ATG",,,,,,,,,,,,20,6,,7,,,107,,,,,,,0,10,,,,383,,1,,,,,,1245,,,,,11,,,,27,,,,,,,,38,,0,,,2,,197,80,,9,,,,0,,,,,,,42,,,,,,,,,14,,19,,,,,,9,,,,,,,,,,1,,,14,79,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,58,,,,280,,,21,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,202,47,,24,,,,,,,,,,281,,,,,,,,,,,,3,50,,,,,,,,,,,,,,,,,1999,,14883,2500,,,,,,,,,,
"ARG",,,,,387,,,,,,,6973,654,,35,,,,63,1043,,,,,17942,0,,,12050,,,60,,,3,,,9713,8,,,,27284,,,,1277,,,,747,,123,39,13,40,41,,,559,,,446,1536,93,81,,,3,,,12,,,149,7021,,,,,7,7814,,,434,,,,,185,,,,178,,59,149,10,,,,,169,,20145,41423,,1751,,,,,,,,11,,,,,11,35,11,,,,,,0,,,25,,,6711,,,,,,,,,31,,,1600,,685,121,,,,,,425,,,,980,,29031,5850,58,111,607,727,,,,,13,94,,,,,,,,33,,,,35,,,,,38,198,,,1090,,136724,,,,,1394,4161,,,,,,,,,,71,,,,,,,4678,,99351,,15076,,,4530,,,,,,
"ARM",,,,,,,,,268,,,648,1302,78311,,,,,2315,386,,,,,2,,,,9,,,714,,,,,,1926,,,,,11,,,,,,,,3,,,,,614,911,,,330,,,,13,93,,,,280,,,,,,58,10278,,,,,5321,5300,,,8493,,,,,,,,,,,,114,4,,,971,,25,,,696,,,34,3576,,,,1315,,348,,,,82,,227,,,,,,,13,,,,,,47,,,,,,,,,0,,,253,,,,,,,,,101,,,,,,,,67,839,31,,,,,,6,225949,,,,,,,,,,,,129,,,,,58,4,,,,,4786,,,,,850,350,,121,,,,,,,,513,3762,,,,19853,,585,,36625,,,3066,,15,,,,,,
