"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,9,,,30840,7370,195,,613,,,270,4244,,,,,1,,,,57,,,286,,,,,,40945,,,,,30,,,,108,,,,4,,,,,9,317,,,10158,,,,38,198,,,,13,,,,,,3044,4470,,,,,39,80611,,,6731,,,,,,,,,,,,782,6,9317,,2372090,311,145,,2462,5549,,,142,,,,1743,,,25,,,,284,,24,,,,506,,388,,,,,,,,,,,,,,,,43,,,31153,,2314,57,,,,,,8864,,1988641,,,,,,1201,147,,,1356,,,,,4999,,,,,,,,,,280395,,,,,,,139,5,,,81,,439,129,,,,14420,3621,2611,12606,1,,,,,,,11022,345,,,,2605,6878,38029,,59330,,,,,,,,,,,
"ALB",,,,,,,,,66,,,2880,2690,,,,,,,6132,,,,,1,,,,,,,1086,,,,,,13610,,,,,50,,,,46,,,,4,,172,46,,302,262,,,256,,,,49,113,,,,7,,,,,,226,6286,,,,,10,14597,,,465034,,,,,,,,,,,,189,39,,,,,291,,,440648,,,,,,,,,,7,,,,267,,,197,,,,,1037,63,,,,,,,,,,2015,,,,,,,,897,,,,,,,70230,,438,,,,,,,,114,131,44,,,,,,790,230,,,,,,,,30,,,,478,,,,,76,96,,,140,,1807,,,,,1281,1723,,,,,,,,,,3276,,,,,,,7743,,72085,,,,,18,,,,,,
"DZA",,,,,,,,,104,,,1380,1103,,,,,,50,22386,,,,,3,,,,182,,,369,,,,,,51080,,,,,88,,,,24,,,,12,,56,19,,39,616,,,923,,,,33,832,,,,14,,,,,,825,1343555,83,717,72,,17,18828,11,,1171,,,150,,,,,,,,,688,24,,,,,576,,44292,23713,,,774,,,,,,,17,,,,3184,,,66,,,,,388,43,,99,1627,,,98,,,,,,10190,,,484,,,3912,763,,105,454,,,,,1117,,,,,,,18,454,604,203,,,,,,12,763,,,,,,,,,,,3940,55,,,,,84,35,,,386,,60246,,,,,2575,8784,,132,,,,,,,8068,640,,,,0,,,17307,,14633,,,,,90,,,68,,,
"ASM",,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,20,2,,,,,,,,,,,,0,,,,10,,,1,,,,,,,,,,,18,,,,43,,,,,,,,,,4,,,0,,,,,,,,,,,,,,,2,922,,,,,,,,,4,,,,,,,,,,,,,0,,,,,2,,,61,,,,,,,,,,1,,,,,,,,,,,,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,5578,,,,,2,43,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,
"AGO",,,,,,,,,9,,,530,292,,,,,,,4807,,,,,5,,,670,6389,,,6,,,356,,2046,2565,,,,,110,,,,50,,31028,,3,,,41,,,178,,260002,149,,,,29,27,,,341,3,201,,,,,426,19989,,,723,,,,,,9,,,,,,,,,,,,80,39,,,,,470,,,1934,,,,,,,,,,2,,,,,,,,,,,,1264,,,,,,,51,,,,,,,35921,,38119,,,7460,,,,,,,,,379,,,,,,,14,74,59,137826,,,,,,,501,,,,,,,,,404,,,,,,,,20,3,,,34453,,4005,,,,,716,6222,,,,,,,,,,,,,,,,,9973,1186,10411,,,,,180,,,,,37306,
"AIA",,,,,,,,37,,,,,,,,,,,,,,,,,,25,,,,,,37,,,,,,75,,,,,30,,,,39,,,,,,,,39,,,,,,,16,32,,,,,,,,,,,,,9,,,,,,,,,11,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,6,,,,,,,,,,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,,,972,,,,,,,,,,
"ATG",,,,,,,,,,,,40,6,,13,,,185,,,,,,,0,22,,,,676,,5,,,,,,2400,,,,,24,,,,37,,,,,,,,50,,3,,,2,,379,170,,16,,,,1,,,,,,,56,,,,,,,,,31,,38,,,,,,16,,,,,,,,,,2,,,24,156,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,110,,,,469,,,27,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,393,94,,58,,,,,,,,,,513,,,,,,,,,,,,9,106,,,,,,,,,,,,,,,,,3705,,26899,4585,,,,,,,,,,
"ARG",,,,,819,,,,,,,13730,1302,,102,,,,99,1970,,,,,36671,3,,,28815,,,113,,,4,,,18870,12,,,,55685,,,,2986,,,,1446,,199,71,20,91,102,,,1100,,,1015,3712,235,207,,,14,,,24,,,347,12156,,,,,15,14996,,,681,,,,,482,,,,417,,136,327,26,,,,,320,,38148,78640,,3181,,,,,,,,22,,,,,19,67,26,,,,,,8,,,66,,,14171,,,,,,,,,50,,,2844,,1330,251,,,,,,811,,,,2172,,58456,11961,146,283,1165,1369,,,,,26,247,,,,,,,,69,,,,51,,,,,68,414,,,2051,,282553,,,,,2868,7940,,,,,,,,,,138,,,,,,,8428,,182404,,26782,,,9542,,,,,,
"ARM",,,,,,,,,559,,,1200,2609,155685,,,,,5779,846,,,,,4,,,,52,,,1410,,,,,,3495,,,,,20,,,,,,,,7,,,,,1280,2031,,,616,,,,26,151,,,,690,,,,,,89,17920,,,,,11770,10201,,,15191,,,,,,,,,,,,212,5,,,2504,,52,,,1107,,,59,8597,,,,2702,,922,,,,227,,678,,,,,,,22,,,,,,96,,,,,,,,,63,,,521,,,,,,,,,196,,,,,,,,133,2183,89,,,,,,11,517417,,,,,,,,,,,,162,,,,,118,7,,,,,10246,,,,,1672,607,,198,,,,,,,,785,7172,,,,47150,,1095,,72388,,,6291,,32,,,,,,
