"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,2,,,28587,5779,132,,440,,,192,8950,,,,,1,,,,45,,,246,,,,,,25859,,,,,38,,,,72,,,,1,,,,,6,268,,,7175,,,,59,117,,,,20,,,,,,2602,3173,,,,,22,47017,,,2835,,,,,,3,,,,,,947,7,6571,,1220304,178,119,,1208,7047,,,36,,,,1612,,,21,,,,231,,16,,,,317,,374,,,,,,,,,,,,,,,,18,,,18148,,1229,34,,,,,,8093,,810665,,,,,,579,127,,,1280,,,,,3899,,,,,,,,,,266864,,,,,,,258,25,,,82,,348,69,,,,18709,9050,535,5550,1,,,,,,,7467,116,,,,3736,5176,29979,,37912,,,,,,,,,,,
"ALB",,,,,,,,,39,,,1793,1556,,,,,,,4711,,,,,0,,,,,,,624,,,,,,7540,,,,,34,,,,26,,,,4,,76,18,,167,209,,,152,,,,38,55,,,,15,,,,,,318,3548,,,,,4,7909,,,222722,,,,,,7,,,,,,141,25,,,,,173,,,229178,,,,,,,,,,5,,,,208,,,177,,,,,576,52,,,,,,,,,,1143,,,,,,,,604,,,,,,,27915,,571,,,,,,,,56,108,25,,,,,,2,137,,,,,,,,8,,,,85,,,,,84,79,,,99,,1050,,,,,1461,1335,,,,,,,,,,1571,,,,,,,6239,,45147,,,,,9,,,,,,
"DZA",,,,,,,,,64,,,982,979,,,,,,44,14539,,,,,2,,,,111,,,232,,,,,,33698,,,,,79,,,,18,,,,5,,27,7,,19,583,,,612,,,,37,262,,,,20,,,,,,786,787360,38,432,65,,7,13896,10,,932,,,71,,,4305,,,,,,527,31,,,,,416,,20896,13909,,,132,,,,,,,12,,,,2056,,,55,,,,,307,53,,43,1085,,,75,,,,,,6666,,,225,,,2486,299,,52,278,,,,,781,,,,,,,13,234,479,172,,,,,,60,546,,,,,,,,,,,1574,33,,,,,88,22,,,511,,35129,,,,,1926,5477,,58,,,,,,,5378,460,,,,0,,,14900,,9549,,,,,45,,,39,,,
"ASM",,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,12,2,,,,,,,,,,,,0,,,,12,,,0,,,,,,,,,,,17,,,,30,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,1,420,,,,,,,,,2,,,,,,4,,,,,,,2,,,,,0,,,29,,,,,,,,,,0,,,,,,,,,,,,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2861,,,,,1,58,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,
"AGO",,,,,,,,,3,,,293,185,,,,,,,3223,,,,,5,,,349,3949,,,3,,,175,,1152,1564,,,,,102,,,,30,,21453,,2,,,18,,,140,,94583,82,,,,16,12,,,202,4,65,,,,,308,10992,,,667,,,,,,4,,,,,,74,,,,,,53,21,,,,,238,,,848,,,,,,,,,,1,,,,,,,,,,,,738,,,,,,,26,,,,,,,18221,,22031,,,3070,,,,,,,,,247,,,,,,,5,35,50,69050,,,,,,,410,,,,,,,,,144,,,,,,,,21,1,,,30584,,1966,,,,,350,3321,,,,,,,,,,,,,,,,,5940,751,6916,,,,,99,,,,,14033,
"AIA",,,,,,,,19,,,,,,,,,,,,,,,,,,23,,,,,,23,,,,,,40,,,,,19,,,,29,,,,,,,,11,,,,,,,14,21,,,,,,,,,,,,,7,,,,,,,,,5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,3,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,,,503,,,,,,,,,,
"ATG",,,,,,,,,,,,34,0,,6,,,82,,,,,,,0,14,,,,328,,4,,,,,,1063,,,,,20,,,,12,,,,,,,,13,,4,,,1,,212,95,,6,,,,2,,,,,,,14,,,,,,,,,16,,19,,,,2545,,8,,,,,,,,,,1,,,271,76,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,55,,,,186,,,10,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,197,45,,33,,,,,,,,,,241,,,,,,,,,,,,6,48,,,,,,,,,,,,,,,,,2106,,14061,2085,,,,,,,,,,
"ARG",,,,,349,,,,,,,7616,762,,73,,,,35,1071,,,,,21801,3,,,20188,,,53,,,1,,,9482,5,,,,28148,,,,1928,,,,705,,76,25,7,49,116,,,643,,,600,3149,114,132,,,18,,,13,,,275,5473,,,,,8,7466,,,215,,,,,344,65,,,251,,109,228,30,,,,,152,,18465,32251,,1304,,,,,,,,4,,,,,10,24,23,,,,,,13,,,42,,,7904,,,,,,,,,18,,,1408,,856,141,,,,,,562,,,,1397,,28685,7795,89,167,598,551,,,,,12,155,,,,,,,,43,,,,15,,,,,37,212,,,1633,,128585,,,,,1629,4189,,,,,,,,,,67,,,,,,,4619,,90196,,12086,,,5158,,,,,,
"ARM",,,,,,,,,292,,,638,1537,75416,,,,,3434,769,,,,,3,,,,52,,,709,,,,,,1977,,,,,14,,,,,,,,4,,,,,643,1018,,,332,,,,18,51,,,,399,,,,,,46,8152,,,,,6771,5093,,,5946,,,,,,9,,,,,,87,3,,,1508,,27,,,500,,,7,5403,,,,1215,,425,,,,162,,383,,,,,,,17,,,,,,51,,,,,,,,,61,,,449,,,,,,,,,129,,,,,,,,67,1311,63,,,,,,17,295875,,,,,,,,,,,,32,,,,,80,4,,,,,4678,,,,,1276,408,,75,,,,,,,,264,3439,,,,27416,,630,,46311,,,3064,,18,,,,,,
