"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"ABW",,,,,,,,4,1,,,60,,,,,,,,,,,,,4,3103,,,,,,3,,,,,,600,,,,,4,,,,268,,,,25,,,,,,,,,0,,26,403,,,,,,,,,,,,,10,,,,,,,,,92,,,,,,,,,,,,,0,,,,,8,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,,3910,520,,,,415,,,,,,
"AUS",,,,,41,,,6,575,,,,1723,,65,,,29,28,1173,,,50,17,154,,,114,447,16,482,66,,,,229,,18729,77,16,,,976,3765,7506,,191,,,124,51,,753,,,1355,113,127,,1638,,5,82,155,344,21,,,,16,,10,,1489,552,4185,,74,,,,7467,19,,20267,,,,,44,,,,,,,642,61,812,1928,,,4267,157,2631,5226,,9189,303,,,86,,,17,93,,,,551,,19,67,,,2989,48,,4128,,,,,,408,,,4,,,,,,705,171,,9177,298,54744,,,,16,,,977,,,,48,10675,,430,2396,631,1185,,,1148,,,85,699,,,,13,,,422,,,,,715,51,,4588,,176,303,340,,3028,,4271,150,,,,2240,4099,,,1595,482,,21,,,,2736,,,,,,,104295,,62513,,,,450,127,45,,,,83,
"AUT",,,,,,,,,2146,,,21640,,,22,,,,61,2486,,,28,,166,,273,,3220,,,98,,,,,,22161,52,32,,,523,,,,212,,,,98,,1461,,,161,3623,,,1525,,,1179,227,442,10,,,,,,,,,262,12429,,,,,26,181487,,,2232,,,,,,,,,152,,,5523,72,,,,,397,,6206,10099,,476,141,,,,,,,104,,,,554,2608,41,469,,,,21,,55,,,,,,735,,,4,,,,,,801,,,6742,,1170,38,,,,,,1058,,,,53,,,144,1657,4477,388,,,,,,536,3894,,,,11,,,,,,,,7425,,,,,2070,5745,,,2265,,5548,,,,,6021,44509,,69,,,,,,,,13354,,,,,,,18851,,65264,,,,,802,,,,,,
"AZE",,,,,,,,,,525188,,190,744,,,,,,14000,5,,,,,2,,,,,,,923,,,,,,1074,,,,,2,,,,,,,,2,,,,,16,91,,,95,,,,,24,,,,1437,,,,,,8,426,,,,,5780,12642,,,387,,,,,,,,,,,,103,3,,,937,,59,,14990,98,,,,35532,,,,8631,,3109,,,,,,1340,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,63,,,,,,,,,260,10,,,,1708,,,841759,,,,,,,,,,,,,,,,,23,0,,,,,655,,,,,189,333,,180,,,,,,,,15638,7809,,,,94083,,544,,14565,,,22744,,,,,,,,
"BHS",,,,,,,,2,,,,270,16,,,,,64,,6,,,,,0,139,,,,18,,2,,,,,,1273,190,,,,1,,,,,,,,9,,,,,0,,,,9,,7,111,20,11,,,,,,,,,,3,69,,,,,,,,,21,,27,,,,,,8,,,,5,1,,,,,31,,,27,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,48,,,45,,,,,,9,,,,,,,,,,,,,,,,,,,,11,10,,,,,,,,,,,,,,,,,,,116,,,,,16,84,,,,,,,,,,,,459,,,,,1735,,28788,,,,,,,,,,,
"BHR",,,,,,,,,26,,,770,14,,,,20661,,,27,,,,,1,,,,,,,4,,,,,,1327,,,,,2,,,,,,,,1,,,,,49,12,,,95,,,26,,294,,,,,,,,,,3,58,,,,,,,,,26,,,,,,,,,,,,10,1,,,,,96,,,3,,,515,,,,363,,,0,234,,,712,,,,,,,,,,,,,,,,,,,,,,,,65,,,98,,,,,,,,,18,400,,,,,,,8381,,,,116,,,,,,,,,,,,,,,,,,,,,,,0,,,70,,72,97,7971,,,54,224,,,,,,,,,,,,,,,,795,4047,,,,,,,,,,,,,
"BGD",,,,,,,,,,,,8490,1894,,,28889,,,,1064,,,,33,16,,,,,,1156,278,,,,,,22310,,,,,6,2895,366,,,,,,2,,,,,296,16,97,,398,,,,,186,6,,,,,,,,1287,347,2340,,,,,,5841,,,4694,,,,,,,,,,,,46,0,3879114,,,,1264,,,23300,,7177,8402,,,,136047,,,5,3814,,,919,,,26,,,53272,5286,,9,,,,313,,15,,,,,,,,1359,44,,522,800,,1155,,,,,,783,485,92034,,,13,,,,754,44,261,,43402,8855,,,7,753,,,,,,,,,,504790,,,17,,30155,,,3,,,1064,,693,164,,,,2937,1385,,,1949,122,,,,,,307,,,,131,,297620,149241,,97713,,,,,,1244,,,,,
"BRB",,,,,,,,248,16,,,370,14,,108,,,,,20,,,,,0,451,,,,127,,2,,,,,,14862,209,,,,4,,,,,,,,8,,,,,,7,,,24,,95,,,,35,,,,,,,,,7,45,,,,,,,,,8,,161,,,,,,216,,,,3,1,,,,,23,,,22,575,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,20,,,,46,,,,,,,,,,,,,,,,79,600,,328,,,,,,,,,,,,,,,13,,72,,,,,101,52,,,,,,,,1573,,,,,,,,,20891,,53496,361,,,,83,,,,,,
"BLR",,,,,,,,,637,743,,1360,1153,554,,,,,,144,,,,,4,,,,,,,307,,,,,,4363,,,,,6,,,,,,,,4,,0,,,154,644,,,144,,,,,204,,,,14756,,,,,,32,1199,,,,,1059,19854,,,564,,,,,,,,,,,,159,1,,,,,712,,31040,1674,,,,50780,,,,18775,,77583,,,,560,,56088,38,,,,,,10,,,,,,,,,,,,,,,,,,27,,,,,,,,,108,,,,,,,,,108478,131,,,,5768,,45,930977,,,,,,,,,,,,142,,,,,140,31,,,101,,300,,,,,449,761,,720,,,,,,,,280,2158,,,,280687,,1108,,39480,,,28456,,,,,,,,
"BEL",,,,,241,,,,1125,,,5320,1782,,20,,,,38,,,,20,,368,,,,1410,,,181,,475,24,,,20211,13,,,,827,,,,370,,,,223,,197,,,119,372,,,1233,,,598,355,411,49,,,,,,,,,173,136250,145,,258,,23,22711,,,4629,,,310,,,166,,,,,19,1104,77,,,,,822,,4690,9092,,525,88,,,,,,,28,,,,496,22,26,12679,,,,,,58,,116,60,15,,1083,,,,,,927,,,242,,,44982,,,40,,,,,,886,,,,22,,,448,848,2904,2862,,,,,,235,824,,,,10,,,,,,,,184,20,,,,529,317,,,3340,,32533,,,,,1201,10749,,,,,32,,,,,8152,,,,40,,,20943,,34755,,,,,392,,,,,,
