"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,20,,,7893,5357,223,,236,,,216,79,,,,,1,,,,0,,,223,,,,,,13677,,,,,7,,,,104,,,,11,,,,,3,77,,,1648,,,,21,188,,,,,,,,,,144,3455,,,,,,51537,,,472,,,,,,,,,,,,403,1,19916,,2029435,284,79,,2836,236,,,75,,,,1068,,,22,,,,452,,45,,,,36,,,,,,,,,,,,,,,,,,61,,,14531,,489,22,,,,,,351,,1291867,,,,,,33,187,,,417,,,,,15576,,,,,,,,,,170388,,,,,,,125,2,,,36,,37,15,,,,3997,2243,92,12248,9,,,,,,,9633,3210,,,,2468,2088,8160,,37312,,,,,,,,,,,
"ALB",,,,,,,,,144,,,1315,1955,,,,,,,2143,,,,,3,,,,,,,316,,,,,,3263,,,,,24,,,,52,,,,2,,83,184,,98,66,,,45,,,,19,96,,,,,,,,,,17,3501,,,,,,8303,,,230218,,,,,,,,,,,,113,15,,,,,158,,,159672,,,,,,,,,,6,,,,266,,,275,,,,,,19,,,,,,,,,,,,,,,,,,267,,,,,,,58009,,81,,,,,,,,566,70,24,,,,,,632,988,,,,,,,,28,,,,364,,,,,29,51,,,63,,359,,,,,348,1316,,,,,,,,,,1939,,,,,,,1181,,22440,,,,,16,,,,,,
"DZA",,,,,,,,,224,,,950,802,,,,,,41,24149,,,,,7,,,,,,,105,,,,,,12014,,,,,44,,,,19,,,,21,,0,78,,13,121,,,717,,,,18,573,,,,,,,,,,305,814417,94,664,45,,,12366,7,,258,,,99,,,,,,,,,365,17,,,,,313,,25514,10991,,,320,,,,,,,9,,,,2079,,,92,,,,,507,25,,68,1549,,,87,,,,,,8429,,,684,,,2694,594,,40,364,,,,,558,,,,,,,11,1069,549,118,,,,,,5,1189,,,,,,,,,,,3622,41,,,,,32,8,,,233,,12706,,,,,1567,5980,,160,,,,,,,13669,378,,,,33,,,6898,,7859,,,,,82,,,45,,,
"ASM",,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,181,2,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,9,,,,41,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,1,1273,,,,,,,,,5,,,,,,,,,,,,,0,,,,,1,,,11,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2355,,,,,0,25,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
"AGO",,,,,,,,,20,,,370,212,,,,,,,985,,,,,5,,,889,5612,,,4,,,1899,,0,1834,,,,,31,,,,48,,18270,,2,,,165,,,50,,276402,77,,,,16,21,,,433,,143,,,,,49,11871,,,457,,,,,,19,,,,,,,,,,,,43,15,,,,,255,,,1024,,,,,,,,,,1,,,,,,,,,,,,72,,,,,,,43,,,,,,,19720,,22978,,,2543,,,,,,,,,41,,,,,,,9,781,32,154254,,,,,,,470,,,,,,,,,556,,,,,,,,11,,,,11043,,1532,,,,,403,4232,,,,,,,,,,,,,,,,,3243,958,3352,,,,,164,,,,,141001,
"AIA",,,,,,,,25,,,,,,,,,,,,,,,,,,351,,,,,,16,,,,,,121,,,,,11,,,,38,,,,,,,,,,,,,,,9,155,,,,,,,,,,,,,9,,,,,,,,,11,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,1106,,,,,,,,,,
"ATG",,,,,,,,,,,,15,5,,10,,,246,,,,,,,5,669,,,,456,,2,,,,,,2082,,,,,12,,,,36,,,,,,,,,,2,,,0,,243,296,,13,,,,,,,,,,,20,,,,,,,,,13,,28,,,,,,8,,,,,,,,,,2,,,6,143,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,138,,,,662,,,16,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,231,65,,53,,,,,,,,,,,,,,,,,,,,,,7,49,,,,,,,,,,,,,,,,,2135,,15376,4610,,,,,,,,,,
"ARG",,,,,118,,,,,,,12541,947,,8,,,,92,1152,,,,,25141,28,,,27974,,,30,,,8,,,12036,7,,,,39251,,,,2471,,,,864,,166,283,,30,114,,,899,,,2935,1954,243,211,,,,,,36,,,120,10465,,,,,,4616,,,628,,,,,318,,,,442,,144,123,9,,,,,175,,29503,25795,,2950,,,,,,,,14,,,,,0,93,36,,,,,,9,,,64,,,5366,,,,,,,,,70,,,1785,,516,147,,,,,,491,,,,667,,57525,7087,43,214,654,1245,,,,,8,572,,,,,,,,74,,,,38,,,,,32,129,,,702,,50810,,,,,2270,5249,,,,,,,,,,82,,,,,,,3722,,110347,,17970,,,9138,,,,,,
"ARM",,,,,,,,,1207,,,710,1896,205368,,,,,6295,6,,,,,1,,,,,,,1179,,,,,,1778,,,,,15,,,,,,,,4,,,,,413,340,,,430,,,,15,143,,,,655,,,,,,10,6759,,,,,3297,7892,,,10438,,,,,,,,,,,,165,2,,,573,,28,,,152,,,29,7156,,,,5997,,1312,,,,346,,870,,,,,,,13,,,,,,66,,,,,,,,,89,,,62,,,,,,,,,15,,,,,,,,41,1010,34,,,,,,1,516425,,,,,,,,,,,,122,,,,,57,,,,,,657,,,,,317,415,,221,,,,,,,,465,9193,,,,44340,,323,,54094,,,8402,,29,,,,,,
