"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,12,,,8022,2170,65,,125,,,89,961,,,,,0,,,,10,,,62,,,,,,15466,,,,,4,,,,40,,,,1,,,,,2,79,,,3061,,,,10,41,,,,,,,,,,672,1463,,,,,18,34082,,,660,,,,,,,,,,,,251,0,4723,,994597,166,31,,1375,220,,,28,,,,448,,,1,,,,72,,7,,,,117,,,,,,,,,,,,,,,,,,27,,,14227,,1055,25,,,,,,1988,,541023,,,,,,319,16,,,158,,,,,1393,,,,,,,,,,67588,,,,,,,37,0,,,22,,63,30,,,,3858,1210,306,6949,4,,,,,,,4092,459,,,,494,989,13730,,22644,,,,,,,,,,,
"ALB",,,,,,,,,42,,,1056,1215,,,,,,,1590,,,,,1,,,,,,,384,,,,,,4807,,,,,20,,,,20,,,,0,,88,42,,80,61,,,96,,,,16,39,,,,,,,,,,20,2732,,,,,6,6147,,,187560,,,,,,,,,,,,80,17,,,,,134,,,170943,,,,,,,,,,3,,,,75,,,104,,,,,,48,,,,,,,,,,,,,,,,,,320,,,,,,,40705,,119,,,,,,,,235,21,19,,,,,,361,241,,,,,,,,23,,,,398,,,,,10,30,,,52,,478,,,,,308,784,,,,,,,,,,1604,,,,,,,2697,,22911,,,,,8,,,,,,
"DZA",,,,,,,,,63,,,519,237,,,,,,9,7878,,,,,2,,,,45,,,126,,,,,,16652,,,,,26,,,,7,,,,3,,15,18,,12,42,,,320,,,,6,490,,,,,,,,,,98,660830,46,280,24,,10,4519,3,,147,,,74,,,,,,,,,141,6,,,,,184,,19904,6406,,,315,,,,,,,2,,,,1241,,,38,,,,,1223,12,,53,559,,,35,,,,,,4492,,,266,,,1371,318,,54,182,,,,,294,,,,,,,6,208,111,63,,,,,,0,294,,,,,,,,,,,2302,21,,,,,13,6,,,63,,12959,,,,,688,2848,,73,,,,,,,4656,173,,,,0,,,5324,,4478,,,,,45,,,31,,,
"ASM",,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,,,,,,,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,0,,,15,0,,,,,,,,,,,,0,,,,0,,,0,,,,,,,,,,,5,,,,15,,,,,,,,,,2,,,0,,,,,,,,,,,,,,,0,537,,,,,,,,,1,,,,,,,,,,,,,0,,,,,3,,,52,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2133,,,,,1,13,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,
"AGO",,,,,,,,,9,,,221,119,,,,,,,1567,,,,,2,,,992,2977,,,3,,,624,,1327,1229,,,,,32,,,,21,,8201,,1,,,33,,,19,,136042,68,,,,13,12,,,213,,113,,,,,85,7085,,,252,,,,,,8,,,,,,,,,,,,23,9,,,,,260,,,935,,,,,,,,,,1,,,,,,,,,,,,119,,,,,,,24,,,,,,,16035,,16138,,,3593,,,,,,,,,130,,,,,,,10,1078,3,89825,,,,,,,117,,,,,,,,,306,,,,,,,,2,2,,,10589,,1512,,,,,300,2422,,,,,,,,,,,,,,,,,5015,465,3640,,,,,78,,,,,49293,
"AIA",,,,,,,,18,,,,,,,,,,,,,,,,,,270,,,,,,11,,,,,,60,,,,,13,,,,12,,,,,,,,,,,,,,,4,43,,,,,,,,,,,,,83,,,,,,,,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,9,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,,,503,,,,,,,,,,
"ATG",,,,,,,,,,,,15,6,,6,,,141,,,,,,,0,599,,,,340,,1,,,,,,1186,,,,,8,,,,24,,,,,,,,,,0,,,2,,168,124,,8,,,,,,,,,,,63,,,,,,,,,10,,18,,,,,,8,,,,,,,,,,1,,,12,82,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,56,,,,292,,,19,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,188,47,,24,,,,,,,,,,140,,,,,,,,,,,,3,38,,,,,,,,,,,,,,,,,1938,,12253,2580,,,,,,,,,,
"ARG",,,,,233,,,,,,,6675,581,,21,,,,66,871,,,,,16016,28,,,12102,,,45,,,5,,,8226,7,,,,25140,,,,1124,,,,380,,114,70,,25,62,,,538,,,926,1066,83,75,,,,,,23,,,89,6522,,,,,7,5603,,,406,,,,,170,,,,170,,62,127,7,,,,,188,,18320,25623,,1634,,,,,,,,12,,,,,5,35,13,,,,,,5,,,26,,,4741,,,,,,,,,33,,,1541,,447,114,,,,,,346,,,,667,,30406,4921,207,96,636,738,,,,,3,168,,,,,,,,34,,,,35,,,,,35,157,,,694,,118173,,,,,1343,3325,,,,,,,,,,68,,,,,,,4534,,82064,,16120,,,4300,,,,,,
"ARM",,,,,,,,,432,,,582,1156,88757,,,,,2348,173,,,,,2,,,,4,,,669,,,,,,1399,,,,,8,,,,,,,,1,,,,,380,582,,,276,,,,9,83,,,,256,,,,,,29,6611,,,,,5269,5205,,,6401,,,,,,,,,,,,97,3,,,292,,28,,,481,,,28,3254,,,,1733,,378,,,,75,,228,,,,,,,10,,,,,,39,,,,,,,,,1,,,187,,,,,,,,,82,,,,,,,,54,590,30,,,,,,0,215716,,,,,,,,,,,,131,,,,,152,0,,,,,3141,,,,,431,294,,122,,,,,,,,487,3734,,,,20836,,567,,34231,,,3560,,13,,,,,,
