"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,1,,,1455,3194,175,,154,,,106,46,,,,,1,,,,0,,,145,,,,,,2590,,,,,0,,,,62,,,,11,,,,,2,37,,,212,,,,11,194,,,,,,,,,,4,1909,,,,,,21242,,,502,,,,,,,,,,,,122,1,7259,,1788296,160,24,,1282,211,,,43,,,,808,,,8,,,,556,,26,,,,18,,,,,,,,,,,,,,,,,,26,,,5786,,103,16,,,,,,186,,1723293,,,,,,19,194,,,281,,,,,9374,,,,,,,,,,110590,,,,,,,24,1,,,37,,17,0,,,,1889,1064,0,3726,0,,,,,,,3875,158,,,,1945,1161,1533,,15757,,,,,,,,,,,
"ALB",,,,,,,,,86,,,681,863,,,,,,,1102,,,,,0,,,,,,,54,,,,,,193,,,,,10,,,,38,,,,1,,0,133,,41,28,,,3,,,,4,74,,,,,,,,,,0,1857,,,,,,4451,,,42970,,,,,,,,,,,,34,3,,,,,34,,,31662,,,,,,,,,,2,,,,209,,,151,,,,,,6,,,,,,,,,,,,,,,,,,107,,,,,,,18759,,13,,,,,,,,209,51,7,,,,,,264,503,,,,,,,,6,,,,13,,,,,4,10,,,34,,83,,,,,160,803,,,,,,,,,,426,,,,,,,91,,3220,,,,,9,,,,,,
"DZA",,,,,,,,,136,,,397,541,,,,,,24,15089,,,,,3,,,,,,,23,,,,,,1823,,,,,22,,,,9,,,,19,,0,55,,5,69,,,395,,,,12,183,,,,,,,,,,216,446449,50,386,20,,,6415,5,,164,,,36,,,,,,,,,252,8,,,,,81,,9202,3826,,,63,,,,,,,5,,,,530,,,58,,,,,245,15,,22,808,,,24,,,,,,4858,,,336,,,1255,291,,27,183,,,,,357,,,,,,,7,444,485,35,,,,,,2,639,,,,,,,,,,,1238,4,,,,,6,2,,,218,,6656,,,,,878,3285,,88,,,,,,,6845,116,,,,27,,,2353,,2955,,,,,40,,,18,,,
"ASM",,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,,,,,,,533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,163,1,,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,,7,,,,25,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,1,563,,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,,,,,0,12,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
"AGO",,,,,,,,,7,,,177,103,,,,,,,664,,,,,4,,,289,2437,,,4,,,790,,0,617,,,,,5,,,,25,,4907,,1,,,132,,,29,,225505,30,,,,5,12,,,138,,3,,,,,2,6547,,,202,,,,,,11,,,,,,,,,,,,28,6,,,,,47,,,105,,,,,,,,,,0,,,,,,,,,,,,39,,,,,,,21,,,,,,,7741,,15093,,,1118,,,,,,,,,15,,,,,,,3,322,38,66405,,,,,,,255,,,,,,,,,203,,,,,,,,9,,,,4613,,634,,,,,155,2052,,,,,,,,,,,,,,,,,507,427,845,,,,,89,,,,,62079,
"AIA",,,,,,,,8,,,,,,,,,,,,,,,,,,88,,,,,,7,,,,,,52,,,,,3,,,,25,,,,,,,,,,,,,,,5,82,,,,,,,,,,,,,5,,,,,,,,,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,571,,,,,,,,,,
"ATG",,,,,,,,,,,,6,0,,7,,,73,,,,,,,8,145,,,,178,,1,,,,,,925,,,,,6,,,,10,,,,,,,,,,1,,,0,,97,134,,7,,,,,,,,,,,5,,,,,,,,,6,,11,,,,,,2,,,,,,,,,,1,,,1,59,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,82,,,,275,,,6,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,81,25,,28,,,,,,,,,,,,,,,,,,,,,,5,17,,,,,,,,,,,,,,,,,316,,5305,1976,,,,,,,,,,
"ARG",,,,,46,,,,,,,6602,423,,4,,,,40,536,,,,,10684,5,,,15178,,,3,,,1,,,5190,2,,,,16212,,,,1284,,,,513,,46,192,,12,37,,,411,,,1546,964,194,143,,,,,,11,,,58,4592,,,,,,2209,,,310,,,,,122,,,,267,,84,10,4,,,,,30,,12315,10390,,1354,,,,,,,,3,,,,,0,45,19,,,,,,5,,,29,,,2142,,,,,,,,,27,,,752,,204,105,,,,,,203,,,,304,,25066,3502,21,136,139,584,,,,,3,286,,,,,,,,37,,,,2,,,,,9,52,,,226,,20170,,,,,962,2208,,,,,,,,,,18,,,,,,,534,,43141,,5658,,,4969,,,,,,
"ARM",,,,,,,,,597,,,180,853,94942,,,,,3957,4,,,,,0,,,,,,,605,,,,,,863,,,,,11,,,,,,,,4,,,,,159,136,,,212,,,,7,64,,,,475,,,,,,0,2990,,,,,1827,3229,,,6728,,,,,,,,,,,,86,1,,,298,,5,,,8,,,11,4462,,,,3192,,921,,,,184,,562,,,,,,,6,,,,,,33,,,,,,,,,93,,,23,,,,,,,,,4,,,,,,,,17,696,9,,,,,,1,262661,,,,,,,,,,,,5,,,,,19,,,,,,148,,,,,128,192,,114,,,,,,,,78,5126,,,,15058,,48,,20290,,,4532,,16,,,,,,
