"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,20,,,2729,4748,254,,215,,,140,93,,,,,2,,,,0,,,222,,,,,,5321,,,,,0,,,,107,,,,25,,,,,2,51,,,354,,,,18,237,,,,,,,,,,4,3346,,,,,,33279,,,621,,,,,,,,,,,,274,1,14159,,3123968,241,29,,2724,271,,,74,,,,1334,,,20,,,,677,,40,,,,32,,,,,,,,,,,,,,,,,,64,,,9865,,156,27,,,,,,253,,3374973,,,,,,25,219,,,384,,,,,19103,,,,,,,,,,166255,,,,,,,26,1,,,59,,24,0,,,,3368,1756,0,8485,0,,,,,,,7652,321,,,,2552,1630,2076,,28444,,,,,,,,,,,
"ALB",,,,,,,,,148,,,984,1733,,,,,,,2157,,,,,6,,,,,,,103,,,,,,398,,,,,23,,,,57,,,,2,,0,242,,69,44,,,5,,,,8,111,,,,,,,,,,0,3391,,,,,,5211,,,63963,,,,,,,,,,,,96,10,,,,,57,,,44935,,,,,,,,,,4,,,,315,,,290,,,,,,16,,,,,,,,,,,,,,,,,,181,,,,,,,45001,,21,,,,,,,,421,82,11,,,,,,591,1026,,,,,,,,27,,,,57,,,,,6,15,,,78,,162,,,,,293,1333,,,,,,,,,,801,,,,,,,156,,5627,,,,,17,,,,,,
"DZA",,,,,,,,,229,,,665,711,,,,,,27,26077,,,,,4,,,,,,,32,,,,,,3743,,,,,45,,,,17,,,,44,,0,103,,9,80,,,526,,,,16,543,,,,,,,,,,233,788914,95,605,34,,,8493,7,,203,,,74,,,,,,,,,263,10,,,,,113,,19544,6171,,,222,,,,,,,6,,,,1551,,,98,,,,,380,21,,45,1450,,,47,,,,,,9188,,,716,,,1764,513,,50,293,,,,,448,,,,,,,10,795,643,55,,,,,,3,1303,,,,,,,,,,,3464,6,,,,,8,4,,,348,,11518,,,,,1320,5334,,198,,,,,,,13757,156,,,,35,,,3594,,4629,,,,,84,,,41,,,
"ASM",,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959,,,,,,,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,333,1,,,,,,,,,,,,2,,,,,,,0,,,,,,,,,,,10,,,,42,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,1,1233,,,,,,,,,6,,,,,,,,,,,,,,,,,,0,,,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,,,,0,20,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
"AGO",,,,,,,,,20,,,310,188,,,,,,,1282,,,,,6,,,551,4868,,,4,,,1588,,0,1266,,,,,7,,,,49,,10334,,4,,,218,,,33,,468462,48,,,,14,23,,,247,,4,,,,,4,11499,,,342,,,,,,20,,,,,,,,,,,,32,10,,,,,92,,,304,,,,,,,,,,1,,,,,,,,,,,,70,,,,,,,39,,,,,,,14337,,24028,,,1727,,,,,,,,,30,,,,,,,8,581,38,141573,,,,,,,519,,,,,,,,,468,,,,,,,,11,,,,6602,,1201,,,,,340,3772,,,,,,,,,,,,,,,,,825,717,2252,,,,,167,,,,,123807,
"AIA",,,,,,,,17,,,,,,,,,,,,,,,,,,168,,,,,,10,,,,,,106,,,,,8,,,,39,,,,,,,,,,,,,,,7,139,,,,,,,,,,,,,8,,,,,,,,,6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,304,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,1113,,,,,,,,,,
"ATG",,,,,,,,,,,,21,4,,13,,,226,,,,,,,10,321,,,,388,,1,,,,,,1900,,,,,13,,,,37,,,,,,,,,,1,,,0,,184,266,,14,,,,,,,,,,,19,,,,,,,,,12,,22,,,,,,5,,,,,,,,,,1,,,1,120,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,172,,,,693,,,11,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,175,49,,51,,,,,,,,,,,,,,,,,,,,,,6,20,,,,,,,,,,,,,,,,,542,,12022,4398,,,,,,,,,,
"ARG",,,,,86,,,,,,,13155,839,,8,,,,76,1156,,,,,21923,14,,,28350,,,7,,,5,,,10660,3,,,,32696,,,,2359,,,,1041,,143,373,,21,76,,,833,,,2642,1669,322,255,,,,,,27,,,107,10137,,,,,,4499,,,641,,,,,285,,,,466,,145,22,5,,,,,63,,25526,31345,,2657,,,,,,,,9,,,,,0,83,38,,,,,,7,,,60,,,4340,,,,,,,,,74,,,1614,,419,185,,,,,,445,,,,580,,50447,7080,32,251,303,1234,,,,,10,582,,,,,,,,68,,,,5,,,,,20,92,,,623,,42923,,,,,1913,4509,,,,,,,,,,34,,,,,,,947,,92563,,14559,,,9483,,,,,,
"ARM",,,,,,,,,1236,,,388,1681,202586,,,,,6645,7,,,,,0,,,,,,,1207,,,,,,1771,,,,,21,,,,,,,,6,,,,,292,227,,,400,,,,13,179,,,,715,,,,,,0,6547,,,,,4039,5581,,,12148,,,,,,,,,,,,186,2,,,521,,10,,,25,,,26,7596,,,,7381,,1552,,,,511,,815,,,,,,,11,,,,,,60,,,,,,,,,94,,,43,,,,,,,,,4,,,,,,,,31,1181,16,,,,,,1,535266,,,,,,,,,,,,19,,,,,37,,,,,,282,,,,,267,374,,257,,,,,,,,192,11254,,,,35141,,81,,41481,,,9213,,30,,,,,,
"ABW",,,,,,,,7,1,,,26,,,,,,,,,,,,,0,4376,,,,,,1,,,,,,523,,,,,50,,,,283,,,,29,,,,,,,,,5,,17,330,,,,,,,,,,,,,10,,,,,,,,,41,,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,3363,417,,,,430,,,,,,
"AUS",,,,,36,,,7,625,,,,1371,,27,,,24,21,681,,,37,12,74,,,120,297,12,262,13,,,,54,,13390,23,9,,,675,2417,6092,,202,,,115,73,,694,,,741,56,96,,981,,3,67,125,525,33,,,,8,,7,,1306,452,3931,,63,,,,6205,17,,19643,,,,,47,,,,,,,832,60,3116,5963,,,532,123,2102,8059,,3976,188,,,64,,,18,45,,,,1499,,22,74,,,1851,37,,3435,,,,,,116,,,3,,,,,,793,202,,7853,226,47778,,,,11,,,797,,,,115,13916,,366,943,863,348,,,315,,,17,761,,,,7,,,236,,,,,82,67,,2913,,18,226,360,,4199,,2358,51,,,,1760,3033,,,593,425,,7,,,,2910,,,,,,,72426,,42267,,,,442,131,16,,,,81,
"AUT",,,,,,,,,4256,,,22977,,,15,,,,44,1293,,,26,,170,,310,,4756,,,26,,,,,,25600,15,20,,,594,,,,280,,,,80,,1265,,,88,1811,,,1275,,,965,182,716,18,,,,,,,,,253,11675,,,,,,189349,,,3523,,,,,,,,,170,,,5206,52,,,,,49,,6373,16037,,309,78,,,,,,,50,,,,2044,2021,48,512,,,,50,,18,,,,,,429,,,3,,,,,,901,,,6902,,655,54,,,,,,997,,,,41,,,122,92,6119,113,,,,,,722,3776,,,,6,,,,,,,,860,,,,,281,4461,,,3523,,2259,,,,,4731,48450,,98,,,,,,,,6979,,,,,,,20222,,87673,,,,,1020,,,,,,
"AZE",,,,,,,,,,464459,,99,592,,,,,,15651,8,,,,,0,,,,,,,8,,,,,,1041,,,,,3,,,,,,,,2,,,,,9,45,,,84,,,,,24,,,,2211,,,,,,0,400,,,,,7911,600,,,171,,,,,,,,,,,,134,2,,,817,,10,,14696,6,,,,35789,,,,14455,,1399,,,,,,2193,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,0,,,,,,,,,356,2,,,,3748,,,936852,,,,,,,,,,,,,,,,,4,,,,,,35,,,,,148,119,,257,,,,,,,,4062,11793,,,,81482,,77,,9026,,,23261,,,,,,,,
