"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"AFG",,,,,,,,,9,,,59798,20561,178,,690,,,278,23386,,,,,1,,,,77,,,396,,,,,,55339,,,,,60,,,,122,,,,4,,,,,7,516,,,14168,,,,157,208,,,,42,,,,,,7706,6887,,,,,41,208732,,,11673,,,,,,2,,,,,,1452,34,13501,,2310292,319,162,,2469,11896,,,64,,,,2826,,,25,,,,339,,7,,,,569,,534,,,,,,,,,,,,,,,,44,,,37216,,2610,63,,,,,,17347,,1589146,,,,,,1258,149,,,1602,,,,,5093,,,,,,,,,,469324,,,,,,,252,40,,,162,,474,132,,,,45413,14952,1018,12346,1,,,,,,,18390,216,,,,4860,8071,55227,,80026,,,,,,,,,,,
"ALB",,,,,,,,,67,,,3872,3715,,,,,,,11042,,,,,1,,,,,,,1348,,,,,,16363,,,,,100,,,,52,,,,4,,159,33,,289,384,,,520,,,,69,118,,,,36,,,,,,659,7371,,,,,10,50894,,,426449,,,,,,10,,,,,,307,112,,,,,326,,,475196,,,,,,,,,,10,,,,319,,,1070,,,,,1429,171,,,,,,,,,,2763,,,,,,,,1913,,,,,,,68029,,1611,,,,,,,,119,133,50,,,,,,626,233,,,,,,,,39,,,,474,,,,,116,127,,,280,,2008,,,,,7136,3968,,,,,,,,,,4495,,,,,,,11244,,99205,,,,,18,,,,,,
"DZA",,,,,,,,,105,,,1745,1522,,,,,,52,27633,,,,,3,,,,246,,,482,,,,,,68822,,,,,177,,,,26,,,,12,,51,13,,36,741,,,1046,,,,47,877,,,,29,,,,,,1212,1575528,91,706,108,,17,21519,14,,390,,,158,,,6723,,,,,,842,60,,,,,645,,44422,22877,,,358,,,,,,,12,,,,3808,,,1154,,,,,534,116,,101,1697,,,106,,,,,,14164,,,500,,,4267,617,,118,497,,,,,1362,,,,,,,22,476,616,233,,,,,,373,777,,,,,,,,,,,4342,53,,,,,114,33,,,778,,57140,,,,,3475,10122,,128,,,,,,,10580,876,,,,0,,,25134,,21201,,,,,93,,,81,,,
"ASM",,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AND",,,,,,,,,1,,,31,2,,,,,,,,,,,,0,,,,13,,,0,,,,,,,,,,,36,,,,49,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,2,1079,,,,,,,,,2,,,,,,5,,,,,,,2,,,,,2,,,55,,,,,,,,,,0,,,,,,,,,,,,1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,6113,,,,,2,115,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,
"AGO",,,,,,,,,9,,,592,402,,,,,,,6897,,,,,6,,,782,8665,,,14,,,388,,2599,3322,,,,,221,,,,56,,42506,,3,,,29,,,176,,179065,173,,,,41,28,,,349,4,132,,,,,577,23438,,,1098,,,,,,11,,,,,,109,,,,,,86,41,,,,,526,,,1911,,,,,,,,,,0,,,,,,,,,,,,1743,,,,,,,55,,,,,,,39224,,39580,,,5202,,,,,,,,,551,,,,,,,17,78,59,158958,,,,,,,510,,,,,,,,,325,,,,,,,,27,3,,,69659,,3681,,,,,801,6984,,,,,,,,,,,,,,,,,14482,1123,15192,,,,,184,,,,,28908,
"AIA",,,,,,,,40,,,,,,,,,,,,,,,,,,33,,,,,,35,,,,,,68,,,,,60,,,,43,,,,,,,,45,,,,,,,19,34,,,,,,,,,,,,,10,,,,,,,,,9,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,4,,,,,,,,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869,,,972,,,,,,,,,,
"ATG",,,,,,,,,,,,63,8,,14,,,195,,,,,,,0,29,,,,822,,5,,,,,,2459,,,,,48,,,,41,,,,,,,,58,,6,,,4,,451,184,,15,,,,5,,,,,,,66,,,,,,,,,28,,38,,,,4249,,19,,,,,,,,,,2,,,23,154,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,117,,,,485,,,35,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,411,86,,57,,,,,,,,,,552,,,,,,,,,,,,3,66,,,,,,,,,,,,,,,,,5380,,34208,4588,,,,,,,,,,
"ARG",,,,,727,,,,,,,17583,1797,,117,,,,100,2525,,,,,46609,3,,,39078,,,128,,,4,,,20692,13,,,,72813,,,,3419,,,,1489,,184,51,22,86,242,,,2009,,,1106,5315,248,218,,,37,,,31,,,569,14253,,,,,15,17141,,,624,,,,,568,106,,,454,,194,402,63,,,,,359,,38259,71880,,3273,,,,,,,,15,,,,,25,47,395,,,,,,22,,,68,,,15918,,,,,,,,,50,,,3855,,1819,282,,,,,,1234,,,,2714,,58535,17148,152,288,1342,894,,,,,120,251,,,,,,,,90,,,,49,,,,,86,405,,,4145,,259946,,,,,3386,9391,,,,,,,,,,189,,,,,,,12239,,215239,,28604,,,9740,,,,,,
"ARM",,,,,,,,,570,,,1629,3601,142650,,,,,5656,1607,,,,,5,,,,70,,,1840,,,,,,4435,,,,,40,,,,,,,,7,,,,,1228,1954,,,782,,,,36,158,,,,693,,,,,,145,21012,,,,,12736,21263,,,13923,,,,,,8,,,,,,194,10,,,2438,,58,,,1630,,,26,9555,,,,2331,,667,,,,270,,404,,,,,,,61,,,,,,104,,,,,,,,,64,,,925,,,,,,,,,347,,,,,,,,139,2228,101,,,,,,95,527163,,,,,,,,,,,,160,,,,,161,18,,,,,9860,,,,,3348,1107,,193,,,,,,,,1076,7067,,,,47780,,1589,,101757,,,5857,,33,,,,,,
