"","AFG","ALB","DZA","ASM","AND","AGO","AIA","ATG","ARG","ARM","ABW","AUS","AUT","AZE","BHS","BHR","BGD","BRB","BLR","BEL","BLZ","BEN","BMU","BTN","BOL","BES","BIH","BWA","BRA","VGB","BRN","BGR","BFA","BDI","CPV","KHM","CMR","CAN","CYM","CAF","TCD","JEY","CHL","CHN","HKG","MAC","COL","COM","COG","COK","CRI","CIV","HRV","CUB","CUW","CYP","CZE","PRK","COD","DNK","DJI","DMA","DOM","ECU","EGY","SLV","GNQ","ERI","EST","SWZ","ETH","FLK","FRO","FJI","FIN","FRA","GUF","PYF","GAB","GMB","GEO","DEU","GHA","GIB","GRC","GRL","GRD","GLP","GUM","GTM","GIN","GNB","GUY","HTI","VAT","HND","HUN","ISL","IND","IDN","IRN","IRQ","IRL","IMN","ISR","ITA","JAM","JPN","JOR","KAZ","KEN","KIR","KWT","KGZ","LAO","LVA","LBN","LSO","LBR","LBY","LIE","LTU","LUX","MDG","MWI","MYS","MDV","MLI","MLT","MHL","MTQ","MRT","MUS","MYT","MEX","FSM","MCO","MNG","MNE","MSR","MAR","MOZ","MMR","NAM","NRU","NPL","NLD","NCL","NZL","NIC","NER","NGA","NIU","MKD","MNP","NOR","OMN","PAK","PLW","PAN","PNG","PRY","PER","PHL","POL","PRT","PRI","QAT","KOR","MDA","REU","ROU","RUS","RWA","SHN","KNA","LCA","SPM","VCT","WSM","SMR","STP","SAU","SEN","SRB","SYC","SLE","SGP","SXM","SVK","SVN","SLB","SOM","ZAF","SSD","ESP","LKA","PSE","SDN","SUR","SWE","CHE","SYR","TJK","THA","TLS","TGO","TKL","TON","TTO","TUN","TUR","TKM","TCA","TUV","UGA","UKR","ARE","GBR","TZA","USA","VIR","URY","UZB","VUT","VEN","VNM","WLF","ESH","YEM","ZMB","ZWE"
"ABW",,,,,,,,3,0,,,25,,,,,,,,,,,,,0,1399,,,,,,3,,,,,,273,,,,,4,,,,138,,,,11,,,,,,,,,2,,11,148,,,,,,,,,,,,,26,,,,,,,,,26,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,8,,,,,,,,,,,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,,1943,242,,,,182,,,,,,
"AUS",,,,,31,,,4,222,,,,969,,36,,,13,11,616,,,32,17,89,,,109,333,4,269,58,,,,114,,10463,68,6,,,766,2581,4501,,83,,,125,16,,536,,,944,164,83,,1104,,1,41,104,230,9,,,,17,,9,,901,458,2460,,37,,,,4827,10,,9360,,,,,31,,,,,,,391,33,366,3486,,,2971,115,1373,5274,,4191,243,,,44,,,9,82,,,,425,,25,30,,,2056,33,,1796,,,,,,184,,,59,,,,,,215,94,,4959,140,29123,,,,8,,,678,,,,94,6996,,284,1131,430,561,,,1717,,,39,347,,,,4,,,222,,,,,378,27,,3423,,103,162,175,,1707,,2329,126,,,,1633,2735,,,919,238,,17,,,,1232,,,,,,,49384,,23852,,,,275,69,22,,,,72,
"AUT",,,,,,,,,701,,,11172,,,16,,,,17,1422,,,17,,67,,87,,1273,,,89,,,,,,9343,37,16,,,390,,,,99,,,,46,,1603,,,96,1843,,,815,,,555,154,242,5,,,,,,,,,224,4787,,,,,13,98695,,,729,,,,,,,,,122,,,3685,47,,,,,270,,2518,3648,,245,127,,,,,,,67,,,,328,1326,30,233,,,,10,,37,,,,,,297,,,6,,,,,,341,,,2788,,621,20,,,,,,551,,,,40,,,92,755,2004,218,,,,,,337,1689,,,,6,,,,,,,,3561,,,,,1297,2332,,,1682,,3022,,,,,3272,20538,,30,,,,,,,,6696,,,,,,,5974,,22303,,,,,404,,,,,,
"AZE",,,,,,,,,,155701,,126,433,,,,,,7960,32,,,,,1,,,,,,,706,,,,,,974,,,,,1,,,,,,,,0,,,,,9,224,,,77,,,,,28,,,,901,,,,,,19,1189,,,,,1885,7208,,,178,,,,,,,,,,,,59,1,,,666,,34,,6567,128,,,,22048,,,,3603,,1674,,,,,,859,,,,,,,,,,,,,,,,,,,,,,,,,270,,,,,,,,,81,,,,,,,,,131,22,,,,714,,,457244,,,,,,,,,,,,,,,,,9,1,,,,,153,,,,,295,191,,65,,,,,,,,8164,3778,,,,47823,,743,,7895,,,11378,,,,,,,,
"BHS",,,,,,,,1,,,,121,10,,,,,25,,13,,,,,0,70,,,2,6,,0,,,,,,792,90,,,,1,,,,,,,,5,,,,,0,,,,4,,3,36,14,3,,,,,,,,,,3,16,,,,,,,,,9,,14,,,,,,5,,,,4,1,,,,,17,,,21,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,30,,,36,,,,,,4,,,,,,,,,,,,,,,,,,,,11,8,,,,,,,,,,,,,,,,,,,31,,,,,19,52,,,,,,,,,,,,183,,,,,802,,12299,,,,,,,,,,,
"BHR",,,,,,,,,12,,,603,8,,,,13280,,,55,,,,,1,,,,13,,,3,,,,,,870,,,,,3,,,,,,,,1,,,,,38,13,,,44,,,19,,177,,,,,,,,,,7,72,,,,,,,,,14,,,,,,,,,,,,6,1,,,,,50,,,12,,,487,,,,177,,,0,106,,,597,,,,,,,,,,,,,,,,,,,,,,,,14,,,50,,,,,,,,,11,193,,,,,,,3412,,,,143,,,,,,,,,,,,,,,,,,,,,,,0,,,13,,23,100,3976,,,34,128,,,,,,,,,,,,,,,,329,2352,,,,,,,,,,,,,
"BGD",,,,,,,,,,,,9915,1417,,,42486,,,,969,,,,28,19,,,,22,,1066,235,,,,,,16809,,,,,8,1482,253,,,,,,1,,,,,424,61,44,,266,,,,,196,6,,,,,,,,652,636,2041,,,,,,4308,,,6981,,,,,,,,,,,,50,0,1877540,,,,1615,,,43594,,4371,13212,,,,146554,,,6,2619,,,966,,,14,,,115387,12447,,6,,,,1190,,23,,,,,,,,889,21,,122,342,,667,,,,,,670,248,86008,,,20,,,,282,64,658,,66805,7108,,,8,538,,,,,,,,,,470864,,,84,,28036,,,0,,,1074,,3698,240,,,,2207,1116,,,898,73,,,,,,290,,,,20,,350939,87859,,63267,,,,,,2399,,,,,
"BRB",,,,,,,,156,1,,,209,8,,103,,,,,8,,,,,0,148,,,3,92,,0,,,,,,6922,124,,,,2,,,,,,,,3,,,,,,1,,,18,,63,,,,18,,,,,,,,,8,34,,,,,,,,,7,,84,,,,,,118,,,,2,1,,,,,11,,,18,275,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,11,,,,15,,,,,,,,,,,,,,,,39,272,,191,,,,,,,,,,17,,,,,13,,17,,,,,77,36,,,,,,,,852,,,,,,,,,9021,,24870,189,,,,22,,,,,,
"BLR",,,,,,,,,209,178,,697,342,103,,,,,,82,,,,,2,,,,4,,,102,,,,,,3401,,,,,5,,,,,,,,2,,8,,,46,988,,,134,,,,,107,,,,5724,,,,,,56,731,,,,,192,7156,,,271,,,,,,,,,,,,66,6,,,,,339,,11912,8609,,,,27940,,,,5773,,25008,,,,373,,22282,4,,,,,,2,,,,,,,,,,,,,,,,,,65,,,,,,,,,109,,,,,,,,,35936,269,,,,1386,,16,376057,,,,,,,,,,,,18,,,,,40,28,,,63,,1089,,,,,403,257,,283,,,,,,,,64,1391,,,,105069,,881,,23573,,,13382,,,,,,,,
"BEL",,,,,135,,,,398,,,2856,961,,15,,,,22,,,,14,,188,,,,1041,,,177,,224,9,,,9668,7,,,,632,,,,195,,,,86,,128,,,80,281,,,765,,,255,218,249,25,,,,,,,,,208,60781,65,,157,,8,12588,,,2044,,,189,,,76,,,,,13,696,45,,,,,659,,2325,11579,,300,68,,,,,,,42,,,,329,16,77,6422,,,,,,46,,53,34,45,,459,,,,,,482,,,96,,,20383,,,29,,,,,,489,,,,85,,,276,325,2052,1549,,,,,,307,357,,,,6,,,,,,,,129,14,,,,357,151,,,2303,,18455,,,,,771,6064,,,,,26,,,,,3892,,,,19,,,9719,,17174,,,,,207,,,,,,
