"i","j","fij"
"COD","BDI",185833
"TKM","RUS",185620
"PRT","BRA",185489
"BIH","DEU",184792
"NAM","ZAF",184496
"HUN","DEU",184004
"BIH","AUT",183169
"ZWE","GBR",183117
"SYR","SWE",181793
"MAR","NLD",180879
"VNM","CAN",180258
"AGO","COD",179065
"MDA","ROU",177482
"GBR","FRA",176672
"PRT","USA",176315
"COD","COG",175608
"IDN","HKG",174380
"MYS","AUS",174136
"GHA","USA",173952
"ITA","GBR",173305
"FRA","CHE",170887
"FRA","GBR",170142
"MLI","NGA",168657
"PHL","QAT",168461
"DOM","ESP",167176
"GIN","CIV",166489
"JOR","ARE",166467
"SRB","DEU",166432
"ESH","DZA",165223
"CHN","BGD",164917
"CHN","ESP",164695
"IRN","CAN",164463
"GRC","USA",163819
"BEL","FRA",161970
"SOM","GBR",161723
"IND","ITA",161364
"LKA","GBR",161334
"ETH","SAU",160192
"USA","PRI",159260
"AGO","PRT",158958
"MAR","ISR",158622
"LTU","GBR",158413
"JAM","GBR",157762
"POL","CAN",155996
"LKA","QAT",155825
"DEU","CAN",155330
"ESP","DEU",155083
"ITA","ARG",155008
"IDN","BGD",154877
"TGO","NGA",154754
"PHL","ITA",153280
"PHL","HKG",152771
"LKA","IND",152536
"MDA","UKR",151242
"BOL","ESP",151235
"LBN","SAU",150183
"KEN","GBR",149797
"UGA","SSD",149303
"PRT","CAN",148513
"PHL","GBR",148196
"NGA","CMR",148076
"JAM","CAN",147342
"PRT","GBR",146879
"IND","MYS",146128
"ISR","USA",145719
"AUS","GBR",145692
"FIN","SWE",145544
"MMR","USA",145165
"ARM","AZE",142650
"DEU","RUS",141992
"CUB","ESP",141447
"IRQ","SWE",141430
"GHA","GBR",140920
"LKA","CAN",140579
"POL","IRL",139986
"VNM","FRA",138552
"IDN","SGP",138338
"NLD","DEU",137846
"BIH","USA",137688
"BDI","RWA",137669
"NLD","BEL",137062
"LKA","AUS",136979
"BRA","PRT",136526
"POL","NLD",135775
"KEN","USA",135187
"URY","ARG",135076
"FRA","DEU",134829
"PSE","EGY",134080
"HKG","GBR",133426
"FRA","ITA",132810
"MDG","FRA",132574
"SEN","GMB",132518
"UKR","ISR",131392
"KOR","CAN",131324
"GBR","ZAF",131310
"SDN","ARE",131254
"NGA","NER",130982
"TUN","USA",130541
"SEN","FRA",129790
"IDN","NLD",129575
"PRT","DEU",127409
"DEU","NLD",127373
"LBN","USA",127280
"USA","DEU",127218
"IND","SGP",127189
"IRN","DEU",127177
"ITA","BEL",126432
"ITA","ESP",125820
"PAN","USA",125329
"SYR","EGY",124688
"UKR","UZB",124337
"ROU","FRA",124240
"BGD","ITA",123894
"DEU","AUS",122601
"IRL","USA",122529
"EGY","ITA",122040
"MOZ","ZWE",121628
"RUS","EST",121568
"BGR","ESP",121435
"KOR","AUS",121204
"CHN","FRA",121172
"COL","CHL",120626
"ESP","USA",120608
"RUS","LVA",119832
"CHN","DEU",119093
"LKA","ARE",118708
"POL","ITA",118588
"NER","NGA",118119
"GRC","AUS",117702
"PER","ITA",117189
"PHL","MYS",116423
"BRA","ITA",115970
"VNM","KOR",115632
"CHL","USA",115243
"USA","AUS",114549
"NPL","USA",114120
"IRQ","LBN",114049
"PAK","ITA",112947
"IDN","USA",112873
"FRA","CAN",112435
"TGO","BEN",112300
"RUS","ISR",111474
"DEU","GRC",111442
"GHA","CIV",111024
"SOM","LBY",110919
"CYP","GBR",110689
"UKR","CZE",110337
"VEN","CHL",109798
"BRA","ESP",109552
"PAK","SGP",109537
"RUS","KGZ",109511
"TUN","ITA",109387
"PRT","ESP",109184
"ZAF","USA",109110
"MLI","MRT",108528
"MWI","ZAF",108474
"CHN","IND",108286
"CAN","GBR",108074
"MWI","ZWE",107051
"PAK","AFG",106528
"POL","FRA",106472
"MAR","DEU",105928
"POL","NOR",105843
"IDN","KWT",105340
"HKG","AUS",105165
"EGY","JOR",105084
"CHE","FRA",104900
"BIH","SVN",104738
"TUR","GBR",104491
"VNM","DEU",104454
"TUR","BEL",104059
"SEN","ITA",103744
"ARM","USA",101757
"TGO","GHA",101677
"ROU","ISR",100823
"SOM","USA",100433
