"i","j","fij"
"COD","MMR",0
"COK","MMR",0
"CRI","MMR",0
"HRV","MMR",0
"CUB","MMR",0
"CYP","MMR",0
"AND","MMR",0
"CZE","MMR",0
"BEN","MMR",0
"DNK","MMR",0
"DMA","MMR",0
"DOM","MMR",0
"ECU","MMR",0
"SLV","MMR",0
"GNQ","MMR",0
"ETH","MMR",0
"ERI","MMR",0
"EST","MMR",0
"FRO","MMR",0
"FLK","MMR",0
"AGO","MMR",0
"FJI","MMR",0
"FIN","MMR",0
"FRA","MMR",0
"GUF","MMR",0
"PYF","MMR",0
"DJI","MMR",0
"GAB","MMR",0
"GEO","MMR",0
"GMB","MMR",0
"PSE","MMR",0
"DEU","MMR",0
"ATG","MMR",0
"GHA","MMR",0
"GIB","MMR",0
"KIR","MMR",0
"GRC","MMR",0
"GRL","MMR",0
"GRD","MMR",0
"AZE","MMR",0
"GLP","MMR",0
"GUM","MMR",0
"ARG","MMR",0
"GTM","MMR",0
"GIN","MMR",0
"GUY","MMR",0
"HTI","MMR",0
"VAT","MMR",0
"HND","MMR",0
"HKG","MMR",0
"HUN","MMR",0
"ISL","MMR",0
"IND","MMR",27166
"AUS","MMR",0
"IDN","MMR",0
"IRN","MMR",0
"IRQ","MMR",0
"IRL","MMR",0
"ISR","MMR",0
"ITA","MMR",0
"CIV","MMR",0
"JAM","MMR",0
"JPN","MMR",0
"KAZ","MMR",0
"AFG","MMR",0
"AUT","MMR",0
"JOR","MMR",0
"KEN","MMR",0
"PRK","MMR",0
"KOR","MMR",0
"KWT","MMR",0
"KGZ","MMR",0
"LAO","MMR",0
"LBN","MMR",0
"LSO","MMR",0
"LVA","MMR",0
"LBR","MMR",0
"LBY","MMR",0
"LIE","MMR",0
"BHS","MMR",0
"LTU","MMR",0
"LUX","MMR",0
"MAC","MMR",0
"MDG","MMR",0
"MWI","MMR",0
"MYS","MMR",0
"MDV","MMR",0
"MLI","MMR",0
"MLT","MMR",0
"MTQ","MMR",0
"MRT","MMR",0
"BHR","MMR",0
"MUS","MMR",0
"MEX","MMR",0
"MCO","MMR",0
"MNG","MMR",0
"MDA","MMR",0
"MNE","MMR",0
"BGD","MMR",1061
"MSR","MMR",0
"MAR","MMR",0
"MOZ","MMR",0
"ARM","MMR",0
"OMN","MMR",0
"NAM","MMR",0
"BRB","MMR",0
"NRU","MMR",0
"NPL","MMR",0
"NLD","MMR",0
"CUW","MMR",0
"ABW","MMR",0
"SXM","MMR",0
"BES","MMR",0
"NCL","MMR",0
"VUT","MMR",0
"NZL","MMR",0
"NIC","MMR",0
"BEL","MMR",0
"NER","MMR",0
"NGA","MMR",0
"NIU","MMR",0
"NOR","MMR",0
"MNP","MMR",0
"FSM","MMR",0
"MHL","MMR",0
"PLW","MMR",0
"PAK","MMR",3084
"PAN","MMR",0
"PNG","MMR",0
"BMU","MMR",0
"PRY","MMR",0
"PER","MMR",0
"PHL","MMR",0
"POL","MMR",0
"PRT","MMR",0
"GNB","MMR",0
"TLS","MMR",0
"PRI","MMR",0
"QAT","MMR",0
"REU","MMR",0
"BTN","MMR",0
"ROU","MMR",0
"RUS","MMR",0
"RWA","MMR",0
"SHN","MMR",0
"KNA","MMR",0
"AIA","MMR",0
"LCA","MMR",0
"SPM","MMR",0
"VCT","MMR",0
"SMR","MMR",0
"STP","MMR",0
"BOL","MMR",0
"SAU","MMR",0
"SEN","MMR",0
"SRB","MMR",0
"SYC","MMR",0
"SLE","MMR",0
"BIH","MMR",0
"SGP","MMR",0
"SVK","MMR",0
"VNM","MMR",0
"SVN","MMR",0
"SOM","MMR",0
"ZAF","MMR",0
"ZWE","MMR",0
"BWA","MMR",0
"ESP","MMR",0
"SSD","MMR",0
"SDN","MMR",0
"ESH","MMR",0
"SUR","MMR",0
"SWZ","MMR",0
"SWE","MMR",0
"CHE","MMR",0
"BRA","MMR",0
"SYR","MMR",0
"TJK","MMR",0
"THA","MMR",0
"TGO","MMR",0
"TKL","MMR",0
"TON","MMR",0
"TTO","MMR",0
"ARE","MMR",0
"TUN","MMR",0
"TUR","MMR",0
"TKM","MMR",0
"TCA","MMR",0
"TUV","MMR",0
"ALB","MMR",0
"UGA","MMR",0
"UKR","MMR",0
"MKD","MMR",0
"EGY","MMR",0
"GBR","MMR",0
"JEY","MMR",0
"IMN","MMR",0
"TZA","MMR",0
"BLZ","MMR",0
"USA","MMR",0
"VIR","MMR",0
"BFA","MMR",0
