"i","j","fij"
"PAK","AFG",20975
"TJK","AFG",16064
"UZB","AFG",803
"CAN","ALB",910
"GRC","ALB",18868
"ITA","ALB",5950
"MKD","ALB",326
"TUR","ALB",1674
"USA","ALB",1854
"FRA","DZA",199
"DEU","DZA",222
"IDN","DZA",848
"IRQ","DZA",2978
"ITA","DZA",239
"JOR","DZA",973
"KWT","DZA",631
"LBN","DZA",397
"LBY","DZA",1000
"MYS","DZA",484
"RUS","DZA",278
"SAU","DZA",1951
"SOM","DZA",5185
"PSE","DZA",13815
"SDN","DZA",691
"SYR","DZA",1324
"GBR","DZA",279
"USA","DZA",423
"ESH","DZA",71830
"YEM","DZA",1109
"CHN","ASM",314
"FJI","ASM",123
"NZL","ASM",244
"PHL","ASM",500
"KOR","ASM",123
"WSM","ASM",8508
"TKL","ASM",12
"TON","ASM",645
"USA","ASM",1578
"VNM","ASM",107
"ARG","AND",261
"AUS","AND",31
"BEL","AND",135
"CHL","AND",78
"DNK","AND",73
"FRA","AND",2574
"DEU","AND",212
"ITA","AND",185
"MAR","AND",290
"NLD","AND",137
"PHL","AND",207
"PRT","AND",5666
"ESP","AND",15018
"SWE","AND",29
"CHE","AND",45
"GBR","AND",573
"USA","AND",53
"URY","AND",55
"CPV","AGO",3000
"TCD","AGO",9
"COG","AGO",287
"CIV","AGO",11
"COD","AGO",11634
"GIN","AGO",95
"MOZ","AGO",82
"NAM","AGO",283
"PRT","AGO",3332
"RWA","AGO",223
"STP","AGO",2495
"ZAF","AGO",1996
"ZMB","AGO",75
"CAN","AIA",14
"DOM","AIA",359
"GUY","AIA",192
"JAM","AIA",226
"MSR","AIA",172
"KNA","AIA",502
"GBR","AIA",121
"USA","AIA",112
"VIR","AIA",122
"AIA","ATG",17
"ABW","ATG",3
"AUS","ATG",4
"BHS","ATG",1
"BRB","ATG",156
"BLZ","ATG",6
"BMU","ATG",7
"BES","ATG",4
"VGB","ATG",42
"CAN","ATG",184
"CHN","ATG",57
"CUB","ATG",8
"CUW","ATG",7
"DMA","ATG",1844
"DOM","ATG",593
"EGY","ATG",4
"ETH","ATG",37
"FRA","ATG",17
"GUF","ATG",3
"DEU","ATG",35
"GHA","ATG",13
"GRD","ATG",95
"GLP","ATG",32
"GUY","ATG",2552
"HTI","ATG",14
"HND","ATG",4
"IND","ATG",34
"ITA","ATG",32
"JAM","ATG",1176
"JPN","ATG",8
"LBN","ATG",24
"MTQ","ATG",3
"MEX","ATG",3
"MSR","ATG",505
"NLD","ATG",6
"NZL","ATG",5
"NGA","ATG",16
"PAK","ATG",0
"PRI","ATG",23
"KNA","ATG",196
"LCA","ATG",258
"VCT","ATG",483
"SXM","ATG",11
"ZAF","ATG",18
"ESP","ATG",5
"SUR","ATG",18
"SYR","ATG",104
"TTO","ATG",306
"TCA","ATG",3
"GBR","ATG",430
"USA","ATG",1156
"VIR","ATG",304
"VEN","ATG",17
"AFG","ARG",3
"ALB","ARG",61
"DZA","ARG",99
"AND","ARG",1
"AGO","ARG",6
"ARM","ARG",437
"ABW","ARG",0
"AUS","ARG",222
"AUT","ARG",701
"BHR","ARG",12
"BRB","ARG",1
"BLR","ARG",209
"BEL","ARG",398
"BLZ","ARG",1
"BOL","ARG",147845
"BRA","ARG",15911
"BRN","ARG",2
"BGR","ARG",205
"BFA","ARG",3
"CPV","ARG",15
"KHM","ARG",21
"CAN","ARG",408
"CHL","ARG",92812
"CHN","ARG",5375
"HKG","ARG",7
"COL","ARG",1294
"COG","ARG",34
"CRI","ARG",102
"CIV","ARG",1
"HRV","ARG",750
"CUB","ARG",893
"CYP","ARG",34
"CZE","ARG",1057
"PRK","ARG",22
"DNK","ARG",179
"DMA","ARG",0
"DOM","ARG",260
"ECU","ARG",716
"EGY","ARG",203
"SLV","ARG",57
"EST","ARG",27
"ETH","ARG",22
"FJI","ARG",0
"FIN","ARG",33
"FRA","ARG",3255
"DEU","ARG",4056
"GIB","ARG",8
"GRC","ARG",759
"GRL","ARG",5
"GRD","ARG",0
"GTM","ARG",71
"GIN","ARG",0
"HTI","ARG",45
"HND","ARG",49
"HUN","ARG",559
"ISL","ARG",1
"IND","ARG",68
"IDN","ARG",10
"IRN","ARG",111
"IRQ","ARG",24
"IRL","ARG",54
"ISR","ARG",430
"ITA","ARG",78151
"JAM","ARG",18
"JPN","ARG",2052
"JOR","ARG",73
"KEN","ARG",1
"LAO","ARG",225
"LVA","ARG",68
"LBN","ARG",579
"LBY","ARG",49
"LIE","ARG",78
"LTU","ARG",227
"LUX","ARG",42
"MDG","ARG",2
"MYS","ARG",0
"MLT","ARG",0
"MEX","ARG",1129
"FSM","ARG",0
"MCO","ARG",1
"MAR","ARG",137
"MOZ","ARG",0
"MMR","ARG",14
"NAM","ARG",3
"NLD","ARG",326
"NZL","ARG",9
"NIC","ARG",71
"NER","ARG",1
"NGA","ARG",20
"MKD","ARG",1025
"NOR","ARG",70
"PAK","ARG",8
"PAN","ARG",139
"PRY","ARG",199442
"PER","ARG",56274
"PHL","ARG",30
"POL","ARG",4205
"PRT","ARG",3344
"PRI","ARG",51
"KOR","ARG",3801
"MDA","ARG",313
"ROU","ARG",747
"RUS","ARG",1328
"SMR","ARG",22
"SAU","ARG",78
"SGP","ARG",0
"SVN","ARG",609
"SOM","ARG",3
"ZAF","ARG",92
"ESP","ARG",46867
"LKA","ARG",4
"SDN","ARG",13
"SUR","ARG",0
"SWE","ARG",158
"CHE","ARG",628
"SYR","ARG",889
"THA","ARG",49
"TTO","ARG",35
"TUN","ARG",47
"TUR","ARG",482
"TUV","ARG",3
"UGA","ARG",0
"UKR","ARG",2807
"GBR","ARG",703
"TZA","ARG",1
"USA","ARG",3653
"URY","ARG",55162
"VUT","ARG",13
"VEN","ARG",904
"VNM","ARG",5
"ZMB","ARG",1
"ZWE","ARG",0
"AZE","ARM",155701
"BLR","ARM",178
"GEO","ARM",11273
"DEU","ARM",243
"GRC","ARM",584
"IRN","ARM",3471
"IRQ","ARM",117
"KAZ","ARM",180
"LBN","ARM",387
"RUS","ARM",4032
"SYR","ARM",1134
"TUR","ARM",490
"TKM","ARM",223
"UKR","ARM",464
"UZB","ARM",281
"BES","ABW",131
"CHN","ABW",444
"COL","ABW",3127
"CUW","ABW",1090
"DMA","ABW",37
"DOM","ABW",1282
"GRD","ABW",63
"GUY","ABW",145
"HTI","ABW",446
"IND","ABW",157
"JAM","ABW",231
"NLD","ABW",2092
"NIC","ABW",42
"PER","ABW",534
"PHL","ABW",455
"PRT","ABW",92
"VCT","ABW",33
"SXM","ABW",311
"SUR","ABW",614
"TUR","ABW",8
"USA","ABW",326
"VEN","ABW",1597
"AFG","AUS",10598
"ALB","AUS",1214
"DZA","AUS",811
"ASM","AUS",60
"AND","AUS",15
"AGO","AUS",229
"ATG","AUS",15
"ARG","AUS",6415
"ARM","AUS",528
"ABW","AUS",25
"AUT","AUS",11172
"AZE","AUS",126
"BHS","AUS",121
"BHR","AUS",603
"BGD","AUS",9915
"BRB","AUS",209
"BLR","AUS",697
"BEL","AUS",2856
"BLZ","AUS",30
"BEN","AUS",15
"BMU","AUS",226
"BTN","AUS",79
"BOL","AUS",363
"BIH","AUS",19456
"BWA","AUS",546
"BRA","AUS",3527
"VGB","AUS",0
"BRN","AUS",1262
"BGR","AUS",1754
"BFA","AUS",10
"BDI","AUS",232
"CPV","AUS",15
"KHM","AUS",13041
"CMR","AUS",81
"CAN","AUS",17429
"CYM","AUS",20
"CAF","AUS",5
"TCD","AUS",20
"CHL","AUS",12948
"CHN","AUS",104773
"HKG","AUS",39027
"MAC","AUS",956
"COL","AUS",2718
"COG","AUS",413
"COK","AUS",2706
"CRI","AUS",200
"CIV","AUS",110
"HRV","AUS",35958
"CUB","AUS",325
"CUW","AUS",45
"CYP","AUS",11231
"CZE","AUS",6965
"PRK","AUS",254
"COD","AUS",172
"DNK","AUS",5597
"DJI","AUS",51
"DMA","AUS",10
"DOM","AUS",51
"ECU","AUS",804
"EGY","AUS",19889
"SLV","AUS",5243
"ERI","AUS",1171
"EST","AUS",737
"SWZ","AUS",134
"ETH","AUS",3157
"FLK","AUS",59
"FRO","AUS",20
"FJI","AUS",25822
"FIN","AUS",4270
"FRA","AUS",10686
"GUF","AUS",5
"PYF","AUS",151
"GAB","AUS",15
"GMB","AUS",40
"GEO","AUS",190
"DEU","AUS",59472
"GHA","AUS",1564
"GIB","AUS",243
"GRC","AUS",64538
"GRD","AUS",67
"GLP","AUS",10
"GUM","AUS",40
"GTM","AUS",162
"GIN","AUS",126
"GNB","AUS",10
"GUY","AUS",267
"HTI","AUS",45
"HND","AUS",128
"HUN","AUS",12559
"ISL","AUS",352
