"i","j","fij"
"PAK","AFG",20902
"TJK","AFG",10450
"UZB","AFG",522
"CAN","ALB",178
"GRC","ALB",16671
"ITA","ALB",4174
"MKD","ALB",276
"TUR","ALB",625
"USA","ALB",896
"FRA","DZA",274
"DEU","DZA",449
"IDN","DZA",335
"IRQ","DZA",3444
"ITA","DZA",395
"JOR","DZA",927
"KWT","DZA",358
"LBN","DZA",652
"LBY","DZA",957
"MYS","DZA",238
"RUS","DZA",407
"SAU","DZA",1315
"SOM","DZA",4526
"PSE","DZA",12821
"SDN","DZA",652
"SYR","DZA",1262
"GBR","DZA",403
"USA","DZA",504
"ESH","DZA",67805
"YEM","DZA",869
"CHN","ASM",182
"FJI","ASM",165
"NZL","ASM",357
"PHL","ASM",491
"KOR","ASM",144
"WSM","ASM",7839
"TKL","ASM",10
"TON","ASM",610
"USA","ASM",1275
"VNM","ASM",104
"ARG","AND",387
"AUS","AND",33
"BEL","AND",109
"CHL","AND",109
"DNK","AND",57
"FRA","AND",2263
"DEU","AND",185
"ITA","AND",249
"MAR","AND",263
"NLD","AND",122
"PHL","AND",209
"PRT","AND",6459
"ESP","AND",12237
"SWE","AND",25
"CHE","AND",41
"GBR","AND",531
"USA","AND",47
"URY","AND",57
"CPV","AGO",3874
"TCD","AGO",15
"COG","AGO",518
"CIV","AGO",15
"COD","AGO",16395
"GIN","AGO",160
"MOZ","AGO",105
"NAM","AGO",383
"PRT","AGO",3164
"RWA","AGO",506
"STP","AGO",3531
"ZAF","AGO",2711
"ZMB","AGO",162
"CAN","AIA",39
"DOM","AIA",218
"GUY","AIA",147
"JAM","AIA",186
"MSR","AIA",79
"KNA","AIA",295
"GBR","AIA",257
"USA","AIA",302
"VIR","AIA",245
"AIA","ATG",19
"ABW","ATG",2
"AUS","ATG",3
"BHS","ATG",1
"BRB","ATG",117
"BLZ","ATG",6
"BMU","ATG",5
"BES","ATG",6
"VGB","ATG",47
"CAN","ATG",211
"CHN","ATG",65
"CUB","ATG",10
"CUW","ATG",10
"DMA","ATG",2496
"DOM","ATG",1046
"EGY","ATG",5
"ETH","ATG",46
"FRA","ATG",21
"GUF","ATG",2
"DEU","ATG",40
"GHA","ATG",15
"GRD","ATG",80
"GLP","ATG",37
"GUY","ATG",3365
"HTI","ATG",16
"HND","ATG",3
"IND","ATG",38
"ITA","ATG",34
"JAM","ATG",2499
"JPN","ATG",10
"LBN","ATG",26
"MTQ","ATG",2
"MEX","ATG",2
"MSR","ATG",532
"NLD","ATG",8
"NZL","ATG",6
"NGA","ATG",21
"PAK","ATG",0
"PRI","ATG",25
"KNA","ATG",239
"LCA","ATG",361
"VCT","ATG",348
"SXM","ATG",10
"ZAF","ATG",23
"ESP","ATG",6
"SUR","ATG",23
"SYR","ATG",118
"TTO","ATG",350
"TCA","ATG",3
"GBR","ATG",476
"USA","ATG",1236
"VIR","ATG",345
"VEN","ATG",19
"AFG","ARG",7
"ALB","ARG",27
"DZA","ARG",40
"AND","ARG",0
"AGO","ARG",6
"ARM","ARG",268
"ABW","ARG",1
"AUS","ARG",126
"AUT","ARG",549
"BHR","ARG",4
"BRB","ARG",6
"BLR","ARG",162
"BEL","ARG",269
"BLZ","ARG",5
"BOL","ARG",183238
"BRA","ARG",24446
"BRN","ARG",0
"BGR","ARG",156
"BFA","ARG",9
"CPV","ARG",14
"KHM","ARG",6
"CAN","ARG",256
"CHL","ARG",99504
"CHN","ARG",5792
"HKG","ARG",0
"COL","ARG",858
"COG","ARG",20
"CRI","ARG",55
"CIV","ARG",0
"HRV","ARG",482
"CUB","ARG",509
"CYP","ARG",24
"CZE","ARG",1068
"PRK","ARG",0
"DNK","ARG",125
"DMA","ARG",4
"DOM","ARG",497
"ECU","ARG",474
"EGY","ARG",103
"SLV","ARG",36
"EST","ARG",31
"ETH","ARG",17
"FJI","ARG",1
"FIN","ARG",48
"FRA","ARG",3501
"DEU","ARG",4286
"GIB","ARG",9
"GRC","ARG",508
"GRL","ARG",12
"GRD","ARG",10
"GTM","ARG",48
"GIN","ARG",1
"HTI","ARG",11
"HND","ARG",34
"HUN","ARG",438
"ISL","ARG",7
"IND","ARG",52
"IDN","ARG",14
"IRN","ARG",63
"IRQ","ARG",20
"IRL","ARG",29
"ISR","ARG",268
"ITA","ARG",74987
"JAM","ARG",0
"JPN","ARG",2010
"JOR","ARG",24
"KEN","ARG",2
"LAO","ARG",133
"LVA","ARG",77
"LBN","ARG",425
"LBY","ARG",18
"LIE","ARG",27
"LTU","ARG",236
"LUX","ARG",67
"MDG","ARG",5
"MYS","ARG",2
"MLT","ARG",2
"MEX","ARG",693
"FSM","ARG",4
"MCO","ARG",9
"MAR","ARG",119
"MOZ","ARG",10
"MMR","ARG",0
"NAM","ARG",0
"NLD","ARG",169
"NZL","ARG",5
"NIC","ARG",43
"NER","ARG",0
"NGA","ARG",29
"MKD","ARG",796
"NOR","ARG",13
"PAK","ARG",0
"PAN","ARG",68
"PRY","ARG",326431
"PER","ARG",92398
"PHL","ARG",37
"POL","ARG",3507
"PRT","ARG",2072
"PRI","ARG",41
"KOR","ARG",3538
"MDA","ARG",244
"ROU","ARG",572
"RUS","ARG",987
"SMR","ARG",2
"SAU","ARG",29
"SGP","ARG",2
"SVN","ARG",401
"SOM","ARG",0
"ZAF","ARG",64
"ESP","ARG",48618
"LKA","ARG",0
"SDN","ARG",0
"SUR","ARG",5
"SWE","ARG",98
"CHE","ARG",372
"SYR","ARG",531
"THA","ARG",27
"TTO","ARG",11
"TUN","ARG",14
"TUR","ARG",311
"TUV","ARG",2
"UGA","ARG",1
"UKR","ARG",1943
"GBR","ARG",470
"TZA","ARG",0
"USA","ARG",2025
"URY","ARG",60542
"VUT","ARG",0
"VEN","ARG",631
"VNM","ARG",2
"ZMB","ARG",0
"ZWE","ARG",2
"AZE","ARM",76693
"BLR","ARM",252
"GEO","ARM",15828
"DEU","ARM",212
"GRC","ARM",634
"IRN","ARM",3171
"IRQ","ARM",519
"KAZ","ARM",341
"LBN","ARM",386
"RUS","ARM",7594
"SYR","ARM",1080
"TUR","ARM",814
"TKM","ARM",328
"UKR","ARM",1228
"UZB","ARM",484
"BES","ABW",133
"CHN","ABW",521
"COL","ABW",5699
"CUW","ABW",1101
"DMA","ABW",71
"DOM","ABW",2569
"GRD","ABW",183
"GUY","ABW",145
"HTI","ABW",986
"IND","ABW",107
"JAM","ABW",478
"NLD","ABW",2106
"NIC","ABW",55
"PER","ABW",529
"PHL","ABW",486
"PRT","ABW",78
"VCT","ABW",83
"SXM","ABW",314
"SUR","ABW",674
"TUR","ABW",3
"USA","ABW",296
"VEN","ABW",1616
"AFG","AUS",13967
"ALB","AUS",1404
"DZA","AUS",533
"ASM","AUS",60
"AND","AUS",10
"AGO","AUS",250
"ATG","AUS",20
"ARG","AUS",6973
"ARM","AUS",648
"ABW","AUS",30
"AUT","AUS",9473
"AZE","AUS",244
"BHS","AUS",160
"BHR","AUS",593
"BGD","AUS",11953
"BRB","AUS",199
"BLR","AUS",1088
"BEL","AUS",3276
"BLZ","AUS",30
"BEN","AUS",40
"BMU","AUS",258
"BTN","AUS",845
"BOL","AUS",456
"BIH","AUS",19845
"BWA","AUS",532
"BRA","AUS",8660
"VGB","AUS",0
"BRN","AUS",1536
"BGR","AUS",1902
"BFA","AUS",20
"BDI","AUS",918
"CPV","AUS",15
"KHM","AUS",17062
"CMR","AUS",102
"CAN","AUS",23498
"CYM","AUS",40
"CAF","AUS",10
"TCD","AUS",30
"CHL","AUS",14584
"CHN","AUS",202921
"HKG","AUS",44006
"MAC","AUS",1379
"COL","AUS",6497
"COG","AUS",450
"COK","AUS",3308
"CRI","AUS",213
