"i","j","fij"
"PAK","AFG",14868
"TJK","AFG",18586
"UZB","AFG",929
"CAN","ALB",1057
"GRC","ALB",20358
"ITA","ALB",6549
"MKD","ALB",354
"TUR","ALB",1909
"USA","ALB",2088
"FRA","DZA",252
"DEU","DZA",281
"IDN","DZA",1074
"IRQ","DZA",3772
"ITA","DZA",302
"JOR","DZA",1233
"KWT","DZA",799
"LBN","DZA",504
"LBY","DZA",1267
"MYS","DZA",613
"RUS","DZA",351
"SAU","DZA",2472
"SOM","DZA",6569
"PSE","DZA",17501
"SDN","DZA",875
"SYR","DZA",1677
"GBR","DZA",353
"USA","DZA",536
"ESH","DZA",90999
"YEM","DZA",1405
"CHN","ASM",210
"FJI","ASM",78
"NZL","ASM",118
"PHL","ASM",374
"KOR","ASM",94
"WSM","ASM",9015
"TKL","ASM",13
"TON","ASM",609
"USA","ASM",1878
"VNM","ASM",105
"ARG","AND",80
"AUS","AND",21
"BEL","AND",127
"CHL","AND",30
"DNK","AND",72
"FRA","AND",2253
"DEU","AND",186
"ITA","AND",80
"MAR","AND",247
"NLD","AND",121
"PHL","AND",156
"PRT","AND",3549
"ESP","AND",14066
"SWE","AND",26
"CHE","AND",39
"GBR","AND",476
"USA","AND",47
"URY","AND",40
"CPV","AGO",2381
"TCD","AGO",7
"COG","AGO",230
"CIV","AGO",4
"COD","AGO",8719
"GIN","AGO",76
"MOZ","AGO",65
"NAM","AGO",225
"PRT","AGO",4287
"RWA","AGO",81
"STP","AGO",1985
"ZAF","AGO",1586
"ZMB","AGO",60
"CAN","AIA",12
"DOM","AIA",311
"GUY","AIA",166
"JAM","AIA",196
"MSR","AIA",149
"KNA","AIA",435
"GBR","AIA",104
"USA","AIA",97
"VIR","AIA",105
"AIA","ATG",15
"ABW","ATG",2
"AUS","ATG",3
"BHS","ATG",1
"BRB","ATG",146
"BLZ","ATG",6
"BMU","ATG",7
"BES","ATG",4
"VGB","ATG",39
"CAN","ATG",172
"CHN","ATG",53
"CUB","ATG",8
"CUW","ATG",7
"DMA","ATG",1722
"DOM","ATG",554
"EGY","ATG",4
"ETH","ATG",34
"FRA","ATG",16
"GUF","ATG",2
"DEU","ATG",33
"GHA","ATG",12
"GRD","ATG",88
"GLP","ATG",30
"GUY","ATG",2383
"HTI","ATG",13
"HND","ATG",3
"IND","ATG",32
"ITA","ATG",29
"JAM","ATG",1099
"JPN","ATG",8
"LBN","ATG",22
"MTQ","ATG",2
"MEX","ATG",2
"MSR","ATG",471
"NLD","ATG",6
"NZL","ATG",5
"NGA","ATG",15
"PAK","ATG",0
"PRI","ATG",22
"KNA","ATG",183
"LCA","ATG",241
"VCT","ATG",451
"SXM","ATG",10
"ZAF","ATG",17
"ESP","ATG",5
"SUR","ATG",17
"SYR","ATG",97
"TTO","ATG",286
"TCA","ATG",2
"GBR","ATG",402
"USA","ATG",1079
"VIR","ATG",283
"VEN","ATG",15
"AFG","ARG",3
"ALB","ARG",83
"DZA","ARG",133
"AND","ARG",1
"AGO","ARG",8
"ARM","ARG",583
"ABW","ARG",0
"AUS","ARG",295
"AUT","ARG",932
"BHR","ARG",17
"BRB","ARG",1
"BLR","ARG",278
"BEL","ARG",531
"BLZ","ARG",2
"BOL","ARG",115786
"BRA","ARG",13985
"BRN","ARG",2
"BGR","ARG",273
"BFA","ARG",4
"CPV","ARG",19
"KHM","ARG",29
"CAN","ARG",545
"CHL","ARG",100442
"CHN","ARG",4066
"HKG","ARG",9
"COL","ARG",1724
"COG","ARG",47
"CRI","ARG",136
"CIV","ARG",1
"HRV","ARG",999
"CUB","ARG",1192
"CYP","ARG",45
"CZE","ARG",1395
"PRK","ARG",29
"DNK","ARG",240
"DMA","ARG",0
"DOM","ARG",335
"ECU","ARG",954
"EGY","ARG",271
"SLV","ARG",77
"EST","ARG",37
"ETH","ARG",29
"FJI","ARG",0
"FIN","ARG",44
"FRA","ARG",2940
"DEU","ARG",4390
"GIB","ARG",11
"GRC","ARG",1012
"GRL","ARG",6
"GRD","ARG",0
"GTM","ARG",94
"GIN","ARG",0
"HTI","ARG",60
"HND","ARG",65
"HUN","ARG",743
"ISL","ARG",1
"IND","ARG",92
"IDN","ARG",13
