"i","j","fij"
"GRD","ABW",285
"GUY","ABW",202
"HTI","ABW",660
"IND","ABW",98
"JAM","ABW",439
"NLD","ABW",2885
"NIC","ABW",48
"PER","ABW",540
"PHL","ABW",486
"PRT","ABW",183
"VCT","ABW",178
"SXM","ABW",313
"SUR","ABW",997
"TUR","ABW",63
"USA","ABW",553
"VEN","ABW",2000
"AFG","AUS",7893
"ALB","AUS",1315
"DZA","AUS",950
"ASM","AUS",94
"AND","AUS",181
"AGO","AUS",370
"ATG","AUS",15
"ARG","AUS",12541
"ARM","AUS",710
"ABW","AUS",28
"AUT","AUS",23165
"AZE","AUS",128
"BHS","AUS",230
"BHR","AUS",650
"BGD","AUS",5562
"BRB","AUS",345
"BLR","AUS",829
"BEL","AUS",5131
"BLZ","AUS",17
"BEN","AUS",13
"BMU","AUS",392
"BTN","AUS",33
"BOL","AUS",622
"BIH","AUS",26278
"BWA","AUS",413
"BRA","AUS",3960
"VGB","AUS",3
"BRN","AUS",1911
"BGR","AUS",2465
"BFA","AUS",15
"BDI","AUS",7
"CPV","AUS",10
"KHM","AUS",23310
"CMR","AUS",55
"CAN","AUS",27916
"CYM","AUS",1
"CAF","AUS",3
"TCD","AUS",12
"CHL","AUS",27782
"CHN","AUS",108346
"HKG","AUS",68683
"MAC","AUS",1947
"COL","AUS",3146
"COG","AUS",130
"COK","AUS",3562
"CRI","AUS",307
"CIV","AUS",43
"HRV","AUS",55036
"CUB","AUS",438
"CUW","AUS",54
"CYP","AUS",23918
"CZE","AUS",15921
"PRK","AUS",237
"COD","AUS",291
"DNK","AUS",10006
"DJI","AUS",63
"DMA","AUS",3
"DOM","AUS",42
"ECU","AUS",1316
"EGY","AUS",39901
"SLV","AUS",10028
"ERI","AUS",1562
"EST","AUS",2556
"SWZ","AUS",178
"ETH","AUS",2563
"FLK","AUS",112
"FRO","AUS",19
"FJI","AUS",40344
"FIN","AUS",9656
"FRA","AUS",16385
"GUF","AUS",3
"PYF","AUS",317
"GAB","AUS",10
"GMB","AUS",9
"GEO","AUS",168
"DEU","AUS",125092
"GHA","AUS",1625
"GIB","AUS",447
"GRC","AUS",142981
"GRD","AUS",92
"GLP","AUS",4
"GUM","AUS",36
"GTM","AUS",276
"GIN","AUS",17
"GNB","AUS",11
"GUY","AUS",492
"HTI","AUS",53
"HND","AUS",146
"HUN","AUS",28679
"ISL","AUS",480
"IND","AUS",78297
"IDN","AUS",45651
"IRN","AUS",19260
"IRQ","AUS",16334
"IRL","AUS",54399
"IMN","AUS",737
"ISR","AUS",7358
"ITA","AUS",260694
"JAM","AUS",830
"JPN","AUS",24485
"JOR","AUS",2918
"KAZ","AUS",353
"KEN","AUS",6121
"KIR","AUS",462
"KWT","AUS",1761
"KGZ","AUS",88
"LAO","AUS",11315
"LVA","AUS",9573
"LBN","AUS",79925
"LSO","AUS",32
"LBR","AUS",83
"LBY","AUS",1390
"LIE","AUS",8
"LTU","AUS",4843
"LUX","AUS",151
"MDG","AUS",153
"MWI","AUS",468
"MYS","AUS",80793
"MDV","AUS",113
"MLI","AUS",12
"MLT","AUS",57450
"MHL","AUS",18
"MTQ","AUS",20
"MRT","AUS",8
"MUS","AUS",19621
"MEX","AUS",1049
"FSM","AUS",8
"MCO","AUS",19
"MNG","AUS",80
"MNE","AUS",3419
"MAR","AUS",1212
"MOZ","AUS",528
"MMR","AUS",11346
"NAM","AUS",394
"NRU","AUS",491
"NPL","AUS",1238
"NLD","AUS",100236
"NCL","AUS",1252
"NZL","AUS",310921
"NIC","AUS",785
"NER","AUS",7
"NGA","AUS",1431
"NIU","AUS",367
"MKD","AUS",46518
"MNP","AUS",3
"NOR","AUS",3411
"OMN","AUS",188
"PAK","AUS",8707
"PAN","AUS",138
"PRY","AUS",343
"PER","AUS",4928
"PHL","AUS",103492
"POL","AUS",74618
"PRT","AUS",18951
"PRI","AUS",85
"QAT","AUS",183
"KOR","AUS",28782
"MDA","AUS",316
"REU","AUS",52
"ROU","AUS",13159
"RUS","AUS",12971
"RWA","AUS",27
"SHN","AUS",21
"KNA","AUS",19
"LCA","AUS",13
"VCT","AUS",47
"WSM","AUS",9696
"SAU","AUS",1090
"SEN","AUS",195
"SRB","AUS",49660
"SYC","AUS",2797
"SLE","AUS",195
"SGP","AUS",29812
"SVK","AUS",4671
"SVN","AUS",8185
"SLB","AUS",1263
"SOM","AUS",2113
"ZAF","AUS",61139
"SSD","AUS",0
"ESP","AUS",15025
"LKA","AUS",52524
"PSE","AUS",3005
"SDN","AUS",2734
"SUR","AUS",76
"SWE","AUS",6612
"CHE","AUS",10758
"SYR","AUS",6538
"TJK","AUS",26
"THA","AUS",18920
"TLS","AUS",4904
"TGO","AUS",6
"TKL","AUS",181
"TON","AUS",7354
"TTO","AUS",1205
"TUN","AUS",469
"TUR","AUS",32718
"TKM","AUS",18
"TUV","AUS",88
"UGA","AUS",1218
"UKR","AUS",16704
"ARE","AUS",1005
"GBR","AUS",1100221
"TZA","AUS",1768
