"i","j","fij"
"PAK","AFG",37163
"TJK","AFG",28460
"UZB","AFG",1422
"CAN","ALB",1128
"GRC","ALB",39315
"ITA","ALB",11069
"MKD","ALB",664
"TUR","ALB",2441
"USA","ALB",2953
"FRA","DZA",438
"DEU","DZA",614
"IDN","DZA",1141
"IRQ","DZA",5982
"ITA","DZA",584
"JOR","DZA",1782
"KWT","DZA",944
"LBN","DZA",966
"LBY","DZA",1835
"MYS","DZA",692
"RUS","DZA",633
"SAU","DZA",3098
"SOM","DZA",9132
"PSE","DZA",24996
"SDN","DZA",1260
"SYR","DZA",2425
"GBR","DZA",631
"USA","DZA",863
"ESH","DZA",130960
"YEM","DZA",1867
"CHN","ASM",450
"FJI","ASM",243
"NZL","ASM",478
"PHL","ASM",889
"KOR","ASM",239
"WSM","ASM",16738
"TKL","ASM",24
"TON","ASM",1217
"USA","ASM",3066
"VNM","ASM",208
"ARG","AND",494
"AUS","AND",59
"BEL","AND",255
"CHL","AND",148
"DNK","AND",140
"FRA","AND",4875
"DEU","AND",401
"ITA","AND",349
"MAR","AND",549
"NLD","AND",260
"PHL","AND",392
"PRT","AND",10722
"ESP","AND",28450
"SWE","AND",55
"CHE","AND",86
"GBR","AND",1085
"USA","AND",101
"URY","AND",105
"CPV","AGO",6109
"TCD","AGO",21
"COG","AGO",703
"CIV","AGO",20
"COD","AGO",24340
"GIN","AGO",224
"MOZ","AGO",166
"NAM","AGO",591
"PRT","AGO",6663
"RWA","AGO",527
"STP","AGO",5329
"ZAF","AGO",4172
"ZMB","AGO",205
"CAN","AIA",50
"DOM","AIA",560
"GUY","AIA",328
"JAM","AIA",398
"MSR","AIA",245
"KNA","AIA",774
"GBR","AIA",358
"USA","AIA",390
"VIR","AIA",348
"AIA","ATG",35
"ABW","ATG",5
"AUS","ATG",7
"BHS","ATG",2
"BRB","ATG",266
"BLZ","ATG",12
"BMU","ATG",12
"BES","ATG",10
"VGB","ATG",86
"CAN","ATG",382
"CHN","ATG",118
"CUB","ATG",18
"CUW","ATG",17
"DMA","ATG",4180
"DOM","ATG",1572
"EGY","ATG",9
"ETH","ATG",80
"FRA","ATG",37
"GUF","ATG",5
"DEU","ATG",73
"GHA","ATG",27
"GRD","ATG",170
"GLP","ATG",67
"GUY","ATG",5702
"HTI","ATG",29
"HND","ATG",7
"IND","ATG",70
"ITA","ATG",64
"JAM","ATG",3515
"JPN","ATG",18
"LBN","ATG",49
"MTQ","ATG",5
"MEX","ATG",5
"MSR","ATG",1003
"NLD","ATG",14
"NZL","ATG",11
"NGA","ATG",36
"PAK","ATG",0
"PRI","ATG",47
"KNA","ATG",420
"LCA","ATG",596
"VCT","ATG",809
"SXM","ATG",21
"ZAF","ATG",40
"ESP","ATG",11
"SUR","ATG",40
"SYR","ATG",215
"TTO","ATG",634
"TCA","ATG",6
"GBR","ATG",876
"USA","ATG",2313
"VIR","ATG",627
"VEN","ATG",35
"AFG","ARG",15
"ALB","ARG",103
"DZA","ARG",162
"AND","ARG",1
"AGO","ARG",15
"ARM","ARG",869
"ABW","ARG",1
"AUS","ARG",425
"AUT","ARG",1583
"BHR","ARG",19
"BRB","ARG",12
"BLR","ARG",470
"BEL","ARG",830
"BLZ","ARG",9
"BOL","ARG",294640
"BRA","ARG",37604
"BRN","ARG",2
"BGR","ARG",456
"BFA","ARG",18
"CPV","ARG",37
"KHM","ARG",32
"CAN","ARG",819
