"i","j","fij"
"PAK","AFG",54102
"TJK","AFG",1913
"UZB","AFG",95
"CAN","ALB",691
"GRC","ALB",14326
"ITA","ALB",4519
"MKD","ALB",248
"TUR","ALB",1270
"USA","ALB",1408
"FRA","DZA",237
"DEU","DZA",257
"IDN","DZA",1053
"IRQ","DZA",3590
"ITA","DZA",282
"JOR","DZA",1182
"KWT","DZA",779
"LBN","DZA",469
"LBY","DZA",1215
"MYS","DZA",599
"RUS","DZA",331
"SAU","DZA",2397
"SOM","DZA",6320
"PSE","DZA",16803
"SDN","DZA",840
"SYR","DZA",1609
"GBR","DZA",332
"USA","DZA",509
"ESH","DZA",87310
"YEM","DZA",1355
"CHN","ASM",416
"FJI","ASM",167
"NZL","ASM",366
"PHL","ASM",623
"KOR","ASM",151
"WSM","ASM",7944
"TKL","ASM",10
"TON","ASM",676
"USA","ASM",1268
"VNM","ASM",107
"ARG","AND",375
"AUS","AND",69
"BEL","AND",128
"CHL","AND",124
"DNK","AND",119
"FRA","AND",2272
"DEU","AND",195
"ITA","AND",261
"MAR","AND",271
"NLD","AND",144
"PHL","AND",248
"PRT","AND",6139
"ESP","AND",10906
"SWE","AND",52
"CHE","AND",85
"GBR","AND",610
"USA","AND",64
"URY","AND",59
"CPV","AGO",4758
"TCD","AGO",1157
"COG","AGO",461
"CIV","AGO",7738
"COD","AGO",55346
"GIN","AGO",11103
"MOZ","AGO",128
"NAM","AGO",451
"PRT","AGO",2856
"RWA","AGO",578
"STP","AGO",3422
"ZAF","AGO",3173
"ZMB","AGO",120
"CAN","AIA",17
"DOM","AIA",436
"GUY","AIA",234
"JAM","AIA",275
"MSR","AIA",208
"KNA","AIA",611
"GBR","AIA",148
"USA","AIA",136
"VIR","AIA",150
"AIA","ATG",20
"ABW","ATG",3
"AUS","ATG",4
"BHS","ATG",1
"BRB","ATG",185
"BLZ","ATG",8
"BMU","ATG",9
"BES","ATG",5
"VGB","ATG",50
"CAN","ATG",218
"CHN","ATG",68
"CUB","ATG",9
"CUW","ATG",8
"DMA","ATG",2172
"DOM","ATG",698
"EGY","ATG",5
"ETH","ATG",43
"FRA","ATG",20
"GUF","ATG",3
"DEU","ATG",42
"GHA","ATG",16
"GRD","ATG",111
"GLP","ATG",39
"GUY","ATG",3007
"HTI","ATG",17
"HND","ATG",4
"IND","ATG",41
"ITA","ATG",37
"JAM","ATG",1384
"JPN","ATG",9
"LBN","ATG",28
"MTQ","ATG",3
"MEX","ATG",3
"MSR","ATG",595
"NLD","ATG",7
"NZL","ATG",6
"NGA","ATG",19
"PAK","ATG",0
"PRI","ATG",27
"KNA","ATG",231
"LCA","ATG",304
"VCT","ATG",570
"SXM","ATG",12
"ZAF","ATG",22
"ESP","ATG",6
"SUR","ATG",22
"SYR","ATG",122
"TTO","ATG",362
"TCA","ATG",3
"GBR","ATG",506
"USA","ATG",1364
"VIR","ATG",358
"VEN","ATG",20
"AFG","ARG",2
"ALB","ARG",40
"DZA","ARG",65
"AND","ARG",1
"AGO","ARG",3
"ARM","ARG",296
"ABW","ARG",0
"AUS","ARG",150
"AUT","ARG",478
"BHR","ARG",8
"BRB","ARG",1
"BLR","ARG",143
"BEL","ARG",271
"BLZ","ARG",1
"BOL","ARG",210758
"BRA","ARG",20879
"BRN","ARG",1
"BGR","ARG",140
"BFA","ARG",2
"CPV","ARG",10
"KHM","ARG",14
"CAN","ARG",278
"CHL","ARG",99758
"CHN","ARG",7833
"HKG","ARG",4
"COL","ARG",4402
"COG","ARG",22
"CRI","ARG",69
"CIV","ARG",1
"HRV","ARG",510
"CUB","ARG",605
"CYP","ARG",23
"CZE","ARG",732
"PRK","ARG",14
"DNK","ARG",121
"DMA","ARG",0
"DOM","ARG",187
"ECU","ARG",486
"EGY","ARG",138
"SLV","ARG",38
"EST","ARG",18
"ETH","ARG",15
"FJI","ARG",0
"FIN","ARG",23
"FRA","ARG",4184
"DEU","ARG",4360
"GIB","ARG",5
"GRC","ARG",515
"GRL","ARG",3
"GRD","ARG",1
"GTM","ARG",49
"GIN","ARG",0
"HTI","ARG",30
"HND","ARG",33
"HUN","ARG",382
"ISL","ARG",1
"IND","ARG",46
"IDN","ARG",7
"IRN","ARG",75
"IRQ","ARG",17
"IRL","ARG",36
"ISR","ARG",292
"ITA","ARG",66764
"JAM","ARG",11
"JPN","ARG",2166
"JOR","ARG",50
"KEN","ARG",0
"LAO","ARG",151
"LVA","ARG",48
"LBN","ARG",369
"LBY","ARG",33
"LIE","ARG",52
"LTU","ARG",157
"LUX","ARG",29
"MDG","ARG",2
"MYS","ARG",0
