"i","j","fij"
"HTI","ABW",595
"IND","ABW",217
"JAM","ABW",243
"NLD","ABW",2369
"NIC","ABW",49
"PER","ABW",577
"PHL","ABW",493
"PRT","ABW",82
"VCT","ABW",26
"SXM","ABW",371
"SUR","ABW",628
"TUR","ABW",7
"USA","ABW",301
"VEN","ABW",1699
"AFG","AUS",28587
"ALB","AUS",1793
"DZA","AUS",982
"ASM","AUS",67
"AND","AUS",12
"AGO","AUS",293
"ATG","AUS",34
"ARG","AUS",7616
"ARM","AUS",638
"ABW","AUS",40
"AUT","AUS",9428
"AZE","AUS",273
"BHS","AUS",144
"BHR","AUS",933
"BGD","AUS",24012
"BRB","AUS",246
"BLR","AUS",900
"BEL","AUS",3722
"BLZ","AUS",45
"BEN","AUS",76
"BMU","AUS",290
"BTN","AUS",3017
"BOL","AUS",500
"BIH","AUS",18404
"BWA","AUS",668
"BRA","AUS",12803
"VGB","AUS",0
"BRN","AUS",1406
"BGR","AUS",1844
"BFA","AUS",34
"BDI","AUS",1228
"CPV","AUS",23
"KHM","AUS",15851
"CMR","AUS",268
"CAN","AUS",24794
"CYM","AUS",67
"CAF","AUS",18
"TCD","AUS",40
"CHL","AUS",14772
"CHN","AUS",228993
"HKG","AUS",46370
"MAC","AUS",1234
"COL","AUS",9284
"COG","AUS",809
"COK","AUS",4160
"CRI","AUS",254
"CIV","AUS",313
"HRV","AUS",31372
"CUB","AUS",489
"CUW","AUS",65
"CYP","AUS",9995
"CZE","AUS",6284
"PRK","AUS",99
"COD","AUS",2150
"DNK","AUS",5346
"DJI","AUS",99
"DMA","AUS",23
"DOM","AUS",90
"ECU","AUS",1397
"EGY","AUS",23477
"SLV","AUS",5565
"ERI","AUS",2308
"EST","AUS",1472
"SWZ","AUS",181
"ETH","AUS",6451
"FLK","AUS",60
"FRO","AUS",18
"FJI","AUS",34451
"FIN","AUS",3793
"FRA","AUS",19318
"GUF","AUS",12
"PYF","AUS",231
"GAB","AUS",29
"GMB","AUS",77
"GEO","AUS",296
"DEU","AUS",57076
"GHA","AUS",3264
"GIB","AUS",244
"GRC","AUS",57050
"GRD","AUS",75
"GLP","AUS",12
"GUM","AUS",66
"GTM","AUS",258
"GIN","AUS",487
"GNB","AUS",12
"GUY","AUS",312
"HTI","AUS",64
"HND","AUS",153
"HUN","AUS",10519
"ISL","AUS",333
"IND","AUS",246605
"IDN","AUS",33884
"IRN","AUS",32733
"IRQ","AUS",36813
"IRL","AUS",48787
"IMN","AUS",453
"ISR","AUS",6356
"ITA","AUS",103617
"JAM","AUS",696
"JPN","AUS",15726
"JOR","AUS",3660
"KAZ","AUS",722
"KEN","AUS",9876
