"i","j","fij"
"PAK","AFG",16188
"TJK","AFG",12396
"UZB","AFG",619
"CAN","ALB",218
"GRC","ALB",20447
"ITA","ALB",5119
"MKD","ALB",338
"TUR","ALB",767
"USA","ALB",1099
"FRA","DZA",239
"DEU","DZA",392
"IDN","DZA",293
"IRQ","DZA",3004
"ITA","DZA",345
"JOR","DZA",809
"KWT","DZA",313
"LBN","DZA",569
"LBY","DZA",835
"MYS","DZA",208
"RUS","DZA",355
"SAU","DZA",1147
"SOM","DZA",3947
"PSE","DZA",11181
"SDN","DZA",569
"SYR","DZA",1101
"GBR","DZA",352
"USA","DZA",440
"ESH","DZA",59130
"YEM","DZA",758
"CHN","ASM",136
"FJI","ASM",120
"NZL","ASM",234
"PHL","ASM",389
"KOR","ASM",116
"WSM","ASM",8230
"TKL","ASM",12
"TON","ASM",572
"USA","ASM",1488
"VNM","ASM",101
"ARG","AND",233
"AUS","AND",28
"BEL","AND",120
"CHL","AND",70
"DNK","AND",67
"FRA","AND",2301
"DEU","AND",189
"ITA","AND",164
"MAR","AND",259
"NLD","AND",123
"PHL","AND",185
"PRT","AND",5056
"ESP","AND",13432
"SWE","AND",26
"CHE","AND",41
"GBR","AND",512
"USA","AND",48
"URY","AND",50
"CPV","AGO",3109
"TCD","AGO",12
"COG","AGO",416
"CIV","AGO",9
"COD","AGO",12706
"GIN","AGO",129
"MOZ","AGO",84
"NAM","AGO",308
"PRT","AGO",3331
"RWA","AGO",304
"STP","AGO",2834
"ZAF","AGO",2176
"ZMB","AGO",130
"CAN","AIA",36
"DOM","AIA",201
"GUY","AIA",136
"JAM","AIA",172
"MSR","AIA",73
"KNA","AIA",272
"GBR","AIA",237
"USA","AIA",278
"VIR","AIA",226
"AIA","ATG",18
"ABW","ATG",2
"AUS","ATG",3
"BHS","ATG",1
"BRB","ATG",110
"BLZ","ATG",6
"BMU","ATG",5
"BES","ATG",6
"VGB","ATG",44
"CAN","ATG",198
"CHN","ATG",61
"CUB","ATG",10
"CUW","ATG",10
"DMA","ATG",2336
"DOM","ATG",979
"EGY","ATG",5
"ETH","ATG",43
"FRA","ATG",20
"GUF","ATG",2
"DEU","ATG",38
"GHA","ATG",14
"GRD","ATG",75
"GLP","ATG",35
"GUY","ATG",3150
"HTI","ATG",15
"HND","ATG",3
"IND","ATG",36
"ITA","ATG",32
"JAM","ATG",2339
"JPN","ATG",10
"LBN","ATG",25
"MTQ","ATG",2
"MEX","ATG",2
"MSR","ATG",498
"NLD","ATG",8
"NZL","ATG",6
"NGA","ATG",20
"PAK","ATG",0
"PRI","ATG",24
"KNA","ATG",224
"LCA","ATG",338
"VCT","ATG",326
"SXM","ATG",10
"ZAF","ATG",22
"ESP","ATG",6
"SUR","ATG",22
"SYR","ATG",111
"TTO","ATG",328
"TCA","ATG",3
"GBR","ATG",446
"USA","ATG",1157
"VIR","ATG",323
"VEN","ATG",18
"AFG","ARG",12
"ALB","ARG",42
"DZA","ARG",63
"AND","ARG",0
"AGO","ARG",9
"ARM","ARG",432
"ABW","ARG",1
"AUS","ARG",203
"AUT","ARG",882
"BHR","ARG",7
"BRB","ARG",11
"BLR","ARG",261
"BEL","ARG",432
"BLZ","ARG",8
"BOL","ARG",146795
"BRA","ARG",21693
"BRN","ARG",0
"BGR","ARG",251
"BFA","ARG",15
"CPV","ARG",22
"KHM","ARG",11
"CAN","ARG",411
"CHL","ARG",102504
"CHN","ARG",4579
"HKG","ARG",0
"COL","ARG",1378
"COG","ARG",31
"CRI","ARG",88
"CIV","ARG",0
"HRV","ARG",775
"CUB","ARG",818
"CYP","ARG",39
"CZE","ARG",1716
"PRK","ARG",0
"DNK","ARG",200
"DMA","ARG",7
"DOM","ARG",798
"ECU","ARG",762
"EGY","ARG",165
"SLV","ARG",58
"EST","ARG",49
"ETH","ARG",28
"FJI","ARG",1
"FIN","ARG",76
"FRA","ARG",3279
"DEU","ARG",4784
"GIB","ARG",14
"GRC","ARG",816
"GRL","ARG",20
"GRD","ARG",17
"GTM","ARG",78
"GIN","ARG",1
"HTI","ARG",19
"HND","ARG",54
"HUN","ARG",703
"ISL","ARG",12
"IND","ARG",83
"IDN","ARG",23
"IRN","ARG",102
"IRQ","ARG",33
"IRL","ARG",47
"ISR","ARG",432
"ITA","ARG",93237
"JAM","ARG",0
"JPN","ARG",2153
"JOR","ARG",40
"KEN","ARG",3
"LAO","ARG",213
"LVA","ARG",123
"LBN","ARG",600
"LBY","ARG",30
"LIE","ARG",42
"LTU","ARG",379
"LUX","ARG",108
"MDG","ARG",9
"MYS","ARG",4
"MLT","ARG",3
"MEX","ARG",1114
"FSM","ARG",7
"MCO","ARG",15
"MAR","ARG",191
"MOZ","ARG",17
"MMR","ARG",0
"NAM","ARG",0
"NLD","ARG",272
"NZL","ARG",8
"NIC","ARG",70
"NER","ARG",0
"NGA","ARG",46
"MKD","ARG",1279
"NOR","ARG",21
"PAK","ARG",0
"PAN","ARG",110
"PRY","ARG",252327
"PER","ARG",71063
"PHL","ARG",60
"POL","ARG",5634
"PRT","ARG",3329
"PRI","ARG",66
"KOR","ARG",3696
"MDA","ARG",392
"ROU","ARG",919
"RUS","ARG",1587
"SMR","ARG",4
"SAU","ARG",46
"SGP","ARG",3
"SVN","ARG",644
"SOM","ARG",0
"ZAF","ARG",103
"ESP","ARG",60796
"LKA","ARG",0
"SDN","ARG",0
"SUR","ARG",8
"SWE","ARG",158
"CHE","ARG",599
"SYR","ARG",814
"THA","ARG",45
"TTO","ARG",18
"TUN","ARG",23
"TUR","ARG",500
"TUV","ARG",3
"UGA","ARG",1
"UKR","ARG",3121
"GBR","ARG",756
"TZA","ARG",0
"USA","ARG",3254
"URY","ARG",59271
"VUT","ARG",0
"VEN","ARG",1014
"VNM","ARG",3
"ZMB","ARG",0
"ZWE","ARG",3
"AZE","ARM",220473
"BLR","ARM",314
"GEO","ARM",19669
"DEU","ARM",264
"GRC","ARM",788
"IRN","ARM",3940
"IRQ","ARM",165
"KAZ","ARM",424
"LBN","ARM",480
"RUS","ARM",9437
"SYR","ARM",1342
"TUR","ARM",1012
"TKM","ARM",407
"UKR","ARM",1526
"UZB","ARM",602
"BES","ABW",118
"CHN","ABW",411
"COL","ABW",5116
"CUW","ABW",973
"DMA","ABW",78
"DOM","ABW",2621
"GRD","ABW",200
"GUY","ABW",144
"HTI","ABW",842
"IND","ABW",81
"JAM","ABW",488
"NLD","ABW",1964
"NIC","ABW",48
"PER","ABW",485
"PHL","ABW",408
"PRT","ABW",82
"VCT","ABW",87
"SXM","ABW",278
"SUR","ABW",671
"TUR","ABW",3
"USA","ABW",312
"VEN","ABW",1477
"AFG","AUS",8022
"ALB","AUS",1056
"DZA","AUS",519
"ASM","AUS",60
"AND","AUS",15
"AGO","AUS",221
"ATG","AUS",15
"ARG","AUS",6675
"ARM","AUS",582
"ABW","AUS",25
"AUT","AUS",9868
"AZE","AUS",174
"BHS","AUS",149
"BHR","AUS",477
"BGD","AUS",6215
"BRB","AUS",171
