"i","j","fij"
"PAK","AFG",348369
"TJK","AFG",15031
"UZB","AFG",751
"CAN","ALB",906
"GRC","ALB",31596
"ITA","ALB",8896
"MKD","ALB",534
"TUR","ALB",1961
"USA","ALB",2373
"FRA","DZA",530
"DEU","DZA",743
"IDN","DZA",1382
"IRQ","DZA",7256
"ITA","DZA",707
"JOR","DZA",2161
"KWT","DZA",1144
"LBN","DZA",1171
"LBY","DZA",2225
"MYS","DZA",838
"RUS","DZA",767
"SAU","DZA",3757
"SOM","DZA",11076
"PSE","DZA",30319
"SDN","DZA",1527
"SYR","DZA",2941
"GBR","DZA",764
"USA","DZA",1046
"ESH","DZA",158854
"YEM","DZA",2263
"CHN","ASM",598
"FJI","ASM",332
"NZL","ASM",724
"PHL","ASM",1115
"KOR","ASM",295
"WSM","ASM",15813
"TKL","ASM",20
"TON","ASM",1288
"USA","ASM",2548
"VNM","ASM",211
"ARG","AND",682
"AUS","AND",65
"BEL","AND",215
"CHL","AND",214
"DNK","AND",112
"FRA","AND",3890
"DEU","AND",339
"ITA","AND",458
"MAR","AND",470
"NLD","AND",244
"PHL","AND",425
"PRT","AND",10697
"ESP","AND",20577
"SWE","AND",49
"CHE","AND",80
"GBR","AND",1054
"USA","AND",105
"URY","AND",102
"CPV","AGO",8877
"TCD","AGO",31
"COG","AGO",1021
"CIV","AGO",46
"COD","AGO",77548
"GIN","AGO",324
"MOZ","AGO",240
"NAM","AGO",859
"PRT","AGO",6012
"RWA","AGO",1215
"STP","AGO",6601
"ZAF","AGO",6064
"ZMB","AGO",297
"CAN","AIA",57
"DOM","AIA",653
"GUY","AIA",382
"JAM","AIA",464
"MSR","AIA",285
"KNA","AIA",903
"GBR","AIA",418
"USA","AIA",454
"VIR","AIA",406
"AIA","ATG",39
"ABW","ATG",5
"AUS","ATG",7
"BHS","ATG",2
"BRB","ATG",302
"BLZ","ATG",14
"BMU","ATG",14
"BES","ATG",11
"VGB","ATG",98
"CAN","ATG",434
"CHN","ATG",134
"CUB","ATG",20
"CUW","ATG",19
"DMA","ATG",4745
"DOM","ATG",1784
"EGY","ATG",10
"ETH","ATG",90
"FRA","ATG",41
"GUF","ATG",5
"DEU","ATG",83
"GHA","ATG",31
"GRD","ATG",192
"GLP","ATG",76
"GUY","ATG",6472
"HTI","ATG",33
"HND","ATG",7
"IND","ATG",79
"ITA","ATG",72
"JAM","ATG",3990
"JPN","ATG",20
"LBN","ATG",55
"MTQ","ATG",5
"MEX","ATG",5
"MSR","ATG",1138
"NLD","ATG",16
"NZL","ATG",12
"NGA","ATG",40
"PAK","ATG",0
"PRI","ATG",53
"KNA","ATG",476
"LCA","ATG",676
"VCT","ATG",918
"SXM","ATG",23
"ZAF","ATG",45
"ESP","ATG",12
"SUR","ATG",45
"SYR","ATG",244
"TTO","ATG",720
"TCA","ATG",6
"GBR","ATG",994
"USA","ATG",2626
"VIR","ATG",711
"VEN","ATG",39
"AFG","ARG",9
"ALB","ARG",66
"DZA","ARG",104
"AND","ARG",1
"AGO","ARG",9
"ARM","ARG",561
"ABW","ARG",1
"AUS","ARG",275
"AUT","ARG",1022
"BHR","ARG",12
"BRB","ARG",7
"BLR","ARG",304
"BEL","ARG",537
"BLZ","ARG",6
"BOL","ARG",419048
"BRA","ARG",48792
"BRN","ARG",1
"BGR","ARG",295
"BFA","ARG",11
"CPV","ARG",24
"KHM","ARG",20
"CAN","ARG",530
"CHL","ARG",213119
"CHN","ARG",14397
"HKG","ARG",4
"COL","ARG",8640
"COG","ARG",42
"CRI","ARG",123
"CIV","ARG",1
"HRV","ARG",986
"CUB","ARG",1106
"CYP","ARG",47
"CZE","ARG",1793
"PRK","ARG",14
"DNK","ARG",245
"DMA","ARG",4
"DOM","ARG",684
"ECU","ARG",955
"EGY","ARG",238
"SLV","ARG",73
"EST","ARG",49
