"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";10596;25;11099;22;21695;-503;-0,0231850656833372
"2";"AFG";6823350;64;50671;3;6874021;6772679;0,985257246086388
"3";"AGO";824942;54;27759;13;852701;797183;0,934891597406359
"4";"AIA";2047;17;1902;9;3949;145;0,0367181564953153
"5";"ALB";180284;49;58703;6;238987;121581;0,508734784737245
"6";"AND";3792;20;38137;18;41929;-34345;-0,819122802833361
"7";"ARE";79545;48;1287556;33;1367101;-1208011;-0,883629665986639
"8";"ARG";430169;73;1565392;132;1995561;-1135223;-0,568874116100686
"9";"ARM";899649;56;564662;14;1464311;334987;0,2287676593292
"10";"ASM";2041;7;20486;10;22527;-18445;-0,818795223509566
"11";"ATG";21753;36;11204;53;32957;10549;0,320083745486543
"12";"AUS";303696;106;3948318;212;4252014;-3644622;-0,857151928474365
"13";"AUT";506088;70;793239;193;1299327;-287151;-0,220999794509004
"14";"AZE";1634081;47;357078;16;1991159;1277003;0,641336528122566
"15";"BDI";337118;40;273491;7;610609;63627;0,104202525675187
"16";"BEL";365360;78;1254663;170;1620023;-889303;-0,54894467547683
"17";"BEN";234314;44;69038;10;303352;165276;0,544832405917878
"18";"BES";3206;9;37933;45;41139;-34727;-0,844138165730815
"19";"BFA";1021332;35;326879;8;1348211;694453;0,515092222211508
"20";"BGD";5451831;73;741548;17;6193379;4710283;0,760535242554993
"21";"BGR";613093;62;19077;185;632170;594016;0,939645981302498
"22";"BHR";12820;41;170701;33;183521;-157881;-0,860288468349671
"23";"BHS";25182;41;25319;75;50501;-137;-0,00271281756796895
"24";"BIH";861766;45;54542;13;916308;807224;0,880952692762695
"25";"BLR";1767606;55;1248782;58;3016388;518824;0,172001745133584
"26";"BLZ";36117;35;29314;15;65431;6803;0,103972123305467
"27";"BMU";71702;26;15030;35;86732;56672;0,653415117834248
"28";"BOL";224693;47;72706;180;297399;151987;0,511054173013359
"29";"BRA";500392;85;770323;60;1270715;-269931;-0,212424501166666
