"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";11037;25;26897;22;37934;-15860;-0,418094585332419
"2";"AFG";4606374;65;60918;3;4667292;4545456;0,973895783679273
"3";"AGO";913314;55;38485;13;951799;874829;0,919132085660943
"4";"AIA";3094;17;2998;9;6092;96;0,0157583716349311
"5";"ALB";824413;50;68202;6;892615;756211;0,847186076864046
"6";"AND";5624;22;41238;18;46862;-35614;-0,759976100038411
"7";"ARE";111123;49;2378173;33;2489296;-2267050;-0,910719335908626
"8";"ARG";555587;74;1459713;132;2015300;-904126;-0,448630973056121
"9";"ARM";876470;57;620651;15;1497121;255819;0,170873964095087
"10";"ASM";3186;7;24115;10;27301;-20929;-0,766601955972309
"11";"ATG";33847;36;22746;53;56593;11101;0,196155001501953
"12";"AUS";385120;106;4335690;212;4720810;-3950570;-0,836841558969753
"13";"AUT";478831;71;996547;193;1475378;-517716;-0,350903971727923
"14";"AZE";1628482;48;325050;16;1953532;1303432;0,667218146413778
"15";"BDI";758674;41;111921;7;870595;646753;0,742886187033006
"16";"BEL";400064;79;1175703;170;1575767;-775639;-0,492229498396654
"17";"BEN";328047;46;121139;10;449186;206908;0,46062878184093
"18";"BES";4395;9;44592;45;48987;-40197;-0,820564639598261
"19";"BFA";1279415;36;485979;8;1765394;793436;0,449438482287807
"20";"BGD";5442722;74;859424;17;6302146;4583298;0,727259888933071
"21";"BGR";688832;64;41598;185;730430;647234;0,886099968511699
"22";"BHR";47738;42;232683;33;280421;-184945;-0,659526212373538
"23";"BHS";34441;41;36041;75;70482;-1600;-0,0227008314179507
"24";"BIH";1496702;45;81959;13;1578661;1414743;0,896166434719044
"25";"BLR";1685652;55;1123275;58;2808927;562377;0,200210614230986
"26";"BLZ";48213;36;35321;15;83534;12892;0,154332367658678
"27";"BMU";14084;26;16930;35;31014;-2846;-0,0917650093506159
"28";"BOL";344713;47;91453;180;436166;253260;0,580650486282746
"29";"BRA";970453;85;657613;60;1628066;312840;0,192154372120049
"30";"BRB";95453;44;21831;14;117284;73622;0,627724156747724
"31";"BRN";45242;25;95333;19;140575;-50091;-0,356329361550774
"32";"BTN";120187;24;29673;24;149860;90514;0,60399039103163
"33";"BWA";26688;30;48400;33;75088;-21712;-0,289154059237162
"34";"CAF";55418;33;87922;25;143340;-32504;-0,226761545974606
"35";"CAN";1148499;124;5504699;200;6653198;-4356200;-0,654752797075932
