"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";9827;27;19198;22;29025;-9371;-0,322859603789836
"2";"AFG";2374621;68;178417;3;2553038;2196204;0,86023161425721
"3";"AGO";325841;57;56877;13;382718;268964;0,702773321348878
"4";"AIA";1230;19;1889;9;3119;-659;-0,211285668483488
"5";"ALB";559272;54;22493;6;581765;536779;0,922673244351241
"6";"AND";4523;25;19190;18;23713;-14667;-0,618521486104668
"7";"ARE";67864;52;2007055;33;2074919;-1939191;-0,934586362166427
"8";"ARG";484164;77;1103136;132;1587300;-618972;-0,38995274995275
"9";"ARM";438215;59;101995;15;540210;336220;0,622387590011292
"10";"ASM";972;8;11228;10;12200;-10256;-0,840655737704918
"11";"ATG";28607;40;15356;53;43963;13251;0,301412551463731
"12";"AUS";275599;109;3339585;212;3615184;-3063986;-0,84753251840017
"13";"AUT";291892;74;775904;193;1067796;-484012;-0,453281338382987
"14";"AZE";525861;49;136408;16;662269;389453;0,588058628744513
"15";"BDI";233504;43;133842;7;367346;99662;0,2713028044405
"16";"BEL";281603;81;852393;170;1133996;-570790;-0,503343927139073
"17";"BEN";293851;48;175337;10;469188;118514;0,252593842979786
"18";"BES";6245;11;6443;45;12688;-198;-0,0156052963430013
"19";"BFA";669497;37;346007;8;1015504;323490;0,318551182467031
"20";"BGD";2521072;77;540151;17;3061223;1980921;0,647101174922572
"21";"BGR";671397;67;63572;185;734969;607825;0,82700766971124
"22";"BHR";27698;45;191857;33;219555;-164159;-0,747689644963677
"23";"BHS";24947;44;28815;75;53762;-3868;-0,071946728172315
"24";"BIH";833740;49;19656;13;853396;814084;0,953934632925394
"25";"BLR";847504;56;586846;58;1434350;260658;0,181725520270506
"26";"BLZ";36584;40;26464;15;63048;10120;0,160512625301358
"27";"BMU";8355;27;9272;35;17627;-917;-0,0520224655358257
"28";"BOL";435400;49;66396;180;501796;369004;0,73536656330461
"29";"BRA";879881;86;325736;158;1205617;554145;0,459636020394537
"30";"BRB";55644;49;11684;21;67328;43960;0,652923003802281
"31";"BRN";18671;26;44107;19;62778;-25436;-0,405173786995444
"32";"BTN";23242;25;7080;24;30322;16162;0,533012334278742
"33";"BWA";31771;32;40427;33;72198;-8656;-0,119892517798277
"34";"CAF";337872;39;27869;25;365741;310003;0,847602538408327
"35";"CAN";793972;128;3893501;201;4687473;-3099529;-0,661236662056507
"36";"CHE";354092;86;1162870;179;1516962;-808778;-0,533156400753611
"37";"CHL";327738;65;338283;210;666021;-10545;-0,0158328340998257
"38";"CHN";5439400;143;307463;20;5746863;5131937;0,892997971241006
"39";"CIV";535078;54;1069699;16;1604777;-534621;-0,333143483487114
"40";"CMR";178357;55;247119;22;425476;-68762;-0,161611935808365
"41";"COD";776767;67;398479;8;1175246;378288;0,32187984473038
"42";"COG";112378;51;172616;21;284994;-60238;-0,21136585331621
"43";"COK";10868;9;1452;10;12320;9416;0,764285714285714
"44";"COL";1469359;65;64658;91;1534017;1404701;0,915701064590549
"45";"COM";59442;23;5828;5;65270;53614;0,821418722230734
"46";"CPV";95147;38;6603;35;101750;88544;0,870211302211302
"47";"CRI";79804;51;207046;153;286850;-127242;-0,443583754575562
"48";"CUB";804364;74;2573;36;806937;801791;0,993622798310153
"49";"CUW";36152;15;21869;43;58021;14283;0,24616949035694
"50";"CYM";944;11;12744;57;13688;-11800;-0,862068965517241
"51";"CYP";97660;45;106399;154;204059;-8739;-0,042825849386697
"52";"CZE";475078;60;177226;191;652304;297852;0,456615320464078
"53";"DEU";2007368;124;5137474;136;7144842;-3130106;-0,438093102688625
"54";"DJI";8370;25;50296;3;58666;-41926;-0,714655848361913
"55";"DMA";42816;51;3101;33;45917;39715;0,864930200143738
"56";"DNK";127554;74;304445;198;431999;-176891;-0,409470855256609
"57";"DOM";847597;66;192137;98;1039734;655460;0,630411239797871
"58";"DZA";851609;74;108916;20;960525;742693;0,773215689336561
"59";"ECU";592945;51;153860;85;746805;439085;0,587951339372393
"60";"EGY";1126362;85;138468;133;1264830;987894;0,781048836602547
"61";"ERI";279163;48;6027;21;285190;273136;0,957733440863985
"62";"ESH";88794;11;2036;7;90830;86758;0,955168997027414
"63";"ESP";674783;89;3000096;173;3674879;-2325313;-0,632759064992344
"64";"EST";107863;51;114626;147;222489;-6763;-0,0303970083914261
"65";"ETH";367236;66;527435;10;894671;-160199;-0,179059117820964
"66";"FIN";176236;64;154374;181;330610;21862;0,0661262514745471
"67";"FJI";108907;42;5510;14;114417;103397;0,903685641119764
"68";"FLK";837;5;670;7;1507;167;0,110816191108162
"69";"FRA";1101419;138;4067759;206;5169178;-2966340;-0,573851393780597
"70";"FRO";8411;11;2548;30;10959;5863;0,534994068801898
"71";"FSM";10321;14;434;12;10755;9887;0,919293351929335
