"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";4765;25;8380;22;13145;-3615;-0,275009509319133
"2";"AFG";2086908;64;31491;3;2118399;2055417;0,970269056962357
"3";"AGO";344806;54;17438;13;362244;327368;0,903722352889213
"4";"AIA";1329;17;1302;9;2631;27;0,0102622576966933
"5";"ALB";282009;49;29888;6;311897;252121;0,808346986344851
"6";"AND";1969;21;21008;18;22977;-19039;-0,828611219915568
"7";"ARE";57444;48;1285139;33;1342583;-1227695;-0,914427636876081
"8";"ARG";230277;73;715885;132;946162;-485608;-0,513239804600058
"9";"ARM";456436;56;268207;14;724643;188229;0,259754113404808
"10";"ASM";1365;7;11629;10;12994;-10264;-0,789903032168693
"11";"ATG";12511;36;7771;53;20282;4740;0,233704762843901
"12";"AUS";158928;106;2080189;212;2239117;-1921261;-0,858044041468132
"13";"AUT";228363;70;423302;193;651665;-194939;-0,299139895498454
"14";"AZE";843133;47;147928;16;991061;695205;0,701475489399744
"15";"BDI";277433;40;104307;7;381740;173126;0,45351810132551
"16";"BEL";162039;78;640689;170;802728;-478650;-0,596279187969026
"17";"BEN";148769;45;50555;10;199324;98214;0,492735445806827
"18";"BES";1866;9;18316;45;20182;-16450;-0,815082747002279
"19";"BFA";681371;35;209111;8;890482;472260;0,530341994560249
"20";"BGD";3162339;73;416300;17;3578639;2746039;0,767341718457771
"21";"BGR";313040;63;12790;185;325830;300250;0,921492802995427
"22";"BHR";13255;41;141686;33;154941;-128431;-0,8289026145436
"23";"BHS";12642;41;16135;75;28777;-3493;-0,121381658963756
"24";"BIH";668725;45;32578;13;701303;636147;0,907092939856239
"25";"BLR";780223;55;543128;58;1323351;237095;0,179162595562326
"26";"BLZ";17649;35;16857;15;34506;792;0,0229525299947835
"27";"BMU";20713;26;7739;35;28452;12974;0,455996063545621
"28";"BOL";144466;47;42251;180;186717;102215;0,547432745813182
"29";"BRA";334246;85;381025;60;715271;-46779;-0,065400386706577
"30";"BRB";42518;44;8285;14;50803;34233;0,673838159163829
"31";"BRN";21035;25;47342;19;68377;-26307;-0,384734632990625
"32";"BTN";59855;23;21142;24;80997;38713;0,477955973678037
"33";"BWA";15687;29;20633;33;36320;-4946;-0,136178414096916
"34";"CAF";25038;33;39896;25;64934;-14858;-0,228816952598023
"35";"CAN";396508;124;2352947;200;2749455;-1956439;-0,711573384543482
"36";"CHE";153276;82;675402;179;828678;-522126;-0,630071028795262
