"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";6182;25;14908;22;21090;-8726;-0,413750592697961
"2";"AFG";1978970;65;26535;3;2005505;1952435;0,973537837103373
"3";"AGO";455378;55;18779;13;474157;436599;0,920789949320584
"4";"AIA";1508;17;1423;9;2931;85;0,0290003411804845
"5";"ALB";369654;50;35887;6;405541;333767;0,823016661693885
"6";"AND";2948;22;19622;18;22570;-16674;-0,738768276473195
"7";"ARE";44869;49;660567;33;705436;-615698;-0,872790728003674
"8";"ARG";287184;74;778492;132;1065676;-491308;-0,461029431084119
"9";"ARM";406781;57;366427;15;773208;40354;0,0521903549885671
"10";"ASM";1557;7;11621;10;13178;-10064;-0,763697070875702
"11";"ATG";18519;36;12588;53;31107;5931;0,190664480663516
"12";"AUS";207763;106;2169253;212;2377016;-1961490;-0,825190070239325
"13";"AUT";255528;71;518229;193;773757;-262701;-0,339513568213276
"14";"AZE";782633;48;185146;16;967779;597487;0,617379587695125
"15";"BDI";370228;41;57491;7;427719;312737;0,731173971696371
"16";"BEL";226715;79;575679;170;802394;-348964;-0,434903551123264
"17";"BEN";153291;46;56315;10;209606;96976;0,462658511683826
"18";"BES";2234;9;24972;45;27206;-22738;-0,835771520988017
"19";"BFA";563482;36;252591;8;816073;310891;0,380959791587272
"20";"BGD";2249075;74;411453;17;2660528;1837622;0,690698237342362
"21";"BGR";362242;64;24067;185;386309;338175;0,875400262484177
"22";"BHR";23154;42;70922;33;94076;-47768;-0,50775968366002
"23";"BHS";19638;41;16835;75;36473;2803;0,0768513695062101
"24";"BIH";764686;45;42719;13;807405;721967;0,894181978065531
"25";"BLR";949783;55;608895;58;1558678;340888;0,218703285733166
"26";"BLZ";27790;36;17365;15;45155;10425;0,230871442808105
"27";"BMU";7119;26;8681;35;15800;-1562;-0,0988607594936709
"28";"BOL";169988;47;44377;180;214365;125611;0,585967858559
"29";"BRA";547772;85;306352;60;854124;241420;0,282652167600957
"30";"BRB";50321;44;12670;14;62991;37651;0,597720309250528
"31";"BRN";18056;25;42065;19;60121;-24009;-0,399344654945859
