"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";7726;27;15298;22;23024;-7572;-0,328874218207088
"2";"AFG";2602578;68;185734;3;2788312;2416844;0,866776745213592
"3";"AGO";318825;57;52258;13;371083;266567;0,718348725217808
"4";"AIA";1335;19;2133;9;3468;-798;-0,230103806228374
"5";"ALB";569828;54;23773;6;593601;546055;0,919902426040387
"6";"AND";4200;25;20588;18;24788;-16388;-0,661126351460384
"7";"ARE";76987;52;5745000;33;5821987;-5668013;-0,973553015491103
"8";"ARG";462721;77;939009;132;1401730;-476288;-0,339785836073994
"9";"ARM";508778;59;69300;15;578078;439478;0,760239967616827
"10";"ASM";995;8;11716;10;12711;-10721;-0,843442687436079
"11";"ATG";23977;40;12332;53;36309;11645;0,320719380869757
"12";"AUS";254154;109;3300115;212;3554269;-3045961;-0,856986626504634
"13";"AUT";239616;74;716470;193;956086;-476854;-0,498756388023672
"14";"AZE";611961;49;125343;16;737304;486618;0,65999641938739
"15";"BDI";228549;43;129127;7;357676;99422;0,277966651382816
"16";"BEL";250912;81;822005;170;1072917;-571093;-0,532280689000174
"17";"BEN";341279;48;151959;10;493238;189320;0,383830929490429
"18";"BES";5398;11;5966;45;11364;-568;-0,049982400563182
"19";"BFA";848596;37;312335;8;1160931;536261;0,46192323230235
"20";"BGD";4786668;77;597983;17;5384651;4188685;0,777893497647294
"21";"BGR";484402;67;59767;185;544169;424635;0,780336623365168
"22";"BHR";30241;45;504516;33;534757;-474275;-0,886898161220891
"23";"BHS";18200;44;29483;75;47683;-11283;-0,236625212339828
"24";"BIH";772394;49;17965;13;790359;754429;0,954539645907746
"25";"BLR";624732;56;495748;58;1120480;128984;0,115114950735399
"26";"BLZ";26679;40;26831;15;53510;-152;-0,00284059054382358
"27";"BMU";8165;27;8814;35;16979;-649;-0,0382236880852818
"28";"BOL";390442;49;73115;180;463557;317327;0,684547962817949
"29";"BRA";651010;86;373780;158;1024790;277230;0,270523717054226
"30";"BRB";48068;49;8713;21;56781;39355;0,693101565664571
"31";"BRN";26992;26;57600;19;84592;-30608;-0,361830905995839
"32";"BTN";24755;25;40109;24;64864;-15354;-0,236710656142082
"33";"BWA";45674;32;56217;33;101891;-10543;-0,103473319527731
"34";"CAF";347976;39;30207;25;378183;317769;0,840251941520375
"35";"CAN";492909;128;3531358;201;4024267;-3038449;-0,755031661666584
"36";"CHE";301985;86;1108623;179;1410608;-806638;-0,571837108537595
"37";"CHL";292286;65;301441;210;593727;-9155;-0,0154195446728884
"38";"CHN";4724616;143;506324;20;5230940;4218292;0,806411849495502
"39";"CIV";520538;54;1329411;16;1849949;-808873;-0,437240702311253
"40";"CMR";173704;55;243486;22;417190;-69782;-0,167266713008461
"41";"COD";742463;67;390908;8;1133371;351555;0,310185279136311
"42";"COG";114378;51;209087;21;323465;-94709;-0,292795201953844
