"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";17553;27;34496;22;52049;-16943;-0,325520182904571
"2";"AFG";4977199;68;364151;3;5341350;4613048;0,863648328606064
"3";"AGO";644666;57;109135;13;753801;535531;0,710440819261317
"4";"AIA";2565;19;4022;9;6587;-1457;-0,221193259450433
"5";"ALB";1129100;54;46266;6;1175366;1082834;0,921273884049734
"6";"AND";8723;25;39778;18;48501;-31055;-0,640296076369559
"7";"ARE";144851;52;7752055;33;7896906;-7607204;-0,963314493043225
"8";"ARG";946885;77;2042145;132;2989030;-1095260;-0,366426566478088
"9";"ARM";946993;59;171295;15;1118288;775698;0,693647790193582
"10";"ASM";1967;8;22944;10;24911;-20977;-0,842077796957168
"11";"ATG";52584;40;27688;53;80272;24896;0,310145505282041
"12";"AUS";529753;109;6639700;212;7169453;-6109947;-0,852219409207369
"13";"AUT";531508;74;1492374;193;2023882;-960866;-0,474763844927718
"14";"AZE";1137822;49;261751;16;1399573;876071;0,625955916554549
"15";"BDI";462053;43;262969;7;725022;199084;0,2745902882947
"16";"BEL";532515;81;1674398;170;2206913;-1141883;-0,517411878039597
"17";"BEN";635130;48;327296;10;962426;307834;0,319852123695744
"18";"BES";11643;11;12409;45;24052;-766;-0,0318476633959754
"19";"BFA";1518093;37;658342;8;2176435;859751;0,39502718895809
"20";"BGD";7307740;77;1138134;17;8445874;6169606;0,730487572985342
"21";"BGR";1155799;67;123339;185;1279138;1032460;0,807152942059418
"22";"BHR";57939;45;696373;33;754312;-638434;-0,846379217087889
"23";"BHS";43147;44;58298;75;101445;-15151;-0,149351865542905
"24";"BIH";1606134;49;37621;13;1643755;1568513;0,95422553847745
"25";"BLR";1472236;56;1082594;58;2554830;389642;0,152511908815851
"26";"BLZ";63263;40;53295;15;116558;9968;0,0855196554505053
"27";"BMU";16520;27;18086;35;34606;-1566;-0,0452522683927643
"28";"BOL";825842;49;139511;180;965353;686331;0,710963761442705
"29";"BRA";1530891;86;699516;158;2230407;831375;0,37274587104506
"30";"BRB";103712;49;20397;21;124109;83315;0,671305062485396
"31";"BRN";45663;26;101707;19;147370;-56044;-0,380294496844677
"32";"BTN";47997;25;47189;24;95186;808;0,00848864328787847
"33";"BWA";77445;32;96644;33;174089;-19199;-0,110282671507103
"34";"CAF";685848;39;58076;25;743924;627772;0,843865771234696
"35";"CAN";1286881;128;7424859;201;8711740;-6137978;-0,704563956224589
"36";"CHE";656077;86;2271493;179;2927570;-1615416;-0,55179415009718
"37";"CHL";620024;65;639724;210;1259748;-19700;-0,0156380482445696
"38";"CHN";10164016;143;813787;20;10977803;9350229;0,851739551165201
"39";"CIV";1055616;54;2399110;16;3454726;-1343494;-0,388885833493018
"40";"CMR";352061;55;490605;22;842666;-138544;-0,16441152247747
"41";"COD";1519230;67;789387;8;2308617;729843;0,316138623253662
"42";"COG";226756;51;381703;21;608459;-154947;-0,254654791859435
"43";"COK";21561;9;2854;10;24415;18707;0,766209297562974
"44";"COL";2703845;65;138319;91;2842164;2565526;0,902666418968082
"45";"COM";116052;23;11204;5;127256;104848;0,823914000125731
"46";"CPV";172322;38;13416;35;185738;158906;0,855538446629123
"47";"CRI";139539;51;397749;153;537288;-258210;-0,480580247465047
"48";"CUB";1507725;74;4512;36;1512237;1503213;0,994032681385259
"49";"CUW";71468;15;37047;43;108515;34421;0,317200387043266
"50";"CYM";1760;11;26099;57;27859;-24339;-0,873649449011092
"51";"CYP";192426;45;189439;154;381865;2987;0,0078221360952169
"52";"CZE";836816;60;416454;191;1253270;420362;0,335412161784771
"53";"DEU";3756665;124;10118825;136;13875490;-6362160;-0,458517861351203
"54";"DJI";17079;25;105630;3;122709;-88551;-0,721634109967484
"55";"DMA";73856;51;6495;33;80351;67361;0,838334308222673
"56";"DNK";241942;74;595876;198;837818;-353934;-0,422447357301944
"57";"DOM";1456989;66;540821;98;1997810;916168;0,458586151836261
"58";"DZA";1838908;74;231471;20;2070379;1607437;0,776397461527575
"59";"ECU";1130997;51;316204;85;1447201;814793;0,56301301616016
"60";"EGY";3187827;85;336162;133;3523989;2851665;0,809215068491985
"61";"ERI";587393;48;13715;21;601108;573678;0,954367601163185
"62";"ESH";188053;11;4967;7;193020;183086;0,94853383069112
"63";"ESP";1237431;89;5876030;173;7113461;-4638599;-0,652087500022844
"64";"EST";195154;51;194628;147;389782;526;0,00134947226911453
"65";"ETH";781487;66;1089661;10;1871148;-308174;-0,16469782187192
"66";"FIN";288914;64;312614;181;601528;-23700;-0,0393996621936136
"67";"FJI";207986;42;11975;14;219961;196011;0,891117061660931
"68";"FLK";1454;5;1506;7;2960;-52;-0,0175675675675676
"69";"FRA";2135431;138;7874172;206;10009603;-5738741;-0,573323537407028
"70";"FRO";14777;11;5186;30;19963;9591;0,480438811801833
"71";"FSM";20634;14;960;12;21594;19674;0,91108641289247
"72";"GAB";43455;36;368751;34;412206;-325296;-0,789158818648928
"73";"GBR";4452024;146;8358278;205;12810302;-3906254;-0,304930672204293
"74";"GEO";841744;50;73673;46;915417;768071;0,83903947599837
"75";"GHA";905935;68;353230;43;1259165;552705;0,438945650490603
"76";"GIB";12679;17;8741;3;21420;3938;0,183846872082166
"77";"GIN";485597;51;116432;145;602029;369165;0,613201357409693
"78";"GLP";11397;16;93022;24;104419;-81625;-0,781706394430132
