i,Oi,count_Oi,Dj,count_Dj,Vol,Bal,Asy
THA,979976,"79",3634200,"49",4614176,-2654224,-0.575232500884232
TJK,579149,"46",273773,"35",852922,305376,0.358035084099132
TKL,2242,"6",464,"4",2706,1778,0.657058388765706
TKM,242863,"45",191050,"11",433913,51813,0.119408729399672
TLS,39202,"13",7268,"15",46470,31934,0.687196040456208
TON,63652,"26",1050,"5",64702,62602,0.967543507155884
TTO,400014,"55",52124,"16",452138,347890,0.769433226138922
TUN,831634,"60",46316,"17",877950,785318,0.894490574634091
TUR,3452507,"85",5739123,"110",9191630,-2286616,-0.248771545416863
TUV,3276,"19",130,"5",3406,3146,0.923664122137405
TZA,322834,"55",472335,"27",795169,-149501,-0.188011605080178
UGA,748489,"55",1731631,"47",2480120,-983142,-0.396409044723642
UKR,5978783,"76",4540781,"30",10519564,1438002,0.136697870748255
URY,371169,"57",75159,"17",446328,296010,0.663211808356186
USA,2907648,"162",48065741,"150",50973389,-45158093,-0.885915060503432
UZB,1986227,"54",1091677,"10",3077904,894550,0.290636095212846
VCT,67974,"40",4392,"15",72366,63582,0.878617030097007
VEN,2534976,"68",1375448,"113",3910424,1159528,0.296522320853186
VGB,5417,"21",17597,"21",23014,-12180,-0.529243069435996
VIR,4100,"19",55571,"20",59671,-51471,-0.862579812639306
VNM,2857438,"69",70549,"22",2927987,2786889,0.951810578393961
VUT,7346,"23",2315,"9",9661,5031,0.520753545181658
WLF,11820,"6",1011,"5",12831,10809,0.842412906242693
WSM,124266,"25",3665,"21",127931,120601,0.942703488599323
YEM,1248711,"51",350749,"12",1599460,897962,0.561415727808135
ZAF,863449,"83",3052965,"150",3916414,-2189516,-0.559061427111638
ZMB,317444,"51",150705,"29",468149,166739,0.356166519633706
ZWE,941690,"53",295959,"6",1237649,645731,0.521740008677743
