"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";6345;27;14557;22;20902;-8212;-0,392881064013013
"2";"AFG";2784052;67;41300;3;2825352;2742752;0,970764704716439
"3";"AGO";327846;56;28126;13;355972;299720;0,841976335217377
"4";"AIA";1220;19;1988;9;3208;-768;-0,239401496259352
"5";"ALB";582786;53;24119;6;606905;558667;0,920518038243218
"6";"AND";3864;24;26161;18;30025;-22297;-0,742614487926728
"7";"ARE";65902;52;5327194;33;5393096;-5261292;-0,975560605633573
"8";"ARG";462852;76;813232;132;1276084;-350380;-0,274574401058238
"9";"ARM";494349;58;74764;15;569113;419585;0,737261317172512
"10";"ASM";1098;8;11814;10;12912;-10716;-0,829925650557621
"11";"ATG";18705;39;11606;53;30311;7099;0,234205403978754
"12";"AUS";237233;108;2892221;212;3129454;-2654988;-0,848386971017948
"13";"AUT";233202;73;608918;193;842120;-375716;-0,44615494228851
"14";"AZE";621832;48;128255;16;750087;493577;0,658026335611736
"15";"BDI";144061;42;105835;7;249896;38226;0,152967634535967
"16";"BEL";219794;81;688259;170;908053;-468465;-0,515900503604966
"17";"BEN";298042;48;127090;10;425132;170952;0,40211510777829
"18";"BES";5273;11;5244;45;10517;29;0,00275744033469621
"19";"BFA";801820;37;298697;8;1100517;503123;0,457169675706963
"20";"BGD";4346730;76;577956;17;4924686;3768774;0,765282091081543
"21";"BGR";512252;66;33275;185;545527;478977;0,878007871287764
"22";"BHR";28058;44;464454;33;492512;-436396;-0,886061659411344
"23";"BHS";15393;43;27403;75;42796;-12010;-0,280633704084494
"24";"BIH";757830;48;18069;13;775899;739761;0,953424350334257
"25";"BLR";622804;56;499191;58;1121995;123613;0,110172505225068
"26";"BLZ";24344;39;22886;15;47230;1458;0,0308702096125344
"27";"BMU";7586;27;8686;35;16272;-1100;-0,0676007866273353
"28";"BOL";368772;48;62814;180;431586;305958;0,708915488454213
"29";"BRA";646236;86;316596;158;962832;329640;0,342365023181614
"30";"BRB";45125;48;8295;21;53420;36830;0,689442156495695
"31";"BRN";26186;26;56156;19;82342;-29970;-0,363969784557091
"32";"BTN";44205;24;36421;24;80626;7784;0,0965445389824622
"33";"BWA";28157;31;51539;33;79696;-23382;-0,29338988154989
"34";"CAF";120300;37;34820;25;155120;85480;0,551057246003094
"35";"CAN";486456;128;3234400;200;3720856;-2747944;-0,738524683567437
"36";"CHE";291642;85;936592;179;1228234;-644950;-0,525103522618654
"37";"CHL";270591;64;178111;210;448702;92480;0,206105611296584
"38";"CHN";4105860;143;427173;20;4533033;3678687;0,811528837314884
"39";"CIV";463781;54;1274771;16;1738552;-810990;-0,466474399385236
"40";"CMR";136673;54;155117;22;291790;-18444;-0,0632098426950889
"41";"COD";632651;66;204970;7;837621;427681;0,510590111756988
"42";"COG";93049;50;223367;21;316416;-130318;-0,41185654328479
"43";"COK";10066;9;1527;10;11593;8539;0,736565168636246
"44";"COL";1163939;64;65228;91;1229167;1098711;0,893866333866757
"45";"COM";54167;22;5361;5;59528;48806;0,819883080231152
"46";"CPV";70177;38;6582;35;76759;63595;0,828502195182324
"47";"CRI";56998;50;189031;153;246029;-132033;-0,536656247840702
"48";"CUB";617295;74;2453;36;619748;614842;0,992083879254148
"49";"CUW";52437;15;13934;43;66371;38503;0,580117822542978
"50";"CYM";653;11;12273;57;12926;-11620;-0,898963329723039
"51";"CYP";82161;45;83043;154;165204;-882;-0,00533885378078013
"52";"CZE";337293;60;236160;191;573453;101133;0,176357957844845
"53";"DEU";1734554;123;4792411;136;6526965;-3057857;-0,468496000821209
"54";"DJI";7194;24;49914;3;57108;-42720;-0,748056314351755
"55";"DMA";31348;50;3396;33;34744;27952;0,804513009440479
"56";"DNK";111814;73;242029;198;353843;-130215;-0,368002193063025
"57";"DOM";497213;65;234226;98;731439;262987;0,359547412702905
"58";"DZA";914618;73;111130;20;1025748;803488;0,783319099817889
"59";"ECU";556385;50;141480;85;697865;414905;0,594534759588172
"60";"EGY";1765924;84;171115;132;1937039;1594809;0,823323123592246
"61";"ERI";168238;47;7489;21;175727;160749;0,914765516966659
"62";"ESH";76149;10;2503;7;78652;73646;0,936352540304125
"63";"ESP";489494;89;3237128;173;3726622;-2747634;-0,73729881914506
"64";"EST";70824;51;87602;147;158426;-16778;-0,10590433388459
"65";"ETH";359614;65;285970;10;645584;73644;0,114073459069618
