"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";5854;25;6322;22;12176;-468;-0,0384362680683311
"2";"AFG";3111428;64;22072;3;3133500;3089356;0,985912238710707
"3";"AGO";419447;54;12588;13;432035;406859;0,941726943418936
"4";"AIA";978;17;873;9;1851;105;0,0567260940032415
"5";"ALB";70822;49;31240;6;102062;39582;0,387823087926946
"6";"AND";2023;20;17738;18;19761;-15715;-0,79525327665604
"7";"ARE";34846;48;366721;33;401567;-331875;-0,826449882584973
"8";"ARG";226584;73;814764;132;1041348;-588180;-0,564825591444935
"9";"ARM";462779;56;334860;14;797639;127919;0,16037204800668
"10";"ASM";992;7;9723;10;10715;-8731;-0,814839010732618
"11";"ATG";11936;36;5825;53;17761;6111;0,344068464613479
"12";"AUS";162957;106;1938744;212;2101701;-1775787;-0,844928465086137
"13";"AUT";271352;70;424952;193;696304;-153600;-0,220593304074083
"14";"AZE";866138;47;200902;16;1067040;665236;0,623440545808967
"15";"BDI";163218;40;139444;7;302662;23774;0,0785496692680284
"16";"BEL";208159;78;605268;170;813427;-397109;-0,488192548317182
"17";"BEN";107062;44;32747;10;139809;74315;0,531546610017953
"18";"BES";1579;9;20924;45;22503;-19345;-0,859663156023641
"19";"BFA";448037;35;170316;8;618353;277721;0,449130189390203
"20";"BGD";2288909;73;356914;17;2645823;1931995;0,730205686472602
"21";"BGR";312656;62;11049;185;323705;301607;0,931734140652755
"22";"BHR";6700;41;49451;33;56151;-42751;-0,761357767448487
"23";"BHS";14554;41;12256;75;26810;2298;0,0857142857142857
"24";"BIH";434396;45;28628;13;463024;405768;0,876343342893673
"25";"BLR";952057;55;676895;58;1628952;275162;0,16891964895221
"26";"BLZ";21023;35;13556;15;34579;7467;0,215940310593135
"27";"BMU";36999;26;7800;35;44799;29199;0,651777941471908
"28";"BOL";109247;47;35674;180;144921;73573;0,507676596214489
"29";"BRA";274022;85;359535;60;633557;-85513;-0,134972859584852
"30";"BRB";44776;44;11041;14;55817;33735;0,604385760610567
"31";"BRN";10718;24;30984;19;41702;-20266;-0,485971895832334
"32";"BTN";14540;23;3988;24;18528;10552;0,569516407599309
"33";"BWA";6818;29;10305;33;17123;-3487;-0,203644221222917
"34";"CAF";22155;33;26944;25;49099;-4789;-0,0975376280575979
"35";"CAN";631094;124;2220912;200;2852006;-1589818;-0,557438518712794
"36";"CHE";180702;82;609525;179;790227;-428823;-0,542657995740464
"37";"CHL";244595;62;52954;210;297549;191641;0,644065347220122
"38";"CHN";2034070;139;144802;20;2178872;1889268;0,867085354256698
"39";"CIV";180711;51;795126;16;975837;-614415;-0,62962871873069
"40";"CMR";55785;52;98345;4;154130;-42560;-0,276130539155259
"41";"COD";219309;60;343785;7;563094;-124476;-0,221057230231542
"42";"COG";44856;46;61442;21;106298;-16586;-0,156033039191706
"43";"COK";9111;9;1121;10;10232;7990;0,780883502736513
"44";"COL";551046;61;50764;91;601810;500282;0,83129559163191
"45";"COM";18021;21;6617;5;24638;11404;0,46286224531212
"46";"CPV";48685;37;3617;35;52302;45068;0,861687889564453
"47";"CRI";40452;48;103029;153;143481;-62577;-0,436134401070525
"48";"CUB";436549;69;14918;36;451467;421631;0,933913220678366
"49";"CYM";181;11;4693;57;4874;-4512;-0,925728354534263
"50";"CYP";83642;43;23181;154;106823;60461;0,565992342473063
"51";"CZE";146953;57;52989;191;199942;93964;0,469956287323324
"52";"DEU";1588365;121;2502038;136;4090403;-913673;-0,223369922230157
"53";"DJI";2418;23;54742;3;57160;-52324;-0,915395381385584
"54";"DMA";23129;47;985;33;24114;22144;0,918304719250228
"55";"DNK";110121;72;120778;198;230899;-10657;-0,0461543791874369
"56";"DOM";267523;62;108940;98;376463;158583;0,421244584461156
"57";"DZA";400394;70;117405;20;517799;282989;0,546522878568711
"58";"ECU";108362;48;40030;85;148392;68332;0,460483044908081
"59";"EGY";499236;81;77109;132;576345;422127;0,732420685526898
"60";"ERI";80985;45;5107;21;86092;75878;0,881359475909492
"61";"ESH";75584;9;1175;7;76759;74409;0,969384697559895
"62";"ESP";755206;86;428794;172;1184000;326412;0,275685810810811
"63";"EST";59586;50;210008;27;269594;-150422;-0,557957521309821
"64";"ETH";833652;60;534144;10;1367796;299508;0,218971250098699
"65";"FIN";148850;62;30486;181;179336;118364;0,660012490520587
"66";"FJI";46539;41;5675;14;52214;40864;0,782625349523116
"67";"FLK";119;5;355;7;474;-236;-0,49789029535865
"68";"FRA";643383;135;2897891;206;3541274;-2254508;-0,636637549085442
"69";"FRO";4531;10;1782;19;6313;2749;0,435450657373673
"70";"FSM";3779;13;533;12;4312;3246;0,75278293135436
"71";"GAB";7616;32;53824;34;61440;-46208;-0,752083333333333
"72";"GBR";1918065;140;1891110;205;3809175;26955;0,00707633542696253
"73";"GEO";472945;48;165034;19;637979;307911;0,482635008362344
"74";"GHA";183784;64;75762;43;259546;108022;0,416195972968183
"75";"GIB";6323;16;3648;3;9971;2675;0,268278006218032
"76";"GIN";151233;48;201249;31;352482;-50016;-0,14189660748634
"77";"GLP";3238;13;31153;24;34391;-27915;-0,811694920182606
"78";"GMB";15472;39;50543;7;66015;-35071;-0,531258047413467
"79";"GNB";27977;35;7340;11;35317;20637;0,584336155392587
"80";"GNQ";18468;23;1071;6;19539;17397;0,890373099953938
"81";"GRC";488860;63;288101;212;776961;200759;0,258390060762381
"82";"GRD";23645;34;1413;15;25058;22232;0,887221645781786
"83";"GRL";5736;15;2767;17;8503;2969;0,349170880865577
"84";"GTM";172430;49;151581;49;324011;20849;0,0643465808259596
"85";"GUF";1593;18;27250;16;28843;-25657;-0,889539923031585
"86";"GUM";682;10;29203;11;29885;-28521;-0,954358373766103
