"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";8654;27;15478;22;24132;-6824;-0,282778054036135
"2";"AFG";2728785;68;56110;3;2784895;2672675;0,959704046292589
"3";"AGO";325565;57;91291;13;416856;234274;0,56200222618842
"4";"AIA";1409;19;2215;9;3624;-806;-0,222406181015453
"5";"ALB";619182;54;22462;6;641644;596720;0,929986098210222
"6";"AND";4326;25;22121;18;26447;-17795;-0,672855144250766
"7";"ARE";86738;52;6170133;33;6256871;-6083395;-0,972274320503012
"8";"ARG";490127;77;997632;132;1487759;-507505;-0,341120436844946
"9";"ARM";517302;59;69815;15;587117;447487;0,762176874456028
"10";"ASM";912;8;11728;10;12640;-10816;-0,855696202531646
"11";"ATG";24957;40;12826;53;37783;12131;0,321070322631871
"12";"AUS";277461;109;3690797;212;3968258;-3413336;-0,860159798077645
"13";"AUT";268094;74;873536;193;1141630;-605442;-0,530331193118611
"14";"AZE";622051;49;120414;16;742465;501637;0,675637235425239
"15";"BDI";306332;43;143029;7;449361;163303;0,363411600027595
"16";"BEL";277126;81;928369;170;1205495;-651243;-0,540228702732073
"17";"BEN";358733;48;162156;10;520889;196577;0,377387504823484
"18";"BES";5963;11;7109;45;13072;-1146;-0,0876682986536108
"19";"BFA";884065;37;318116;8;1202181;565949;0,470768544836426
"20";"BGD";5216213;77;1025820;17;6242033;4190393;0,671318623275462
"21";"BGR";666516;67;81403;185;747919;585113;0,782321347632564
"22";"BHR";24221;45;531045;33;555266;-506824;-0,912758929954292
"23";"BHS";19382;44;31292;75;50674;-11910;-0,235031771717251
"24";"BIH";801762;49;16615;13;818377;785147;0,959395242046147
"25";"BLR";629785;56;489560;58;1119345;140225;0,125274155867941
"26";"BLZ";28354;40;29444;15;57798;-1090;-0,0188587840409703
"27";"BMU";8868;27;8908;35;17776;-40;-0,00225022502250225
"28";"BOL";416061;49;79813;180;495874;336248;0,678091611982076
"29";"BRA";737992;86;420941;158;1158933;317051;0,273571466167587
"30";"BRB";52107;49;8794;21;60901;43313;0,711203428515131
"31";"BRN";27612;26;62032;19;89644;-34420;-0,383963232341261
"32";"BTN";25248;25;41803;24;67051;-16555;-0,246901612205635
"33";"BWA";51059;32;60208;33;111267;-9149;-0,0822256374306848
"34";"CAF";385710;39;33596;25;419306;352114;0,839754260611582
"35";"CAN";510314;128;3784252;201;4294566;-3273938;-0,762344320706679
"36";"CHE";322973;86;1181162;179;1504135;-858189;-0,570553175080694
"37";"CHL";305869;65;442929;210;748798;-137060;-0,183040018803469
"38";"CHN";4970636;143;533675;20;5504311;4436961;0,806088355109295
"39";"CIV";551589;54;1373129;16;1924718;-821540;-0,426836554757632
"40";"CMR";188962;55;243186;22;432148;-54224;-0,125475531530864
"41";"COD";833029;67;454561;8;1287590;378468;0,29393518123005
"42";"COG";120947;51;215419;21;336366;-94472;-0,280860729086769
"43";"COK";11115;9;1407;10;12522;9708;0,775275515093436
"44";"COL";1308010;65;574986;91;1882996;733024;0,389286010166777
"45";"COM";58787;23;5355;5;64142;53432;0,83302672196065
"46";"CPV";83574;38;7153;35;90727;76421;0,842318163281052
"47";"CRI";63755;51;194866;153;258621;-131111;-0,506961924979023
"48";"CUB";769052;74;1768;36;770820;767284;0,995412677408474
"49";"CUW";40522;15;16497;43;57019;24025;0,421350777810905
"50";"CYM";902;11;14784;57;15686;-13882;-0,884992987377279
"51";"CYP";106278;45;84053;154;190331;22225;0,116770258129259
"52";"CZE";402492;60;293245;191;695737;109247;0,157023415457278
"53";"DEU";1870506;124;6817652;136;8688158;-4947146;-0,56941252679797
"54";"DJI";9491;25;56807;3;66298;-47316;-0,713686687381218
"55";"DMA";32854;51;3464;33;36318;29390;0,809240596949171
"56";"DNK";120724;74;357366;198;478090;-236642;-0,494973749712397
"57";"DOM";643958;66;360341;98;1004299;283617;0,282402949719157
"58";"DZA";1041695;74;127469;20;1169164;914226;0,781948469162581
"59";"ECU";557747;51;159758;85;717505;397989;0,554684636343998
"60";"EGY";2295425;85;258468;133;2553893;2036957;0,797589014105133
"61";"ERI";400950;48;7767;21;408717;393183;0,961993261841323
"62";"ESH";103236;11;3047;7;106283;100189;0,942662514230874
"63";"ESP";648799;89;2905566;173;3554365;-2256767;-0,634928320529827
"64";"EST";93795;51;80594;147;174389;13201;0,0756985819059688
"65";"ETH";463581;66;625484;10;1089065;-161903;-0,148662384706147
"66";"FIN";112375;64;195143;181;307518;-82768;-0,269148472609733
"67";"FJI";105570;42;6601;14;112171;98969;0,882304695509534
"68";"FLK";689;5;1013;7;1702;-324;-0,190364277320799
"69";"FRA";1122781;138;4019290;206;5142071;-2896509;-0,563296189414732
"70";"FRO";5921;11;3089;30;9010;2832;0,314317425083241
"71";"FSM";10836;14;538;12;11374;10298;0,905398276771584
"72";"GAB";22351;36;257135;34;279486;-234784;-0,840056389228799
"73";"GBR";2395016;146;4550845;205;6945861;-2155829;-0,31037606424891
"74";"GEO";425131;50;33387;46;458518;391744;0,854369948398972
"75";"GHA";510404;68;218246;43;728650;292158;0,400957935908873
