"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";7279;26;16887;22;24166;-9608;-0,397583381610527
"2";"AFG";1751857;65;29203;3;1781060;1722654;0,967207168764668
"3";"AGO";363192;55;25548;13;388740;337644;0,868559962957246
"4";"AIA";1500;18;1631;9;3131;-131;-0,0418396678377515
"5";"ALB";448750;50;27988;6;476738;420762;0,882585403303282
"6";"AND";3006;23;22904;18;25910;-19898;-0,767966036279429
"7";"ARE";47924;49;852289;33;900213;-804365;-0,893527420732649
"8";"ARG";409472;74;866504;132;1275976;-457032;-0,35818228556023
"9";"ARM";411637;58;260843;15;672480;150794;0,22423566500119
"10";"ASM";1261;7;11398;10;12659;-10137;-0,800774152776681
"11";"ATG";20454;37;13525;53;33979;6929;0,203920068277466
"12";"AUS";228631;106;2428527;212;2657158;-2199896;-0,827913131247747
"13";"AUT";266465;71;592652;193;859117;-326187;-0,37967704049623
"14";"AZE";693868;48;165651;16;859519;528217;0,614549532936445
"15";"BDI";233094;42;80117;7;313211;152977;0,488415157832899
"16";"BEL";236023;79;593108;170;829131;-357085;-0,430673801847959
"17";"BEN";223434;48;102862;10;326296;120572;0,369517248142791
"18";"BES";2629;10;26599;45;29228;-23970;-0,820104009853565
"19";"BFA";601000;37;291748;8;892748;309252;0,346404584496409
"20";"BGD";2299433;75;474800;17;2774233;1824633;0,657707193303518
"21";"BGR";480418;64;33542;185;513960;446876;0,869476223830648
"22";"BHR";25110;43;110262;33;135372;-85152;-0,62902224980055
"23";"BHS";19751;42;21619;75;41370;-1868;-0,0451534928692289
"24";"BIH";772251;46;24386;13;796637;747865;0,938777636489392
"25";"BLR";897978;56;599896;58;1497874;298082;0,199003387467838
"26";"BLZ";29628;38;19834;15;49462;9794;0,198010593991347
"27";"BMU";7521;27;8926;35;16447;-1405;-0,0854259135404633
"28";"BOL";277877;47;50752;180;328629;227125;0,691128902196702
"29";"BRA";693636;85;288189;105;981825;405447;0,412952410052708
"30";"BRB";49382;46;11911;21;61293;37471;0,611342241365246
"31";"BRN";18300;26;42745;19;61045;-24445;-0,400442296666394
"32";"BTN";57793;24;6835;23;64628;50958;0,788481772606301
"33";"BWA";13473;30;31338;33;44811;-17865;-0,398674432616991
"34";"CAF";69887;35;32059;25;101946;37828;0,371059188197673
"35";"CAN";734497;126;3159474;200;3893971;-2424977;-0,622751684591385
"36";"CHE";267718;83;832735;179;1100453;-565017;-0,513440374100484
"37";"CHL";281938;62;144946;210;426884;136992;0,32091153568651
"38";"CHN";3789517;142;234030;20;4023547;3555487;0,883669806765026
"39";"CIV";355626;53;981392;16;1337018;-625766;-0,468031096066022
"40";"CMR";110560;53;108791;22;219351;1769;0,00806469995577864
"41";"COD";531320;63;254130;7;785450;277190;0,352905977465147
"42";"COG";85857;49;142464;21;228321;-56607;-0,247927260304571
"43";"COK";10033;9;1393;10;11426;8640;0,756170138281113
"44";"COL";1027127;62;51618;91;1078745;975509;0,904299904055175
"45";"COM";46312;22;6221;5;52533;40091;0,763158395675099
