"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";4742;25;4777;22;9519;-35;-0,00367685681269041
"2";"AFG";3711922;64;28599;3;3740521;3683323;0,984708547285258
"3";"AGO";405495;54;15171;13;420666;390324;0,927871518021423
"4";"AIA";1069;17;1029;9;2098;40;0,0190657769304099
"5";"ALB";109462;49;27463;6;136925;81999;0,598860690158846
"6";"AND";1769;20;20399;18;22168;-18630;-0,840400577408878
"7";"ARE";44699;48;920835;33;965534;-876136;-0,907410821369315
"8";"ARG";203585;73;750628;132;954213;-547043;-0,573292336197474
"9";"ARM";436870;56;229802;14;666672;207068;0,310599515203878
"10";"ASM";1049;7;10763;10;11812;-9714;-0,822384016254656
"11";"ATG";9817;36;5379;53;15196;4438;0,292050539615688
"12";"AUS";140739;106;2009574;212;2150313;-1868835;-0,869099056741972
"13";"AUT";234736;70;368287;193;603023;-133551;-0,221469164526063
"14";"AZE";767943;47;156176;16;924119;611767;0,662000240228802
"15";"BDI";173900;40;134047;7;307947;39853;0,129415126628933
"16";"BEL";157201;78;649395;170;806596;-492194;-0,610211307767457
"17";"BEN";127252;44;36291;10;163543;90961;0,556190115137915
"18";"BES";1627;9;17009;45;18636;-15382;-0,825391714960292
"19";"BFA";573295;35;156563;8;729858;416732;0,570976820148577
"20";"BGD";3162922;73;384634;17;3547556;2778288;0,783155501985029
"21";"BGR";300437;62;8028;185;308465;292409;0,947948713792489
"22";"BHR";6120;41;121250;33;127370;-115130;-0,903902017743582
"23";"BHS";10628;41;13063;75;23691;-2435;-0,10278164703896
"24";"BIH";427370;45;25914;13;453284;401456;0,885661086647665
"25";"BLR";815549;55;571887;58;1387436;243662;0,175620352938802
"26";"BLZ";15094;35;15758;15;30852;-664;-0,0215221055361079
"27";"BMU";34703;26;7230;35;41933;27473;0,65516419049436
"28";"BOL";115446;47;37032;180;152478;78414;0,514264352890253
"29";"BRA";226370;85;410788;60;637158;-184418;-0,289438412450287
"30";"BRB";40155;44;7411;14;47566;32744;0,688390867426313
"31";"BRN";15605;24;41416;19;57021;-25811;-0,452657792743024
"32";"BTN";13925;23;17994;24;31919;-4069;-0,127478931044206
"33";"BWA";19235;29;15524;33;34759;3711;0,106763715872148
"34";"CAF";24207;33;30363;25;54570;-6156;-0,11280923584387
"35";"CAN";367069;124;2106893;200;2473962;-1739824;-0,703254132440191
"36";"CHE";145574;82;591621;179;737195;-446047;-0,605059719612857
"37";"CHL";248431;62;54547;210;302978;193884;0,639927651512651
"38";"CHN";2197578;140;153598;20;2351176;2043980;0,869343681629959
"39";"CIV";185637;51;999832;16;1185469;-814195;-0,686812561104508
"40";"CMR";60068;52;114130;4;174198;-54062;-0,310347994810503
"41";"COD";217217;60;319221;7;536438;-102004;-0,190150585901819
"42";"COG";51516;46;60037;21;111553;-8521;-0,076385215995984
"43";"COK";8377;9;1390;10;9767;6987;0,715368076174875
"44";"COL";458889;61;52684;91;511573;406205;0,794031350364464
"45";"COM";22062;21;5943;5;28005;16119;0,575575790037493
"46";"CPV";42683;37;3527;35;46210;39156;0,847349058645315
"47";"CRI";29259;48;106271;153;135530;-77012;-0,568228436508522
"48";"CUB";399247;69;14669;36;413916;384578;0,929120884430657
"49";"CYM";192;11;4551;57;4743;-4359;-0,919038583175206
"50";"CYP";90736;43;20251;154;110987;70485;0,635074378080316
"51";"CZE";130307;57;57405;191;187712;72902;0,388371547903171
"52";"DEU";1341083;121;3099506;136;4440589;-1758423;-0,395988685284767
"53";"DJI";2890;23;60168;3;63058;-57278;-0,908338355165086
"54";"DMA";19308;47;1070;33;20378;18238;0,894984787515949
"55";"DNK";91640;72;114411;198;206051;-22771;-0,110511475314364
"56";"DOM";198693;62;181009;98;379702;17684;0,0465733654286783
"57";"DZA";521333;70;141218;20;662551;380115;0,573714325387781
"58";"ECU";105646;48;38406;85;144052;67240;0,466775886485436
"59";"EGY";822942;81;87215;132;910157;735727;0,808351745907574
"60";"ERI";89618;45;5659;21;95277;83959;0,881209525908666
"61";"ESH";92655;9;1405;7;94060;91250;0,970125451839252
"62";"ESP";683813;86;388779;173;1072592;295034;0,275066381252144
"63";"EST";54319;50;171347;27;225666;-117028;-0,518589419761949
"64";"ETH";856303;60;591813;10;1448116;264490;0,18264420806068
"65";"FIN";101915;62;30642;181;132557;71273;0,537678130917266
"66";"FJI";43627;41;5980;14;49607;37647;0,758904993246921
"67";"FLK";141;5;469;7;610;-328;-0,537704918032787
"68";"FRA";572512;135;2999376;206;3571888;-2426864;-0,679434517543663
"69";"FRO";2989;10;2358;23;5347;631;0,118010099121002
"70";"FSM";3935;13;709;12;4644;3226;0,694659776055125
"71";"GAB";7736;32;71000;34;78736;-63264;-0,803495224547856
"72";"GBR";1876268;140;1750535;205;3626803;125733;0,0346677225093285
"73";"GEO";446509;48;124150;19;570659;322359;0,564889014279982
"74";"GHA";187378;65;77953;43;265331;109425;0,412409405610351
"75";"GIB";5671;16;3790;3;9461;1881;0,19881619279146
"76";"GIN";201530;48;198737;31;400267;2793;0,00697784229027124
"77";"GLP";2590;13;30795;24;33385;-28205;-0,844840497229295
"78";"GMB";20808;39;64140;7;84948;-43332;-0,510100296652069
"79";"GNB";27432;35;7386;11;34818;20046;0,575736687920041
"80";"GNQ";17710;23;1143;6;18853;16567;0,878746088155731
"81";"GRC";533599;63;330038;212;863637;203561;0,235702036851131
"82";"GRD";19604;35;1380;15;20984;18224;0,868471216164697
"83";"GRL";3774;15;6455;17;10229;-2681;-0,26209795678952
"84";"GTM";175902;49;112588;49;288490;63314;0,219466879267912
"85";"GUF";1251;18;33108;16;34359;-31857;-0,927180651357723
"86";"GUM";694;10;37917;11;38611;-37223;-0,964051695112792
"87";"GUY";110794;51;1971;16;112765;108823;0,965042344699153
"88";"HKG";272012;39;1035069;29;1307081;-763057;-0,583787079760168
"89";"HND";66907;44;137475;42;204382;-70568;-0,345275024219354
"90";"HRV";214262;52;172409;71;386671;41853;0,108239304214694
"91";"HTI";295179;54;9866;21;305045;285313;0,935314461800718
"92";"HUN";192180;63;151481;159;343661;40699;0,118427752930941
"93";"IDN";952658;82;185926;19;1138584;766732;0,67340837391005
"94";"IMN";5098;5;15609;8;20707;-10511;-0,507606123533105
"95";"IND";3808569;125;3850642;36;7659211;-42073;-0,0054931245529076
"96";"IRL";413220;70;112093;204;525313;301127;0,573233481752784
"97";"IRN";362238;72;2456068;7;2818306;-2093830;-0,742939198227588
"98";"IRQ";854950;68;44600;22;899550;810350;0,900839308543161
"99";"ISL";8627;40;4248;158;12875;4379;0,340116504854369
"100";"ISR";139359;67;703104;57;842463;-563745;-0,669162918727588
"101";"ITA";1739405;106;642413;191;2381818;1096992;0,460569195463297
"102";"JAM";268189;60;8802;21;276991;259387;0,936445588484824
"103";"JEY";8755;5;28410;4;37165;-19655;-0,528857796313736
"104";"JOR";187416;65;585499;83;772915;-398083;-0,515041110600778
"105";"JPN";301529;101;533705;42;835234;-232176;-0,277977189625901
"106";"KAZ";1427482;56;1466367;18;2893849;-38885;-0,0134371212872544
"107";"KEN";123049;59;104529;13;227578;18520;0,0813786921407166
"108";"KGZ";252638;43;254535;23;507173;-1897;-0,00374034106705207
"109";"KHM";174750;41;16034;26;190784;158716;0,831914625964441
"110";"KIR";1937;16;826;7;2763;1111;0,40209916757148
"111";"KNA";9534;31;752;13;10286;8782;0,85378183939335
