"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";13056;26;30144;22;43200;-17088;-0,395555555555556
"2";"AFG";3898656;65;67045;3;3965701;3831611;0,966187566838751
"3";"AGO";716506;55;49070;13;765576;667436;0,871808938629215
"4";"AIA";3053;18;3451;9;6504;-398;-0,0611931119311193
"5";"ALB";966234;50;57570;6;1023804;908664;0,887537067641853
"6";"AND";5778;23;48526;18;54304;-42748;-0,787197996464349
"7";"ARE";105072;49;3183249;33;3288321;-3078177;-0,936093830255623
"8";"ARG";808409;74;1613729;132;2422138;-805320;-0,332483120284641
"9";"ARM";898086;58;439601;15;1337687;458485;0,342744603184452
"10";"ASM";2588;7;23552;10;26140;-20964;-0,801989288446825
"11";"ATG";37541;37;24408;53;61949;13133;0,211996965245605
"12";"AUS";430599;106;4822060;212;5252659;-4391461;-0,836045324853565
"13";"AUT";494587;71;1136270;193;1630857;-641683;-0,393463681978248
"14";"AZE";1446116;48;299730;16;1745846;1146386;0,65663638144487
"15";"BDI";619478;42;156940;7;776418;462538;0,595733226174561
"16";"BEL";439693;79;1194539;170;1634232;-754846;-0,461896474919106
"17";"BEN";504053;48;198838;10;702891;305215;0,434228066656139
"18";"BES";5162;10;47496;45;52658;-42334;-0,803942420904706
"19";"BFA";1367198;37;557720;8;1924918;809478;0,420525965261897
"20";"BGD";5786866;75;996782;17;6783648;4790084;0,706122133695616
"21";"BGR";906520;64;59498;185;966018;847022;0,876818030305853
"22";"BHR";52557;43;392112;33;444669;-339555;-0,763612934564811
"23";"BHS";34866;42;44923;75;79789;-10057;-0,126044943538583
"24";"BIH";1496969;46;46518;13;1543487;1450451;0,939723496213444
"25";"BLR";1581211;56;1106673;58;2687884;474538;0,176547053369863
"26";"BLZ";51891;38;40138;15;92029;11753;0,127709743667757
"27";"BMU";14921;27;17393;35;32314;-2472;-0,07649935012688
"28";"BOL";543783;47;105693;180;649476;438090;0,67452838903978
"29";"BRA";1220052;85;622082;105;1842134;597970;0,324607221841625
"30";"BRB";93504;46;20652;21;114156;72852;0,638179333543572
"31";"BRN";45284;26;97457;19;142741;-52173;-0,365508158132562
"32";"BTN";118031;24;37191;24;155222;80840;0,520802463568309
"33";"BWA";33296;30;77032;33;110328;-43736;-0,396417953737945
"34";"CAF";131396;35;67223;25;198619;64173;0,323095977726199
"35";"CAN";1190001;126;6071574;200;7261575;-4881573;-0,672247136468328
"36";"CHE";504258;83;1696818;179;2201076;-1192560;-0,541807734035535
"37";"CHL";542211;62;276360;210;818571;265851;0,324774515588752
"38";"CHN";7327438;142;548425;20;7875863;6779013;0,860732722242629
"39";"CIV";701796;53;2201917;16;2903713;-1500121;-0,516621649591402
"40";"CMR";221292;53;241660;22;462952;-20368;-0,0439959218234288
"41";"COD";1115397;63;493844;7;1609241;621553;0,386239848475151
"42";"COG";172360;49;311670;21;484030;-139310;-0,287812738879822
"43";"COK";19584;9;2902;10;22486;16682;0,741883838833052
"44";"COL";1887924;62;106966;91;1994890;1780958;0,892760001804611
"45";"COM";96158;22;11783;5;107941;84375;0,781677027264895
"46";"CPV";141879;38;11813;35;153692;130066;0,846276969523463
"47";"CRI";118673;49;197870;153;316543;-79197;-0,250193496618153
"48";"CUB";1162586;72;10205;36;1172791;1152381;0,982597069725126
"49";"CYM";1291;11;20607;57;21898;-19316;-0,882089688556033
"50";"CYP";154243;44;116207;154;270450;38036;0,14063967461638
"51";"CZE";607009;58;322540;191;929549;284469;0,306029052798723
"52";"DEU";3446260;121;9249168;136;12695428;-5802908;-0,457086440882497
"53";"DJI";12339;24;86580;3;98919;-74241;-0,750523155308889
"54";"DMA";64239;49;3958;33;68197;60281;0,883924512808481
"55";"DNK";225671;72;440383;198;666054;-214712;-0,322364252748276
"56";"DOM";1023442;63;371237;98;1394679;652205;0,467638072990272
"57";"DZA";1599882;72;190843;20;1790725;1409039;0,786853927878373
"58";"ECU";987059;49;152503;85;1139562;834556;0,732348042493519
"59";"EGY";1901661;81;262661;132;2164322;1639000;0,757281033044066
"60";"ERI";294519;46;12391;21;306910;282128;0,919253201264214
"61";"ESH";131091;10;3734;7;134825;127357;0,944609679213796
"62";"ESP";1113967;87;4102922;173;5216889;-2988955;-0,572938201291996
"63";"EST";150427;51;233186;27;383613;-82759;-0,215735650251686
"64";"ETH";522889;63;462542;10;985431;60347;0,0612391938146862
"65";"FIN";302908;63;190313;181;493221;112595;0,228285089239915
"66";"FJI";156671;41;10829;14;167500;145842;0,870698507462687
"67";"FLK";1099;5;1106;7;2205;-7;-0,00317460317460317
"68";"FRA";1725773;137;6737600;206;8463373;-5011827;-0,592178437604014
"69";"FRO";12547;10;4372;30;16919;8175;0,483184585377386
"70";"FSM";18347;13;997;12;19344;17350;0,89691894127378
"71";"GAB";41290;35;227690;34;268980;-186400;-0,692988326269611
"72";"GBR";4148316;143;5886598;205;10034914;-1738282;-0,173223407794028
"73";"GEO";888613;50;69511;46;958124;819102;0,854901870739069
"74";"GHA";665990;66;286975;43;952965;379015;0,39772184707728
"75";"GIB";9667;16;7492;3;17159;2175;0,126755638440469
"76";"GIN";405421;51;188224;29;593645;217197;0,365870174936199
"77";"GLP";9125;14;83926;24;93051;-74801;-0,803870995475599
"78";"GMB";61266;40;176630;7;237896;-115364;-0,484934593267646
"79";"GNB";83098;37;19654;11;102752;63444;0,617447835565245
"80";"GNQ";71834;26;5325;6;77159;66509;0,861973327803626
"81";"GRC";868029;65;1190707;212;2058736;-322678;-0,156735977803856
"82";"GRD";64748;36;4557;15;69305;60191;0,868494336627949
"83";"GRL";14735;15;6407;17;21142;8328;0,393907861129505
"84";"GTM";737106;50;57179;49;794285;679927;0,856023971244578
"85";"GUF";3808;18;82544;16;86352;-78736;-0,911802853437095
"86";"GUM";2541;10;72168;11;74709;-69627;-0,931976067140505
"87";"GUY";393980;52;9984;16;403964;383996;0,950569852759157
"88";"HKG";803530;39;2524034;29;3327564;-1720504;-0,517046103395757
"89";"HND";449303;45;27737;42;477040;421566;0,883712057689083
"90";"HRV";840203;53;516819;71;1357022;323384;0,238304168981785
"91";"HTI";972717;57;15163;21;987880;957554;0,969301939506823
"92";"HUN";468156;64;359080;159;827236;109076;0,131855963715312
"93";"IDN";2804569;85;258386;19;3062955;2546183;0,831283188946622
"94";"IMN";8501;5;39596;8;48097;-31095;-0,646506019086429
"95";"IND";9597951;127;5877921;36;15475872;3720030;0,240376115801423
"96";"IRL";771302;70;589046;204;1360348;182256;0,133977482232488
"97";"IRN";889941;74;2288550;7;3178491;-1398609;-0,440022954288686
"98";"IRQ";1446429;70;107373;22;1553802;1339056;0,861793201450378
"99";"ISL";28804;42;25492;161;54296;3312;0,0609989686164727
"100";"ISR";319756;68;1438993;57;1758749;-1119237;-0,636382451390164
"101";"ITA";2699529;107;3954770;191;6654299;-1255241;-0,188636098257683
"102";"JAM";906462;62;21721;21;928183;884741;0,953196729524243
"103";"JEY";14846;5;68807;4;83653;-53961;-0,645057559202898
"104";"JOR";434172;66;2320998;83;2755170;-1886826;-0,684831063056
"105";"JPN";722116;101;1945860;42;2667976;-1223744;-0,458678788714741
"106";"KAZ";3718750;57;2885521;18;6604271;833229;0,126165174021478
"107";"KEN";358521;60;712418;13;1070939;-353897;-0,330454862508509
"108";"KGZ";652862;44;302505;23;955367;350357;0,366725038650069
"109";"KHM";674465;43;109499;26;783964;564966;0,72065298916787
"110";"KIR";4021;17;2104;7;6125;1917;0,312979591836735
"111";"KNA";33923;33;3165;13;37088;30758;0,829324849007765
"112";"KOR";2039728;87;464045;28;2503773;1575683;0,629323425086859
"113";"KWT";126406;51;1267759;32;1394165;-1141353;-0,818664218367266
"114";"LAO";895859;38;16455;6;912314;879404;0,963926893591461
"115";"LBN";613614;88;754130;30;1367744;-140516;-0,102735599644378
"116";"LBR";350999;41;78219;25;429218;272780;0,635527866958049
"117";"LBY";101106;57;625212;86;726318;-524106;-0,721593021238631
"118";"LCA";47006;36;7874;59;54880;39132;0,713046647230321
"119";"LIE";2939;25;18533;47;21472;-15594;-0,726248137108793
"120";"LKA";1137286;71;37860;49;1175146;1099426;0,935565453143694
"121";"LSO";158995;25;3769;15;162764;155226;0,953687547614952
"122";"LTU";412612;52;195223;57;607835;217389;0,357644755566889
"123";"LUX";52903;43;150391;77;203294;-97488;-0,479541944179366
"124";"LVA";271170;49;376725;139;647895;-105555;-0,162919917579237
"125";"MAC";115392;13;262533;5;377925;-147141;-0,389339154594166
"126";"MAR";2473209;65;43587;18;2516796;2429622;0,965363104518602
"127";"MCO";19114;28;11149;2;30263;7965;0,263192677527013
"128";"MDA";715599;51;165766;19;881365;549833;0,623842562389022
"129";"MDG";148827;38;19070;4;167897;129757;0,772836917872267
"130";"MDV";1771;23;42763;22;44534;-40992;-0,92046526249607
"131";"MEX";10818079;67;710313;90;11528392;10107766;0,876771539343909
"132";"MHL";6654;11;2148;6;8802;4506;0,511929107021132
"133";"MKD";459289;46;126296;19;585585;332993;0,568650153265538
"134";"MLI";895610;54;187038;23;1082648;708572;0,654480495969142
"135";"MLT";100337;37;24291;83;124628;76046;0,610183907308149
"136";"MMR";1801951;45;72323;4;1874274;1729628;0,922825584733075
"137";"MNG";42378;36;10806;30;53184;31572;0,593637184115523
"138";"MNP";2735;8;36049;12;38784;-33314;-0,858962458745875
"139";"MOZ";663147;48;246135;16;909282;417012;0,458616798748903
"140";"MRT";102410;41;56084;35;158494;46326;0,29228866707888
"141";"MSR";15826;16;1028;10;16854;14798;0,878011154622048
"142";"MTQ";14551;15;55432;15;69983;-40881;-0,584156152208393
"143";"MUS";130695;33;18483;22;149178;112212;0,752202067328963
"144";"MWI";221368;35;173395;12;394763;47973;0,121523547039616
"145";"MYS";1380437;70;1763735;22;3144172;-383298;-0,121907452900159
"146";"MYT";6469;3;62089;3;68558;-55620;-0,8112838764258
"147";"NAM";65430;33;105102;83;170532;-39672;-0,232636689888115
"148";"NCL";5225;10;51014;16;56239;-45789;-0,81418588523978
"149";"NER";302041;47;114444;13;416485;187597;0,450429187125587
"150";"NGA";810687;89;870125;9;1680812;-59438;-0,0353626699476206
"151";"NIC";436780;48;33219;53;469999;403561;0,858642252430324
"152";"NIU";5298;7;445;7;5743;4853;0,845028730628591
"153";"NLD";799588;94;1731449;180;2531037;-931861;-0,368173598410454
"154";"NOR";175298;65;351024;168;526322;-175726;-0,333875460269569
"155";"NPL";1138625;55;644651;6;1783276;493974;0,277003671893751
"156";"NRU";1880;14;2075;10;3955;-195;-0,0493046776232617
"157";"NZL";556056;81;803572;62;1359628;-247516;-0,182046853992416
"158";"OMN";18067;34;638222;19;656289;-620155;-0,944941938688596
"159";"PAK";3902648;101;3167999;8;7070647;734649;0,103901241286688
"160";"PAN";132266;49;116986;88;249252;15280;0,0613034198321378
"161";"PER";973644;66;76770;77;1050414;896874;0,85382906168425
"162";"PHL";3712857;100;188965;90;3901822;3523892;0,903140122742657
"163";"PLW";3786;12;5368;8;9154;-1582;-0,172820624863448
"164";"PNG";4502;27;28779;21;33281;-24277;-0,729455244734233
