"";"i";"Oi";"count_Oi";"Dj";"count_Dj";"Vol";"Bal";"Asy"
"1";"ABW";10747;25;19002;22;29749;-8255;-0,27748831893509
"2";"AFG";3716077;64;55794;3;3771871;3660283;0,970415743274359
"3";"AGO";688660;54;33126;13;721786;655534;0,908211020995143
"4";"AIA";2566;17;2450;9;5016;116;0,0231259968102073
"5";"ALB";501142;49;63452;6;564594;437690;0,77522963403791
"6";"AND";4192;21;39688;18;43880;-35496;-0,808933454876937
"7";"ARE";97971;48;1781444;33;1879415;-1683473;-0,895743090270111
"8";"ARG";481996;73;1512538;132;1994534;-1030542;-0,516683094898357
"9";"ARM";901872;56;654786;14;1556658;247086;0,158728506839653
"10";"ASM";2638;7;22301;10;24939;-19663;-0,788443802879025
"11";"ATG";27682;36;16990;53;44672;10692;0,239344555873926
"12";"AUS";344311;106;4125550;212;4469861;-3781239;-0,845941070650743
"13";"AUT";490849;70;894893;193;1385742;-404044;-0,291572312883639
"14";"AZE";1712211;47;340965;16;2053176;1371246;0,667865784521152
"15";"BDI";540567;40;214117;7;754684;326450;0,43256515309719
"16";"BEL";376028;78;1235497;170;1611525;-859469;-0,533326507500659
"17";"BEN";275696;45;95086;10;370782;180610;0,487105630801927
"18";"BES";3739;9;41264;45;45003;-37525;-0,833833300002222
"19";"BFA";1215666;35;435776;8;1651442;779890;0,472247890025808
"20";"BGD";5425050;73;800479;17;6225529;4624571;0,742839845417153
"21";"BGR";649577;63;30380;185;679957;619197;0,910641408206695
"22";"BHR";26016;41;201392;33;227408;-175376;-0,771195384507141
"23";"BHS";29686;41;30680;75;60366;-994;-0,016466222708147
"24";"BIH";1372534;45;68250;13;1440784;1304284;0,905259914046797
"25";"BLR";1736499;55;1186020;58;2922519;550479;0,188357714697492
"26";"BLZ";41959;35;32317;15;74276;9642;0,12981312940923
"27";"BMU";42600;26;15980;35;58580;26620;0,454421304199385
"28";"BOL";283540;47;82464;180;366004;201076;0,549381973967498
"29";"BRA";751469;85;713984;60;1465453;37485;0,0255791212683041
"30";"BRB";89921;44;20140;14;110061;69781;0,634021133734929
"31";"BRN";35052;25;83870;19;118922;-48818;-0,410504364205109
"32";"BTN";117971;23;25828;24;143799;92143;0,640776361448967
"33";"BWA";23320;29;35261;33;58581;-11941;-0,203837421689626
"34";"CAF";49210;33;75910;25;125120;-26700;-0,213395140664962
"35";"CAN";1069031;124;4858489;200;5927520;-3789458;-0,639299066051232
"36";"CHE";340103;82;1312818;179;1652921;-972715;-0,588482450159445
"37";"CHL";499207;62;142417;210;641624;356790;0,556073338902535
"38";"CHN";5030369;139;344062;20;5374431;4686307;0,871963376216012
"39";"CIV";449508;51;2038795;16;2488303;-1589287;-0,638703164365433
"40";"CMR";138948;52;197678;4;336626;-58730;-0,174466618740085
"41";"COD";559836;60;1715920;7;2275756;-1156084;-0,507999978908108
"42";"COG";115684;46;185581;21;301265;-69897;-0,232011684065524
"43";"COK";17012;9;2607;10;19619;14405;0,734237219022376
"44";"COL";1217608;61;106189;91;1323797;1111419;0,839569057793604
"45";"COM";51292;21;12435;5;63727;38857;0,609741553815494
"46";"CPV";106957;37;8922;35;115879;98035;0,846011788158338
"47";"CRI";85421;48;203856;153;289277;-118435;-0,409417271335087
"48";"CUB";935463;69;22432;36;957895;913031;0,953163968910998
"49";"CYM";803;11;12599;57;13402;-11796;-0,88016713923295
"50";"CYP";163285;43;61451;154;224736;101834;0,453127224832693
"51";"CZE";333356;57;165592;191;498948;167764;0,336235439364423
"52";"DEU";3045354;120;7130259;136;10175613;-4084905;-0,401440679790004
"53";"DJI";6964;23;93804;3;100768;-86840;-0,861781517942204
"54";"DMA";45232;47;2704;33;47936;42528;0,887182910547397
"55";"DNK";207983;72;303108;198;511091;-95125;-0,186121453909382
"56";"DOM";675282;62;322076;98;997358;353206;0,354141642218742
"57";"DZA";979704;70;250204;20;1229908;729500;0,593133795373312
"58";"ECU";326230;48;100213;85;426443;226017;0,530005182404213
"59";"EGY";1492244;81;157862;132;1650106;1334382;0,808664413074069
"60";"ERI";375258;45;11030;21;386288;364228;0,94289234974941
"61";"ESH";167148;9;2865;7;170013;164283;0,966296694958621
"62";"ESP";1362439;86;1012489;173;2374928;349950;0,147351835508276
"63";"EST";129640;50;315177;27;444817;-185537;-0,41710860870875
"64";"ETH";816429;60;765390;10;1581819;51039;0,0322660177934391
"65";"FIN";288821;62;97801;181;386622;191020;0,494074315481271
"66";"FJI";106495;41;11396;14;117891;95099;0,806668872093714
"67";"FLK";763;5;828;7;1591;-65;-0,0408548082966688
"68";"FRA";1353418;135;6087993;206;7441411;-4734575;-0,636246942952083
"69";"FRO";10005;10;2799;25;12804;7206;0,562792877225867
"70";"FSM";12139;13;1127;12;13266;11012;0,830091964420323
"71";"GAB";16615;32;166930;34;183545;-150315;-0,818954479827835
"72";"GBR";3713904;140;4132002;205;7845906;-418098;-0,0532886832954665
"73";"GEO";953289;48;149590;19;1102879;803699;0,728728174169605
"74";"GHA";428057;65;241780;43;669837;186277;0,278093028602481
"75";"GIB";10135;16;7115;3;17250;3020;0,175072463768116
"76";"GIN";365864;48;769222;29;1135086;-403358;-0,355354572252675
"77";"GLP";6879;13;70073;24;76952;-63194;-0,821213223827841
"78";"GMB";38385;39;146646;7;185031;-108261;-0,585096551388686
"79";"GNB";67151;35;26883;11;94034;40268;0,428228087712955
"80";"GNQ";46414;23;2934;6;49348;43480;0,881089405852314
"81";"GRC";1004521;63;857850;212;1862371;146671;0,0787549849090219
"82";"GRD";54091;35;3570;15;57661;50521;0,87617280310782
"83";"GRL";11366;15;7039;17;18405;4327;0,235099157837544
"84";"GTM";462072;49;156124;49;618196;305948;0,494904528660813
"85";"GUF";3227;18;66516;16;69743;-63289;-0,9074602469065
"86";"GUM";1616;10;69255;11;70871;-67639;-0,954396015295396
"87";"GUY";296132;51;5631;16;301763;290501;0,962679321189145
"88";"HKG";619223;39;2152873;29;2772096;-1533650;-0,553245630742947
"89";"HND";246799;44;149299;42;396098;97500;0,246151205004822
"90";"HRV";735556;52;563714;71;1299270;171842;0,132260423160698
"91";"HTI";665028;54;16827;21;681855;648201;0,950643465252876
"92";"HUN";404699;63;313738;159;718437;90961;0,126609570498179
"93";"IDN";1953465;83;318970;19;2272435;1634495;0,719270298160343
"94";"IMN";9003;5;35239;8;44242;-26236;-0,593011165860495
"95";"IND";7157482;125;6916939;36;14074421;240543;0,0170907918698751
"96";"IRL";863749;70;226892;204;1090641;636857;0,583929083905703
"97";"IRN";746894;72;2876948;7;3623842;-2130054;-0,587788871589876
"98";"IRQ";1328725;68;175951;22;1504676;1152774;0,766127724506804
"99";"ISL";21450;40;12738;161;34188;8712;0,254826254826255
"100";"ISR";291849;67;1554408;57;1846257;-1262559;-0,68384791499775
"101";"ITA";3207777;105;1774942;191;4982719;1432835;0,287560867871538
"102";"JAM";719398;60;20208;21;739606;699190;0,945354688847846
"103";"JEY";15626;5;59282;4;74908;-43656;-0,582794895071287
"104";"JOR";339346;65;1534882;83;1874228;-1195536;-0,637881837215109
"105";"JPN";657199;101;1340239;42;1997438;-683040;-0,341958048259821
"106";"KAZ";3295163;56;2936413;18;6231576;358750;0,0575697062829692
"107";"KEN";277660;59;511762;13;789422;-234102;-0,296548614049266
"108";"KGZ";550026;43;507031;23;1057057;42995;0,040674249354576
"109";"KHM";418216;41;86480;26;504696;331736;0,657298651069158
"110";"KIR";4246;16;1746;7;5992;2500;0,417222963951936
"111";"KNA";25986;31;2014;13;28000;23972;0,856142857142857
"112";"KOR";1785743;86;118307;28;1904050;1667436;0,875731204537696
"113";"KWT";97039;49;893634;32;990673;-796595;-0,804094792126161
"114";"LAO";547793;37;20911;6;568704;526882;0,926460865406257
"115";"LBN";533444;86;604819;30;1138263;-71375;-0,062705192033827
"116";"LBR";542301;39;189728;25;732029;352573;0,481638022537358
"117";"LBY";77417;57;508041;86;585458;-430624;-0,735533548093971
"118";"LCA";30705;35;4798;59;35503;25907;0,729712982001521
"119";"LIE";3020;24;13250;47;16270;-10230;-0,628764597418562
"120";"LKA";925755;70;39215;49;964970;886540;0,918722861850627
"121";"LSO";136603;24;4024;15;140627;132579;0,94277059170714
"122";"LTU";342455;51;259880;57;602335;82575;0,13709148563507
"123";"LUX";37909;43;125818;77;163727;-87909;-0,536924270279184
"124";"LVA";229015;48;538093;139;767108;-309078;-0,40291327948607
"125";"MAC";98093;13;209943;5;308036;-111850;-0,363106909581997
"126";"MAR";1884066;65;40348;18;1924414;1843718;0,95806723501284
"127";"MCO";4790;28;11581;2;16371;-6791;-0,41481888705638
"128";"MDA";620036;51;355699;19;975735;264337;0,270910646845711
"129";"MDG";67333;37;15499;4;82832;51834;0,625772648251883
"130";"MDV";1688;22;17826;22;19514;-16138;-0,826996002869735
"131";"MEX";6949297;67;456661;90;7405958;6492636;0,876677399466754
"132";"MHL";4154;11;1305;6;5459;2849;0,521890456127496
"133";"MKD";492304;46;107917;19;600221;384387;0,640409115975616
"134";"MLI";820613;52;157515;23;978128;663098;0,677925588471039
"135";"MLT";109850;36;17594;83;127444;92256;0,723894416371112
"136";"MMR";911446;45;99848;4;1011294;811598;0,802534178982571
"137";"MNG";27694;34;6653;30;34347;21041;0,612600809386555
"138";"MNP";2654;8;31106;12;33760;-28452;-0,842772511848341
"139";"MOZ";812715;47;156451;16;969166;656264;0,67714302812934
"140";"MRT";151715;40;88054;35;239769;63661;0,265509719771947
"141";"MSR";11591;16;1325;10;12916;10266;0,794828120161041
"142";"MTQ";12602;14;44999;15;57601;-32397;-0,562438152115415
"143";"MUS";114074;32;6936;22;121010;107138;0,885364845880506
"144";"MWI";150826;34;189007;12;339833;-38181;-0,112352243602005
"145";"MYS";863664;69;843822;22;1707486;19842;0,0116205930824616
"146";"MYT";3937;3;25006;3;28943;-21069;-0,727948035794493
"147";"NAM";28224;32;112236;83;140460;-84012;-0,598120461341307
"148";"NCL";4603;10;40990;16;45593;-36387;-0,798083039063014
"149";"NER";177073;45;136035;13;313108;41038;0,131066596829209
"150";"NGA";524591;89;361537;9;886128;163054;0,184007276601123
"151";"NIC";438387;47;25561;53;463948;412826;0,889810927086656
"152";"NIU";5574;7;414;7;5988;5160;0,861723446893788
"153";"NLD";734149;91;1343094;180;2077243;-608945;-0,293150584693269
"154";"NOR";151368;64;223951;168;375319;-72583;-0,193390156107205
"155";"NPL";856036;53;651911;6;1507947;204125;0,135366163399642
"156";"NRU";1514;14;2400;10;3914;-886;-0,226366888094021
"157";"NZL";417098;81;555116;62;972214;-138018;-0,141962572026323
"158";"OMN";13862;33;521084;19;534946;-507222;-0,948174208237841
"159";"PAK";3345394;100;3665602;8;7010996;-320208;-0,0456722554113567
"160";"PAN";133405;49;70440;88;203845;62965;0,3088866540754
"161";"PER";509283;64;55861;77;565144;453422;0,80231233101652
"162";"PHL";2508005;100;172845;90;2680850;2335160;0,871052091687338
"163";"PLW";2845;12;4568;8;7413;-1723;-0,232429515715635
"164";"PNG";4063;27;31809;21;35872;-27746;-0,773472346119536
"165";"POL";1776628;76;918272;117;2694900;858356;0,318511262013433
"166";"PRI";1406262;37;328497;45;1734759;1077765;0,621276500078685
"167";"PRK";54029;50;31613;20;85642;22416;0,261740734686252
"168";"PRT";1922320;79;528127;128;2450447;1394193;0,568954562167637
"169";"PRY";336064;44;181196;17;517260;154868;0,29940068824189
"170";"PSE";2275128;53;259733;14;2534861;2015395;0,795071209032764
"171";"PYF";3749;10;24611;19;28360;-20862;-0,735613540197461
"172";"QAT";13329;37;353830;33;367159;-340501;-0,927393853888915
"173";"REU";2624;11;64982;5;67606;-62358;-0,922373753808834
"174";"ROU";977495;69;126176;76;1103671;851319;0,771352151139243
"175";"RUS";11621262;101;11920139;148;23541401;-298877;-0,0126958034485713
"176";"RWA";2060366;49;201277;5;2261643;1859089;0,822008159554802
"177";"SAU";131016;64;4950773;17;5081789;-4819757;-0,948437056320127
"178";"SDN";775379;59;1019543;15;1794922;-244164;-0,136030423606151
"179";"SEN";359074;59;250568;26;609642;108506;0,177983144205944
"180";"SGP";168141;55;793855;15;961996;-625714;-0,650433057933713
"181";"SHN";2371;9;104;2;2475;2267;0,915959595959596
"182";"SLB";2542;18;3888;15;6430;-1346;-0,209331259720062
"183";"SLE";457828;43;97491;39;555319;360337;0,648882894336408
"184";"SLV";933330;45;39351;48;972681;893979;0,919087552856486
"185";"SMR";2460;14;3554;9;6014;-1094;-0,181908879281676
"186";"SOM";968967;59;18044;2;987011;950923;0,963437084287814
"187";"SPM";479;8;1147;3;1626;-668;-0,410824108241082
"188";"SRB";914112;44;659705;76;1573817;254407;0,161649670832123
"189";"STP";19272;20;4846;6;24118;14426;0,598142466207812
"190";"SUR";193707;37;13070;4;206777;180637;0,873583619067885
"191";"SVK";191650;49;69264;93;260914;122386;0,469066435683789
"192";"SVN";108668;44;170748;74;279416;-62080;-0,222177684885619
"193";"SWE";226803;75;854689;197;1081492;-627886;-0,580573873870542
"194";"SWZ";30342;24;28141;17;58483;2201;0,0376348682523126
"195";"SYC";27798;26;4514;26;32312;23284;0,720599158207477
"196";"SYR";662477;78;292985;5;955462;369492;0,38671553656765
"197";"TCA";1535;10;5901;6;7436;-4366;-0,587143625605164
"198";"TCD";223106;45;83902;10;307008;139204;0,453421409214092
"199";"TGO";309627;41;90722;30;400349;218905;0,546785429712576
"200";"THA";417273;75;809682;49;1226955;-392409;-0,319823465408267
"201";"TJK";555428;43;347871;35;903299;207557;0,229776629886671
